scenario,cell_id,world,policy,ablation,delay,t_irrev,containment_strength,mutation_rate,adversarial_pressure,catastrophe_severity,initial_exploit_mass_scale,initial_resource_concentration_scale,extraction_payoff_scale,interception_payoff_scale,harm_payoff_scale,exploit_mutation_bias,action_channel_cost_scale,fixed_mi_claim,n,R,R_ci_lo,R_ci_hi,capture_threshold,capture_threshold_ci_lo,capture_threshold_ci_hi,permanence_probability,permanence_ci_lo,permanence_ci_hi,collapse_probability,collapse_ci_lo,collapse_ci_hi,capture_index,capture_index_ci_lo,capture_index_ci_hi,strict_zero_capture_probability,strict_zero_capture_ci_lo,strict_zero_capture_ci_hi,resource_hhi,resource_hhi_ci_lo,resource_hhi_ci_hi,max_lineage_share,max_lineage_share_ci_lo,max_lineage_share_ci_hi,exploitative_strategy_mass,exploitative_strategy_mass_ci_lo,exploitative_strategy_mass_ci_hi,cooperative_strategy_mass,cooperative_strategy_mass_ci_lo,cooperative_strategy_mass_ci_hi,strategy_diversity,strategy_diversity_ci_lo,strategy_diversity_ci_hi,response_diversity,response_diversity_ci_lo,response_diversity_ci_hi,welfare,welfare_ci_lo,welfare_ci_hi,minimum_zone_welfare,minimum_zone_welfare_ci_lo,minimum_zone_welfare_ci_hi,neighbor_harm_volume,neighbor_harm_volume_ci_lo,neighbor_harm_volume_ci_hi,aid_interception_volume,aid_interception_volume_ci_lo,aid_interception_volume_ci_hi,extraction_volume,extraction_volume_ci_lo,extraction_volume_ci_hi,deception_level,deception_level_ci_lo,deception_level_ci_hi,catastrophe_recovery_rate,catastrophe_recovery_rate_ci_lo,catastrophe_recovery_rate_ci_hi,mutation_survival,mutation_survival_ci_lo,mutation_survival_ci_hi,containment_cost,containment_cost_ci_lo,containment_cost_ci_hi,false_containment,false_containment_ci_lo,false_containment_ci_hi,delayed_consequence_true_harm_mi,delayed_consequence_true_harm_mi_ci_lo,delayed_consequence_true_harm_mi_ci_hi,irreversible_failures,irreversible_failures_ci_lo,irreversible_failures_ci_hi,containment_events,containment_events_ci_lo,containment_events_ci_hi,mutation_events,mutation_events_ci_lo,mutation_events_ci_hi,selection_delta_seen,selection_delta_seen_ci_lo,selection_delta_seen_ci_hi,initial_exploitative_strategy_mass,initial_exploitative_strategy_mass_ci_lo,initial_exploitative_strategy_mass_ci_hi,exploit_payoff_total,exploit_payoff_total_ci_lo,exploit_payoff_total_ci_hi,coop_payoff_total,coop_payoff_total_ci_lo,coop_payoff_total_ci_hi,no_strategy_observation_asserted,no_strategy_observation_asserted_ci_lo,no_strategy_observation_asserted_ci_hi,capture_component_resource_concentration,capture_component_resource_concentration_ci_lo,capture_component_resource_concentration_ci_hi,capture_component_exploit_mass,capture_component_exploit_mass_ci_lo,capture_component_exploit_mass_ci_hi,capture_component_neighbor_harm,capture_component_neighbor_harm_ci_lo,capture_component_neighbor_harm_ci_hi,capture_component_aid_interception,capture_component_aid_interception_ci_lo,capture_component_aid_interception_ci_hi,capture_component_coop_loss,capture_component_coop_loss_ci_lo,capture_component_coop_loss_ci_hi,viable_probability
reproduction_original,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,0.62,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,25,4.0,4.0,1.0,0.5,0.5,0.5,1.0,0.8668035060468213,1.0,0.0,0.0,0.13319649395317873,0.42013659416389215,0.4136082790111102,0.4266649093166741,0.0,0.0,0.13319649395317873,0.14321322913578463,0.1364065124125445,0.15001994585902476,0.1161911649168239,0.10425420998907438,0.12812811984457342,0.18602788654764624,0.17445214719146843,0.19760362590382405,0.8139721134498916,0.8023963740936422,0.8255478528061411,0.2703409360192755,0.261138343084493,0.279543528954058,0.968935666806966,0.9674749596972803,0.9703963739166517,0.9588127611544556,0.9512982046807574,0.9663273176281537,0.8898168775099223,0.871367059944895,0.9082666950749496,0.4583203992393426,0.45362541088100145,0.46301538759768374,0.8444952477734088,0.8315187259535344,0.8574717695932832,1.0747420384879178,1.058616419009781,1.0,0.1249886853401442,0.12211828661106702,0.1278590840692214,1.0,1.0,1.0,585.0,562.4727862353109,1.0,0.008132205507037239,0.00790996828819385,0.008354442725880627,0.0,0.0,0.0,0.018212532128514144,0.016406371163398104,0.020018693093630184,0.12,0.0,0.25001169178193167,75.64,72.61439647453052,1.0,585.0,562.4727862353109,1.0,1.0,1.0,1.0,0.06774305837173439,0.062346149770611044,0.07313996697285773,40.725599026725206,21.715105604778344,1.0,1258.397844507115,1231.0305059922362,1.0,1.0,1.0,1.0,0.09172033721335295,0.07227257514695257,0.11116809927975332,0.3207377354269763,0.30077956412322143,0.3406959067307312,1.0,1.0,1.0,0.7343436937160078,0.7230597616987258,0.7456276257332899,0.0,0.0,0.0,1.0
seed_robustness,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,0.62,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,100,4.0,4.0,1.0,0.5,0.5,0.5,1.0,0.9630051925239981,0.9999999999999999,0.0,0.0,0.03699480747600191,0.4272723937667198,0.42293938589457647,0.4316054016388632,0.0,0.0,0.03699480747600191,0.15525351451687494,0.14937837966068984,0.16112864937306004,0.13220800606269648,0.1244367512736659,0.13997926085172707,0.18968741222964527,0.18011393552029747,0.19926088893899307,0.8103125877680007,0.8007391110586153,0.8198860644773862,0.2709181920198765,0.267015715950426,0.274820668089327,0.9666547173033979,0.9632440503743275,0.9700653842324684,0.9585779009970341,0.955169201497672,0.9619866004963962,0.8960658095667184,0.886616529605286,0.9055150895281509,0.45936454303520646,0.4559656748778915,0.4627634111925214,0.8276358847552685,0.820128081672915,0.835143687837622,1.069018946214174,1.061850271827549,1.0,0.12333757972420685,0.12157984664341147,0.12509531280500225,1.0,1.0,1.0,588.86,575.9869059480204,1.0,0.008332355997445699,0.008111321188670109,0.008553390806221289,0.0,0.0,0.0,0.017253261597054134,0.016278469652245907,0.01822805354186236,0.17,0.09600506705854718,0.24399493294145286,78.88,75.7620831466111,1.0,588.86,575.9869059480204,1.0,1.0,1.0,1.0,0.06548553166513449,0.0627464098672216,0.06822465346304737,52.14863770945104,40.904799494099905,1.0,1263.099050235461,1249.4035202971313,1.0,1.0,1.0,1.0,0.1261211525878967,0.10933505299879638,0.142907252176997,0.3270472624649057,0.31054126813844396,0.3435532567913674,1.0,1.0,1.0,0.7196833780480596,0.7131548536286217,0.7262119024674974,0.0,0.0,0.0,1.0
parameter_neighborhood,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,adversarial_low,2,8,0.62,0.18,0.8,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,25,4.0,4.0,1.0,0.5,0.5,0.5,1.0,0.8668035060468213,1.0,0.0,0.0,0.13319649395317873,0.34456607411714457,0.33564781036298597,0.3534843378713032,0.0,0.0,0.13319649395317873,0.1492606874533164,0.13757180836127003,0.16094956654536274,0.1234722605055867,0.11092909399090434,0.13601542702026906,0.06108641943833571,0.048878239819775626,0.0732945990568958,0.8799236216031587,0.8710069823576894,0.8888402608486281,0.32235900330035994,0.3194202161226107,0.3252977904781092,0.980348812308063,0.9789560271222187,0.9817415974939073,0.9642269817797486,0.9572323906723452,0.971221572887152,0.9053163507867061,0.8826588076017577,0.9279738939716545,0.4794526821561989,0.473591144343284,0.48531421996911384,0.6984053103281365,0.6851608556764135,0.7116497649798594,0.8940276716703843,0.8801883823156093,0.9078669610251594,0.09540307284772755,0.09259995780951713,0.09820618788593796,1.0,1.0,1.0,826.92,795.106170980112,1.0,0.006571498745838194,0.006309236682466476,0.006833760809209913,0.0,0.0,0.0,0.0034328533751540385,0.0017189513102339083,0.005146755440074169,0.12,0.0,0.25001169178193167,61.84,58.61803978505838,1.0,826.92,795.106170980112,1.0,1.0,1.0,1.0,0.02054329574051542,0.015522494792726271,0.025564096688304568,56.74982736683492,46.62541615741283,1.0,1610.5416957510909,1581.1488748107683,1.0,1.0,1.0,1.0,0.10899878954915795,0.07560199214331124,0.14239558695500465,0.10532141282471674,0.08427282727547522,0.12636999837395826,1.0,1.0,1.0,0.6073089655027273,0.5957920484142725,0.6188258825911821,0.0,0.0,0.0,1.0
parameter_neighborhood,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,adversarial_high,2,8,0.62,0.18,1.2,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,25,4.0,4.0,1.0,0.5,0.5,0.5,0.36,0.20247656431735636,0.5548184539895337,0.0,0.0,0.13319649395317873,0.5142100842175613,0.5005458060280207,0.527874362407102,0.0,0.0,0.13319649395317873,0.1512577467625341,0.14206146930322391,0.16045402422184427,0.11404560105778444,0.10126699112064656,0.12682421099492233,0.32598362778564316,0.2972576468992236,0.3547096086720627,0.6740163722092448,0.6452903913228022,0.7027423530956874,0.2484391446923605,0.2397131295924869,0.25716515979223414,0.9527676140994152,0.9366209285749774,0.9689142996238531,0.9433571243276471,0.9348239451183964,0.9518903035368977,0.8474555573536305,0.8257475279957734,0.8691635867114876,0.41574165487959547,0.40607895473882305,0.4254043550203679,1.0089613134206201,0.990036647466294,1.0,1.335179362215516,1.3109997166210023,1.0,0.15338002257377895,0.14963949892912454,0.15712054621843335,1.0,1.0,1.0,450.0,429.59057355043996,1.0,0.011574392945758592,0.010701558248557624,0.01244722764295956,0.0,0.0,0.0,0.0076626740098727575,0.006140952132818402,0.009184395886927113,0.64,0.4170993644393688,0.8629006355606312,115.8,102.70657406685834,1.0,450.0,429.59057355043996,1.0,1.0,1.0,1.0,0.15499258337057728,0.14570805889911587,0.1642771078420387,-29.850053671764158,0.0,-2.4762283170792507,934.7819449459093,905.0369906122132,1.0,1.0,1.0,1.0,0.11470467328977998,0.08842959483460806,0.14097975174495192,0.5620407375614537,0.5125131843090063,0.6115682908139011,1.0,1.0,1.0,0.8773576638440175,0.8609014325793861,0.8938138951086488,0.0,0.0,0.0,0.36
parameter_neighborhood,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,mutation_low,2,8,0.62,0.09,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,25,4.0,4.0,1.0,0.5,0.5,0.5,1.0,0.8668035060468213,1.0,0.0,0.0,0.13319649395317873,0.4215024058606669,0.41287636021450036,0.43012845150683343,0.0,0.0,0.13319649395317873,0.1477514786922586,0.13999601486210023,0.15550694252241698,0.12441743599296612,0.11357076094237173,0.1352641110435605,0.18849377887999327,0.16994471176870193,0.2070428459912846,0.8115062211174735,0.7929571540060181,0.8300552882289289,0.2966703470785774,0.2850226194481397,0.3083180747090151,0.9491134567017424,0.9286789293972008,0.9695479840062841,0.9631658202058488,0.9552388181816541,0.9710928222300436,0.8940059516117246,0.8655858550674275,0.9224260481560217,0.44897134191774896,0.43803202773360084,0.4599106561018971,0.8239697940735584,0.8079454907360547,0.8399940974110621,1.0748915530375132,1.0565939159719382,1.0,0.12097094779817408,0.11764123365685335,0.12430066193949481,1.0,1.0,1.0,245.28,232.33137504957895,1.0,0.009721160840718448,0.008698092526044855,0.01074422915539204,0.0,0.0,0.0,0.018360236245182248,0.016080631326991657,0.02063984116337284,0.36,0.1370993644393688,0.5829006355606312,92.52,78.02080367836433,1.0,245.28,232.33137504957895,1.0,1.0,1.0,1.0,0.07015061430612173,0.06257292380652119,0.07772830480572226,-69.21578136204265,0.0,-42.7722936960293,1011.1012846434866,969.3156937509427,1.0,1.0,1.0,1.0,0.10468676451756431,0.08252829643139756,0.12684523260373107,0.32498927393102295,0.29300812373914137,0.35697042412290453,1.0,1.0,1.0,0.7164954731074421,0.7025612962922214,0.7304296499226628,0.0,0.0,0.0,1.0
parameter_neighborhood,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,mutation_high,2,8,0.62,0.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,25,4.0,4.0,1.0,0.5,0.5,0.5,1.0,0.8668035060468213,1.0,0.0,0.0,0.13319649395317873,0.43126901236700355,0.42109760899302195,0.44144041574098514,0.0,0.0,0.13319649395317873,0.13962815335653217,0.13292576841728873,0.1463305382957756,0.10350271818532812,0.09346658320609347,0.11353885316456278,0.21886985243787066,0.19996424955798078,0.23777545531776054,0.7811301475596001,0.7622245446796873,0.8000357504395129,0.2691505641391882,0.26004217092700477,0.2782589573513716,0.9710415566906074,0.9694303887277447,0.9726527246534702,0.9556046785041034,0.9475119353650863,0.9636974216431204,0.8925109693781169,0.8673333740654922,0.9176885646907417,0.46379978236041763,0.4586901149865755,0.46890944973425974,0.8255674150487965,0.8093242687250721,0.8418105613725209,1.078636322796125,1.0563585566430853,1.0,0.1282505274178296,0.12521027142203522,0.131290783413624,1.0,1.0,1.0,985.04,935.3510710396504,1.0,0.0075312997309118146,0.007322578222340585,0.007740021239483044,0.0,0.0,0.0,0.01594036189391053,0.014337123469447929,0.01754360031837313,0.04,0.0,0.1184,69.12,66.41046983654607,1.0,985.04,935.3510710396504,1.0,1.0,1.0,1.0,0.07231754596887337,0.06769819674179418,0.07693689519595255,129.92123000882955,107.7056757061619,1.0,1391.894853051187,1370.9963483038891,1.0,1.0,1.0,1.0,0.0814772635583459,0.06232759230336464,0.10062693481332717,0.3773618145480529,0.34476594751376,0.4099576815823458,1.0,1.0,1.0,0.717884708738084,0.7037602336739759,0.732009183802192,0.0,0.0,0.0,1.0
parameter_neighborhood,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,delay_low,1,8,0.62,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,25,8.0,8.0,1.0,0.5,0.5,0.5,1.0,0.8668035060468213,1.0,0.0,0.0,0.13319649395317873,0.403938085133278,0.3969154203765367,0.4109607498900193,0.0,0.0,0.13319649395317873,0.14751905655903685,0.13766648017844274,0.15737163293963097,0.11647279257994095,0.1048658644404232,0.1280797207194587,0.14975298382551158,0.13566390925513122,0.16384205839589194,0.850247016172418,0.8361579416019265,0.8643360907429096,0.27975391640961667,0.2735868185794762,0.28592101423975713,0.970982223776443,0.9692322675647251,0.972732179988161,0.9621465004288272,0.9549585015331561,0.9693344993244983,0.9166312270487741,0.9041369732275708,0.9291254808699774,0.46041068286216075,0.45479709293501713,0.46602427278930436,0.8338155265090298,0.8198671295204079,0.8477639234976517,1.0875541920626397,1.07381505078703,1.0,0.12239832956295964,0.11901760483932915,0.12577905428659014,1.0,1.0,1.0,662.36,631.2577209941137,1.0,0.0072916356465155254,0.007070201753547672,0.007513069539483379,0.0,0.0,0.0,0.012205840719359963,0.010934987261455122,0.013476694177264804,0.04,0.0,0.1184,61.4,59.16525616680569,1.0,662.36,631.2577209941137,1.0,1.0,1.0,1.0,0.055417116960271615,0.050030121767197365,0.060804112153345864,65.24086710539474,39.85059275350836,1.0,1305.238878592305,1276.6365417605216,1.0,1.0,1.0,1.0,0.10402270127978787,0.07587248304951899,0.13217291951005675,0.25819479969915793,0.23390329181919178,0.2824863075791241,1.0,1.0,1.0,0.7250569795730694,0.7129279387133981,0.7371860204327406,0.0,0.0,0.0,1.0
parameter_neighborhood,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,delay_high,3,8,0.62,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,25,2.666666666666666,2.666666666666666,1.0,0.5,0.5,0.5,1.0,0.8668035060468213,1.0,0.0,0.0,0.13319649395317873,0.42687901781391857,0.41870087545993817,0.43505716016789897,0.0,0.0,0.13319649395317873,0.14760079050838287,0.14032914507805347,0.15487243593871228,0.12226580300159555,0.1091627329758596,0.1353688730273315,0.19821162523706573,0.17998624019339654,0.21643701028073492,0.8017883747605743,0.7835629897168275,0.8200137598043211,0.26607111831931696,0.25644669130590025,0.27569554533273366,0.9661118694303924,0.9583540623542361,0.9738696765065487,0.947955916474838,0.9396431631324216,0.9562686698172544,0.8567791296414626,0.8285671320830347,0.8849911271998906,0.457698707754003,0.45021991547933865,0.46517750002866737,0.8299494577893699,0.8165318576985992,0.8433670578801407,1.0814714027896843,1.0619130626564894,1.0,0.12630217342792177,0.1216519967256892,0.13095235013015435,1.0,1.0,1.0,597.92,567.5303237775282,1.0,0.008771671815000463,0.008360788220459485,0.009182555409541441,0.0,0.0,0.0,0.020026496297126415,0.017677976994181138,0.022375015600071692,0.24,0.0691311614132056,0.41086883858679435,91.84,85.7380485394698,1.0,597.92,567.5303237775282,1.0,1.0,1.0,1.0,0.06627267884958346,0.060868617579043674,0.07167674012012325,59.795122455893285,30.529742565015187,1.0,1237.0373028623449,1214.435484525555,1.0,1.0,1.0,1.0,0.10425622684934793,0.08348009704840678,0.12503235665028908,0.3417441814432168,0.3103211037817182,0.3731672591047154,1.0,1.0,1.0,0.7216951806864087,0.7100277023466081,0.7333626590262093,0.0,0.0,0.0,1.0
parameter_neighborhood,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,containment_low,2,8,0.434,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,25,4.0,4.0,1.0,0.5,0.5,0.5,0.8,0.6086866446346177,0.9113954589934752,0.0,0.0,0.13319649395317873,0.4671468553848668,0.4534940741624903,0.48079963660724323,0.0,0.0,0.13319649395317873,0.14960418475843812,0.14349355285239165,0.15571481666448458,0.12108533443922724,0.11247904959062334,0.12969161928783116,0.2729648103085598,0.2417233629854237,0.30420625763169584,0.7270351896889673,0.695793742365687,0.7582766370122476,0.2433836703650189,0.2343148523409937,0.2524524883890441,0.9702414636911207,0.9690608871643344,0.9714220402179071,0.9251625142607028,0.915200447190089,0.9351245813313167,0.8305554020520688,0.8104159512345892,0.8506948528695484,0.5176419755999716,0.5107426483220736,0.5245413028778696,0.8523423855768043,0.8382673806200326,0.866417390533576,1.117709737126654,1.1028621505318708,1.0,0.1362678307544402,0.13296411370261424,0.13957154780626618,1.0,1.0,1.0,592.56,564.9325548938499,1.0,0.008971108813850633,0.008659614475039431,0.009282603152661835,0.0,0.0,0.0,0.015089430349048829,0.01362227968432097,0.016556581013776685,0.08,0.0,0.1885398851421295,116.08,111.6020397977055,1.0,592.56,564.9325548938499,1.0,1.0,1.0,1.0,0.07703096965272035,0.06932139401328408,0.08474054529215663,158.66992073283046,139.17488855880913,1.0,1200.4492855903477,1177.9522520232513,1.0,1.0,1.0,1.0,0.10998021042093438,0.09252126211794445,0.1274391587239243,0.47062898329062036,0.41676441894038574,0.524493547640855,1.0,1.0,1.0,0.7411672918059168,0.7289281570608979,0.7534064265509357,0.0,0.0,0.0,0.8
parameter_neighborhood,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,containment_high,2,8,0.806,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,25,4.0,4.0,1.0,0.5,0.5,0.5,1.0,0.8668035060468213,1.0,0.0,0.0,0.13319649395317873,0.41815228871318233,0.4084260186854007,0.427878558740964,0.0,0.0,0.13319649395317873,0.15194794489665078,0.14065444791485135,0.16324144187845022,0.11846769085902437,0.10255331135896897,0.13438207035907976,0.18554665435368584,0.1622675338425697,0.20882577486480197,0.814453345644074,0.7911742251329691,0.8377324661551789,0.2879639920700168,0.2772443500710984,0.2986836340689353,0.9608686713400413,0.9473868258690478,0.9743505168110348,0.949496854466103,0.9384025756880274,0.9605911332441786,0.8559434624066212,0.808199962630054,0.9036869621831884,0.4132049086646748,0.4029198796549174,0.4234899376744322,0.7889703403856132,0.776088099904041,0.8018525808671854,1.0252049890717883,1.0094066904022285,1.0,0.11735814201031967,0.11264952808421885,0.1220667559364205,1.0,1.0,1.0,563.8,537.6973913947284,1.0,0.008795635138554421,0.0077721108319505836,0.009819159445158258,0.0,0.0,0.0,0.02534067945263888,0.02238519687222292,0.02829616203305484,0.96,0.5936669639067023,1.0,71.4,59.49874830112395,1.0,563.8,537.6973913947284,1.0,1.0,1.0,1.0,0.06183471640141023,0.0548335146787341,0.06883591812408636,20.302284486379317,0.0,1.0,1306.9013751949358,1272.4845654320795,1.0,1.0,1.0,1.0,0.1166766679586848,0.08440953372497216,0.14894380219239745,0.3199080247477342,0.279771610073396,0.3600444394220724,1.0,1.0,1.0,0.6860611655527071,0.6748592173078618,0.6972631137975525,0.0,0.0,0.0,1.0
