seed,scenario,cell_id,world,policy,ablation,delay,t_irrev,R,containment_strength,capture_threshold,mutation_rate,adversarial_pressure,catastrophe_severity,initial_exploit_mass_scale,initial_resource_concentration_scale,extraction_payoff_scale,interception_payoff_scale,harm_payoff_scale,exploit_mutation_bias,action_channel_cost_scale,fixed_mi_claim,permanence,collapse,capture_index,strict_zero_capture,resource_hhi,max_lineage_share,exploitative_strategy_mass,cooperative_strategy_mass,strategy_diversity,response_diversity,welfare,minimum_zone_welfare,neighbor_harm_volume,aid_interception_volume,extraction_volume,deception_level,catastrophe_recovery_rate,mutation_survival,containment_cost,false_containment,delayed_consequence_true_harm_mi,irreversible_failures,containment_events,mutation_events,selection_delta_seen,initial_exploitative_strategy_mass,exploit_payoff_total,coop_payoff_total,no_strategy_observation_asserted,capture_component_resource_concentration,capture_component_exploit_mass,capture_component_neighbor_harm,capture_component_aid_interception,capture_component_coop_loss
9600,reproduction_original,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.41187776840101753,0.0,0.12915137121390088,0.08906859701172755,0.19447162924474992,0.8055283707528696,0.30509480454629384,0.9687821269953694,0.9558730894441434,0.8371975447307679,0.46884448827430975,0.8176907930985498,1.06611486695938,0.12370930938444274,1.0,571,0.007796630408679682,0.0,0.017343731177626866,0,72,571,1.0,0.06622364782322994,60.65337432244847,1354.4549830303667,1.0,0.051543600293685085,0.33529591249094814,1.0,0.7110354722596085,0.0
9601,reproduction_original,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.4061352751492265,0.0,0.13221084250475978,0.11826675463621011,0.17350920927093622,0.8264907907261974,0.2665973629245483,0.9726869850824017,0.9765969591650071,0.9314465873507225,0.4599963600226099,0.8365063223004401,1.0397709149110859,0.12910648300771743,1.0,585,0.00835499032884823,0.0,0.017258088882105387,0,79,585,1.0,0.07684271123336682,49.07319001618218,1264.3276867698928,1.0,0.06028494683899623,0.2991538090878211,1.0,0.7273968020003827,0.0
9602,reproduction_original,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.3981082558096843,0.0,0.13019327676491474,0.10580611952491341,0.1625744910840254,0.8374255089136448,0.2621513837694205,0.9706450217043334,0.9677658498426008,0.9229751998238336,0.4675337788354369,0.8251596120053195,1.0342231584832162,0.12160033388183383,1.0,545,0.007839257203343133,0.0,0.01676367398745364,0,65,545,1.0,0.06258954873521577,88.20266477373207,1216.994771714132,1.0,0.054520473296581815,0.28030084669659555,1.0,0.7175300973959301,0.0
9603,reproduction_original,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.40786833958761093,0.0,0.13153863051442435,0.08967215443142998,0.18719239584094227,0.8128076041569193,0.255783981009056,0.9626960094265766,0.9243337835365649,0.8031353080881636,0.47792794036418695,0.8023890531432312,1.0790365080325413,0.1296751644613362,1.0,581,0.00792602998760405,0.0,0.015476565018534094,0,77,581,1.0,0.059389573685397073,54.38861929389612,1317.5135126813918,1.0,0.05836434115232357,0.32274551007059016,1.0,0.6977296114288967,0.0
9604,reproduction_original,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.42127425772953525,0.0,0.14279698448203,0.15121198452777687,0.1889077073109434,0.811092292686644,0.2733589084046175,0.9629601405132606,0.9698680929887694,0.8776731547747246,0.4774713661591068,0.8445645909546151,1.131727139525952,0.12820535481941678,1.0,611,0.00849157699880241,0.0,0.024799932939721835,0,89,611,1.0,0.06663476505270176,39.23103110944642,1261.7486887961686,1.0,0.09053106677405395,0.3257029436395576,1.0,0.734403992134448,0.0
9605,reproduction_original,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.4534097961773027,0.0,0.1275914458472912,0.08663839401777469,0.27090448880407086,0.72909551119249,0.24460422193781442,0.9689267984107257,0.956870239711319,0.8914274321588004,0.46355625222324554,0.860730926442872,1.11736395296115,0.12559108579473438,1.0,494,0.009114277140117982,0.0,0.011905188475573661,0,84,494,1.0,0.10169895312264438,36.17733156511655,1098.4409425321292,1.0,0.047086670674800296,0.46707670483460495,1.0,0.7484616751677148,0.0
9606,reproduction_original,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.41912679937507785,0.0,0.13485627995076888,0.10112854186957407,0.1978466115646695,0.8021533884329743,0.28182311489061335,0.9732278842017141,0.9554336519929107,0.8881068465249248,0.4441300727032913,0.8332831564939991,1.0368785595455947,0.12153155656164007,1.0,504,0.007530831943750549,0.0,0.01564528802100528,0,59,504,1.0,0.06585508078248195,71.92150723890538,1311.3352019855022,1.0,0.06784333954187935,0.3411148475252923,1.0,0.7245940491252166,0.0
9607,reproduction_original,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.42312608840390975,0.0,0.12233483506903907,0.06883808153835165,0.20753735150286312,0.7924626484940067,0.2711176958576511,0.9679174293314934,0.976487008615652,0.9469704920968728,0.4644542148198026,0.8884189349731922,1.051370438938549,0.12886563410388438,1.0,506,0.008385727892110345,0.0,0.0146109151035638,0,75,506,1.0,0.08658994758113922,17.515468672892467,1212.857547507685,1.0,0.03206778273693704,0.3578230198325226,1.0,0.772538204324515,0.0
9608,reproduction_original,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.41169314292499454,0.0,0.1418996445530905,0.09100524251076154,0.16607065331336843,0.8339293466839646,0.2515838523247704,0.9677085714496678,0.9517653415201153,0.7789247066952764,0.4670379901048897,0.8599570505795497,1.1630613673762589,0.114120960323913,1.0,635,0.008095607582400854,0.0,0.019033203687771668,0,75,635,1.0,0.07128691854877252,55.114517824415294,1246.3453626116464,1.0,0.08796723840565544,0.2863287126092559,1.0,0.7477887396343912,0.0
9609,reproduction_original,W6_action_channel_containment,W6_mutation_corridor,action_channel_containment,full,2,8,4.0,0.62,0.5,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0,1.0,0.0,0.4057754351340308,0.0,0.13690370988364672,0.12283904118995118,0.16971817949122106,0.8302818205070625,0.23979279601925058,0.9699744828708545,0.9384278018091577,0.8601451861060845,0.4516270868741086,0.8251635651723147,1.1212667221903643,0.13690830248612454,1.0,607,0.006970356377700066,0.0,0.021793656564881463,0,61,607,1.0,0.04727293287378112,84.15358850328167,1410.8631160896784,1.0,0.07369313935010177,0.29261755084693286,1.0,0.7175335349324476,0.0
