run,n_states,shield_acceptance_rate,false_safe_rate,false_unsafe_rate,pure_blindness_rate,current_collapse_rate,future_collapse_rate,mean_clause_coverage,spread_clause_coverage,mass_clause_coverage,minimal_counterexample_count,monotonicity_witness_count,semantic_validity,future_collapse_rate_delta
baseline,24000,0.690125,0.3525327537281893,0.0,0.13140051437923778,0.35641666666666666,0.5531666666666667,0.5547604700210906,0.608617053329316,0.030129557095510694,16,2650,baseline,0.0
MB1,24000,0.47779166666666667,0.7296590215400716,0.0,0.0876758253771591,0.5717083333333334,0.8708333333333333,0.5934928229665072,0.6512918660287081,0.0,21,2488,comparable_enough_for_diagnostic,0.31766666666666665
MB2,24000,0.695875,0.3778815639782049,0.0,0.2040148374427231,0.3819166666666667,0.5670833333333334,0.5281410727406319,0.6224834680382072,0.0470242468772961,15,2722,comparable_enough_for_diagnostic,0.013916666666666688
MB3,24000,0.4786666666666667,0.7475626740947076,0.0,0.0873247663551402,0.5706666666666667,0.8791666666666667,0.5869668246445497,0.6432701421800948,0.0,22,2532,comparable_enough_for_diagnostic,0.32599999999999996
MB4,24000,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,severe_semantic_shift,-0.5531666666666667
MB5,24000,0.6513333333333333,0.37378454452405324,0.0005975143403441683,0.07381429525718103,0.37425,0.5919166666666666,0.5809517105448402,0.6084048993383078,0.0,7,5731,comparable_enough_for_diagnostic,0.03874999999999995
