mechanism,baseline_false_safe_rate,ablation_false_safe_rate,absolute_reduction,contribution_index,positive_contribution_index,usable_for_dominance,usable_positive_contribution_index,semantic_validity
MB1,0.3525327537281893,0.7296590215400716,-0.37712626781188224,-1.0697623520753907,0.0,1,0.0,comparable_enough_for_diagnostic
MB2,0.3525327537281893,0.3778815639782049,-0.025348810250015563,-0.07190483715893266,0.0,1,0.0,comparable_enough_for_diagnostic
MB3,0.3525327537281893,0.7475626740947076,-0.39502992036651824,-1.1205481368437475,0.0,1,0.0,comparable_enough_for_diagnostic
MB4,0.3525327537281893,0.0,0.3525327537281893,1.0,1.0,0,0.0,severe_semantic_shift
MB5,0.3525327537281893,0.37378454452405324,-0.021251790795863923,-0.06028316680114646,0.0,1,0.0,comparable_enough_for_diagnostic
