world,policy,delay,t_irrev,R,target_mi,mi_tolerance,diversity_floor,channel_noise,n,permanence_probability,permanence_wilson_lo,permanence_wilson_hi,collapse_probability,capture_probability,irreversible_zone_failures_mean,time_to_first_irreversible_failure_mean,fraction_irreversible_zones_mean,mean_welfare,adversarial_share,total_diversity,non_adv_diversity,adv_diversity,last_aid_updates_nonzero,neighbor_metrics_nonzero,signal_truth_corr,mutual_information
T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.05999999999999999,0.0,0.12,30,0.0,0.0,0.113517091390478,1.0,1.0,7.666666666666667,6.0,0.8518518518518517,0.12270961343555116,0.7672094888110993,0.282729243251043,0.36855878250683954,0.49883576692886655,1.0,1.0,0.9615246772423597,0.8643374627588439
T1_proxy_trap,always_cut_sagging,2,7,3.5,0.25,0.05999999999999999,0.0,0.12,30,0.0,0.0,0.113517091390478,0.0,1.0,3.0,7.0,0.3333333333333333,0.6706409741557107,0.11727587198652024,0.24496877317297078,0.48536953364599944,0.5814780224850357,1.0,1.0,0.9737021551388759,0.8679217452504968
T1_proxy_trap,always_aid_sagging,2,7,3.5,0.25,0.05999999999999999,0.0,0.12,30,0.0,0.0,0.113517091390478,0.7,1.0,6.8,6.066666666666666,0.7555555555555556,0.15170320857044606,0.758237691371642,0.2774011198530442,0.4047426171028784,0.4993723012846457,1.0,1.0,0.9629354675855554,0.8659022185411912
T1_proxy_trap,monoculture_optimizer,2,7,3.5,0.25,0.05999999999999999,0.35,0.12,30,0.0,0.0,0.113517091390478,0.0,1.0,3.0,8.0,0.3333333333333333,0.6706460876655261,0.10857817776547268,0.25120984775469535,0.4874456474528091,0.5881389737357131,1.0,1.0,0.9731720427602937,0.8605883817280306
T1_proxy_trap,self_consequence,2,7,3.5,0.25,0.05999999999999999,0.0,0.12,30,0.0,0.0,0.113517091390478,0.0,1.0,3.0,7.0,0.3333333333333333,0.6519109872336242,0.6630857760477912,0.21406249357150947,0.34739326534218395,0.4992655986667592,1.0,1.0,0.9747443382664963,0.8698329516751807
T1_proxy_trap,neighbor_consequence,2,7,3.5,0.25,0.05999999999999999,0.0,0.12,30,0.0,0.0,0.113517091390478,0.0,1.0,3.0,8.0,0.3333333333333333,0.6681729556902438,0.2594754905165951,0.21091879751594414,0.4366908376531053,0.534767005215684,1.0,1.0,0.9746609889115848,0.8560946913889852
T1_proxy_trap,local_global_neighbor,2,7,3.5,0.25,0.05999999999999999,0.35,0.12,30,0.0,0.0,0.113517091390478,0.0,1.0,3.0,7.0,0.3333333333333333,0.6589217879825159,0.6541730077917113,0.2115448108216578,0.3506615014150743,0.49945517793882926,1.0,1.0,0.9749318148787104,0.8647585667225808
T1_proxy_trap,response_to_neighbor_aid,2,7,3.5,0.25,0.05999999999999999,0.0,0.12,30,0.0,0.0,0.113517091390478,0.0,1.0,3.0,7.0,0.3333333333333333,0.6579050940550165,0.5939022489520142,0.2094879913596898,0.3628085328462087,0.5034772924274346,1.0,1.0,0.9750421547180974,0.8624502196542884
T1_proxy_trap,diversity_all_types,2,7,3.5,0.25,0.05999999999999999,0.35,0.12,30,0.0,0.0,0.113517091390478,0.0,1.0,3.0,7.133333333333334,0.3333333333333333,0.6511987422364192,0.6484324091480159,0.4088911561682627,0.5239676192907818,0.7487362261255374,1.0,1.0,0.9718190547435412,0.8654469635622623
T1_proxy_trap,diversity_non_adversarial_only,2,7,3.5,0.25,0.05999999999999999,0.35,0.12,30,0.0,0.0,0.113517091390478,0.0,1.0,3.0,7.0,0.3333333333333333,0.6201435462352715,0.68760356245707,0.2234662222735632,0.3277211134269483,0.49883576692886655,1.0,1.0,0.974883753731147,0.8625618748321757
