seed,world,policy,delay,t_irrev,R,target_mi,mi_tolerance,adversarial_strength,catastrophe_severity,diversity_floor,channel_noise,permanence,collapse,capture,mean_welfare,min_welfare,adversarial_share,dove_share,total_diversity,non_adv_diversity,adv_diversity,irreversible_zone_failures,time_to_first_irreversible_failure,fraction_irreversible_zones,last_aid_updates_nonzero,neighbor_metrics_nonzero,signal_truth_corr,mutual_information
9210,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.11223885830896801,0.0,0.7610359023703948,0.21562713708529427,0.2789552101235384,0.3672289494535478,0.49883576692886655,8,6,0.8888888888888888,1.0,1.0,0.962370252477631,0.8617606266030471
9211,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.0002705891460289878,0.0,0.7828064874551847,0.19388701403366332,0.29220734791512093,0.37361930063245125,0.49883576692886655,9,6,1.0,1.0,1.0,0.9599090031326926,0.8617606266030471
9212,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.2113208394094475,0.0,0.7605112871863896,0.21628354993707893,0.280186486252444,0.3646581132509599,0.49883576692886655,7,6,0.7777777777777778,1.0,1.0,0.9603643757753478,0.8617606266030471
9213,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.10234718291952372,0.0,0.7652804116957116,0.21120896070243514,0.2794301484186372,0.3684907533776031,0.49883576692886655,8,6,0.8888888888888888,1.0,1.0,0.9652382146326309,0.8541968157423399
9214,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.06169825343420833,0.0,0.7648075754740776,0.2116064379902491,0.27887997815575827,0.3699456929839648,0.49883576692886655,8,6,0.8888888888888888,1.0,1.0,0.965776762360501,0.8617606266030471
9215,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.1722073746020617,0.0,0.7638112853881253,0.21283357850093954,0.2813830148707123,0.3666996600113182,0.49883576692886655,7,6,0.7777777777777778,1.0,1.0,0.9624713110980261,0.8617606266030471
9216,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.00029582879094673653,0.0,0.7963942390937501,0.18054718594910654,0.303667788020914,0.3778865082503563,0.49883576692886655,9,6,1.0,1.0,1.0,0.9524066829463754,0.8617606266030471
9217,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.08744676128226003,0.0,0.7748221858924428,0.20183999215589496,0.28750077722294476,0.3721294153497928,0.49883576692886655,8,6,0.8888888888888888,1.0,1.0,0.9597469651652036,0.8904916363322298
9218,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.0002919369302066486,0.0,0.7909012904282668,0.18591943872713837,0.298281693896922,0.3784490766074142,0.49883576692886655,9,6,1.0,1.0,1.0,0.9569049070704977,0.8789863463619216
9219,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.09561249917554444,0.0,0.781122124202364,0.19576397565220127,0.2944436639202491,0.37357987370965623,0.49883576692886655,8,6,0.8888888888888888,1.0,1.0,0.9551997996029852,0.8789863463619216
9220,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.09085496372217754,0.0,0.7687179554440033,0.20776546397355256,0.28167050940202853,0.36889083071912965,0.49883576692886655,7,6,0.7777777777777778,1.0,1.0,0.9651878252386622,0.8541968157423399
9221,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.08075156605193869,0.0,0.7658781553251776,0.21067351406417448,0.279499167444265,0.3682773333265875,0.49883576692886655,8,6,0.8888888888888888,1.0,1.0,0.9669683248644105,0.8699160947940296
9222,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.09598757363820506,0.0,0.7761566741498048,0.2006272691583656,0.28937037050516395,0.3711478645842743,0.49883576692886655,8,6,0.8888888888888888,1.0,1.0,0.9577489030450438,0.8617606266030471
9223,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.2932009877576904,0.0,0.7408676708877608,0.23567970258234944,0.2638460800590485,0.3562245427610249,0.49883576692886655,6,6,0.6666666666666666,1.0,1.0,0.9697636163052342,0.8617606266030471
9224,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.000265219156185544,0.0,0.8007789601401699,0.1762343413989365,0.30596341955136863,0.38143891411700986,0.49883576692886655,9,6,1.0,1.0,1.0,0.9486110042878976,0.8617606266030471
9225,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.26758790166537,0.0,0.7428074652797239,0.2337810885542254,0.26895594204833784,0.36024216297752376,0.49883576692886655,6,6,0.6666666666666666,1.0,1.0,0.9647761849434345,0.8699160947940296
9226,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.0003305806533597525,0.0,0.7881940742179501,0.18860326842988398,0.29654799327788006,0.37591382297176407,0.49883576692886655,9,6,1.0,1.0,1.0,0.9566513778213914,0.8617606266030471
9227,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.19288744008586697,0.0,0.7522825901307213,0.2243043140276995,0.27347304326472227,0.3658559930194451,0.49883576692886655,7,6,0.7777777777777778,1.0,1.0,0.9661257395787171,0.8617606266030471
9228,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.20725539983206484,0.0,0.7521358482611071,0.22438970799728625,0.27188436988815,0.36543574175740384,0.49883576692886655,7,6,0.7777777777777778,1.0,1.0,0.964651503299218,0.8617606266030471
9229,T1_proxy_trap,feature_proxy,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,1.0,1.0,0.0003113669095240306,0.0,0.7876908367529378,0.18910167337077594,0.2955241169463256,0.375918737232073,0.49883576692886655,9,6,1.0,1.0,1.0,0.9569255045286249,0.8617606266030471
9200,T1_proxy_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,0.0,1.0,0.6706417425734308,0.01807251469385751,0.11674332764565405,0.8373338004811756,0.2452009229756326,0.4858005321663319,0.5817414258356522,3,7,0.3333333333333333,1.0,1.0,0.973312561850535,0.8746764238682971
9201,T1_proxy_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,0.0,1.0,0.6706422641518693,0.018074416958013876,0.11626670883586764,0.8378103488507272,0.24550478344456433,0.4856672451532217,0.582113824601126,3,7,0.3333333333333333,1.0,1.0,0.9731572382252884,0.8499495579265515
9202,T1_proxy_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,0.0,1.0,0.6706401350809671,0.018071401120385695,0.11746297225237476,0.8366068396157054,0.24488080307378032,0.4852724992703097,0.5813693410375111,3,7,0.3333333333333333,1.0,1.0,0.9746732441251188,0.865627143199876
9203,T1_proxy_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,0.0,1.0,0.6706415443311198,0.01807349388599138,0.11718228715435944,0.8368894752595926,0.24505151830016386,0.4851431186332396,0.581590907429112,3,7,0.3333333333333333,1.0,1.0,0.9740293277658078,0.8746764238682971
9204,T1_proxy_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,0.0,1.0,0.6706424228548631,0.018075015862316034,0.11725331081857629,0.8368207826668195,0.2449808536882269,0.485292399488671,0.5815019968043602,3,7,0.3333333333333333,1.0,1.0,0.9717179811571742,0.8574925630172683
9205,T1_proxy_trap,always_cut_sagging,2,7,3.5,0.25,0.06,0.7,0.55,0.0,0.12,0.0,0.0,1.0,0.670641753134734,0.01807055749754608,0.11608600500892732,0.8379868479214068,0.24560871275457044,0.4859368689014786,0.5821968449822542,3,7,0.3333333333333333,1.0,1.0,0.9737989666153043,0.8861606593875262
