class_id,M1_original_active,M1_original_score,M2_intervention_active,M2_intervention_score,M3_reuse_active,M3_reuse_score,M4_compression_active,M4_compression_score,M5_perturbation_centrality_active,M5_perturbation_centrality_score,M6_frequency_control_active,M6_frequency_control_score,M7_random_matched_active,M7_random_matched_score,active_metric_count
df3aa1cdf382f132,False,0.21203238710241196,True,0.3115942028985507,False,2.0501998117759093e-05,True,14.142870503148576,False,0.2934874867687182,True,0.23491856026983848,False,0.5385069125077022,3
62d60895b47b258a,False,0.24243327993643976,True,1.0,False,0.0013062247143504715,True,11.288861048944245,False,0.34820684874050534,True,0.2684792739215338,True,0.6216599625252344,4
7fca0b221d4df82d,False,0.1967137568697625,True,1.0,False,1.957464823193663e-05,True,15.46324081020255,False,0.3833421419250377,True,0.2555922687733002,False,0.16489077372305433,3
6b4ade50f163f3eb,False,0.17291346656280857,True,0.3392857142857143,False,2.0501998117759093e-05,True,4.6480453893634275,False,0.3017949401848673,True,0.10065662169359135,True,0.6216599625252344,4
49f60e64ec11094c,False,0.14523595862726293,True,1.0,False,1.957464823193663e-05,True,3.798330168058193,False,0.3833421419250377,True,0.08591336765489083,True,0.6248182843659388,4
d34283f682fb5db5,False,0.09805950568904166,False,0.0,False,3.895139878651031e-05,True,4.957608362559162,False,0.08335086146278727,True,0.11168737795135808,True,0.6605574078115255,3
e2e01f33e86bf520,False,0.23656872064299042,True,1.0,False,0.0013062247143504715,True,10.158606597256007,False,0.34820684874050534,True,0.2491487661991834,False,0.38405371781829123,3
9c96bfafe046c408,False,0.15435860641707297,True,1.0,False,1.957464823193663e-05,True,5.449576679884258,False,0.3833421419250377,True,0.11598304633410261,False,0.5008129359642991,3
3106fdec81eb7cf2,False,0.3548239194254772,True,1.0,False,0.1819721247169429,True,24.49467507063682,False,0.4374430116781799,True,0.42097550150896507,True,0.6216599625252344,4
276ad787af6a299e,False,0.22587276778574836,True,0.3416149068322981,False,2.0501998117759093e-05,True,17.503818816634453,False,0.3024936979488424,True,0.27516176992721464,False,0.5381072032053766,3
05105ed5b9c8b7e1,False,0.20583640465957254,True,1.0,False,1.957464823193663e-05,True,18.11390347586897,False,0.3833421419250377,True,0.285661947452512,False,0.383402100119019,3
2b387bae148b5b1a,False,0.18636178609566342,True,0.38636363636363635,False,2.0501998117759093e-05,True,7.544111228879606,False,0.3159183168082439,True,0.136683827445411,True,0.6618606432100698,4
f96e064ba4ec3244,False,0.19030386399466806,True,1.0,False,0.0013062247143504715,True,2.969312542570789,False,0.34820684874050534,True,0.09665253861175219,False,0.49895784952213906,3
0961069fec03ff85,False,0.28835891409971837,True,1.0,False,0.1819721247169429,True,8.491360573788306,False,0.4374430116781799,True,0.20189641398899344,True,0.6248182843659388,4
51e8740f909c88ad,False,0.2909653848968069,True,1.0,False,0.1819721247169429,True,8.985818300369484,False,0.4374430116781799,True,0.21048775075448253,False,0.1681488622194151,3
4f453172a8426bab,False,0.1478424294243515,True,1.0,False,1.957464823193663e-05,True,4.24391812238774,False,0.3833421419250377,True,0.09450470442037992,True,0.6605574078115255,4
8d380d339234504a,False,0.3361599445140018,True,1.0,False,1.957464823193663e-05,True,75.09243382274141,False,0.3833421419250377,True,0.7152287857269661,False,0.11549465377081236,3
3763d524e609c5a0,False,0.4138493593248486,True,0.3267175572519084,False,2.0501998117759093e-05,True,112.30438306627596,False,0.2980244930747255,True,0.9005813953488373,False,0.07134318001888368,3
