metric_i,metric_j,jaccard,overlap_coefficient,spearman_rank_correlation
M1_original,M2_intervention,0.020018740948973508,0.03925171204275931,-0.6363777348337628
M1_original,M3_reuse,0.9608613772209941,0.9800400868548522,0.9624317055599866
M1_original,M4_compression,0.08361990950226245,0.15433439118089193,-0.413113456015827
M1_original,M5_perturbation_centrality,0.9619859085695559,0.9806246868214464,0.9864462869772833
M1_original,M6_frequency_control,0.14076120611632448,0.24678470018373141,-0.22046391194475468
M1_original,M7_random_matched,0.24983038463545745,0.39978286286955067,-0.0013362599329957295
M2_intervention,M3_reuse,0.02781115879828326,0.054117254050442626,-0.5519489310414746
M2_intervention,M4_compression,0.33742879481737964,0.5045932854518123,0.03032559999791334
M2_intervention,M5_perturbation_centrality,0.028738347867176425,0.055871053950225485,-0.5904033052059873
M2_intervention,M6_frequency_control,0.2939269505078885,0.45431768832470354,0.07191343500027679
M2_intervention,M7_random_matched,0.24735663315797699,0.3966093201937531,0.02141292696534975
M3_reuse,M4_compression,0.07472063905219226,0.1390512777684984,-0.5818063011859926
M3_reuse,M5_perturbation_centrality,0.9608613772209941,0.9800400868548522,0.9734863377800113
M3_reuse,M6_frequency_control,0.1309029089535323,0.2315015867713379,-0.3911257022566986
M3_reuse,M7_random_matched,0.24983038463545745,0.39978286286955067,0.00814764506071693
M4_compression,M5_perturbation_centrality,0.08361990950226245,0.15433439118089193,-0.48916313284770047
M4_compression,M6_frequency_control,0.8307468847947405,0.9075496909971605,0.894483078145382
M4_compression,M7_random_matched,0.2499608539067801,0.3999498914314348,-0.024126853397944244
M5_perturbation_centrality,M6_frequency_control,0.14065253631817098,0.24661767162184733,-0.29718056751919475
M5_perturbation_centrality,M7_random_matched,0.24846209988530915,0.3980290629697678,0.0035807855982619673
M6_frequency_control,M7_random_matched,0.24904814061440567,0.3987806914982462,-0.017611738755282366
