class_id,class_size,freq,dag_diversity,dag_div_score,operator_diversity,op_div_score,depth_min,depth_max,depth_score,intervention_score,conditional_score,role_score,complexity,signature_len,operators,representative,M1_original,M2_intervention,M3_reuse,M4_compression,M5_perturbation_centrality,M6_frequency_control,M7_random_matched
17e289b3c332294d,111,0.16946564885496182,60,0.1744186046511628,3,1.0,1,1,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,5.0,246,Ancestor;Effect;Reachable,"Ancestor(N0, N1) || Effect(N0 -> N1) || Reachable(N0, N1)",0.19403552418667472,0.3333333333333333,2.0501998117759093e-05,10.034914894943576,0.300009225899153,0.17169447896325227,0.6216599625252344
cf63e254acd519cb,119,0.18167938931297709,49,0.14244186046511628,3,1.0,1,1,0.16666666666666666,0.36134453781512604,0.0,0.36134453781512604,5.0,247,Ancestor;Effect;Reachable,"Ancestor(N0, N2) || Effect(N0 -> N2) || Reachable(N0, N2)",0.19319460528316443,0.36134453781512604,2.0501998117759093e-05,10.23434824569596,0.3084125872436908,0.16402250133143975,0.6248182843659388
2484caa5d255d994,106,0.1618320610687023,53,0.15406976744186046,3,1.0,1,1,0.16666666666666666,0.3490566037735849,0.0,0.3490566037735849,5.0,246,Ancestor;Effect;Reachable,"Ancestor(N0, N3) || Effect(N0 -> N3) || Reachable(N0, N3)",0.19084279695987666,0.3490566037735849,2.0501998117759093e-05,9.293752727726169,0.30472620703122844,0.1583390289366235,0.383402100119019
089911203563e566,27,0.04122137404580153,14,0.040697674418604654,3,1.0,1,1,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,5.0,243,Ancestor;Effect;Reachable,"Ancestor(N1, N0) || Effect(N1 -> N0) || Reachable(N1, N0)",0.15448859093618653,0.3333333333333333,2.0501998117759093e-05,1.9648502300541488,0.300009225899153,0.04098570921356294,0.6216599625252344
857b3c27b5df4d12,153,0.233587786259542,63,0.18313953488372092,3,1.0,1,1,0.16666666666666666,0.33986928104575165,0.0,0.33986928104575165,5.0,247,Ancestor;Effect;Reachable,"Ancestor(N1, N2) || Effect(N1 -> N2) || Reachable(N1, N2)",0.2061742818895902,0.33986928104575165,2.0501998117759093e-05,13.992014569907536,0.3019700102128785,0.21088607314042251,0.49765461412359474
39af24de61852bd8,24,0.0366412213740458,13,0.0377906976744186,3,1.0,1,1,0.16666666666666666,0.3333333333333333,0.0,0.3333333333333333,5.0,243,Ancestor;Effect;Reachable,"Ancestor(N1, N3) || Effect(N1 -> N3) || Reachable(N1, N3)",0.15333315644302126,0.3333333333333333,2.0501998117759093e-05,1.7371435725687816,0.300009225899153,0.03715848570921357,0.16163268522669363
0d83fb0424465a35,23,0.035114503816793895,13,0.0377906976744186,3,1.0,1,1,0.16666666666666666,0.2608695652173913,0.0,0.2608695652173913,5.0,245,Ancestor;Effect;Reachable,"Ancestor(N2, N0) || Effect(N2 -> N0) || Reachable(N2, N0)",0.14909574079969787,0.2608695652173913,2.0501998117759093e-05,1.6602934290619633,0.27827009546437037,0.03631879105272502,0.3853569532168355
8e2c0fa415ccba4f,119,0.18167938931297709,49,0.14244186046511628,3,1.0,1,1,0.16666666666666666,0.3277310924369748,0.0,0.3277310924369748,5.0,244,Ancestor;Effect;Reachable,"Ancestor(N2, N1) || Effect(N2 -> N1) || Reachable(N2, N1)",0.19134586578736612,0.3277310924369748,2.0501998117759093e-05,10.275615778944736,0.29832855363024546,0.16402250133143975,0.17075533301650367
9bda833cc44dd793,34,0.051908396946564885,15,0.0436046511627907,3,1.0,1,1,0.16666666666666666,0.2647058823529412,0.0,0.2647058823529412,5.0,245,Ancestor;Effect;Reachable,"Ancestor(N2, N3) || Effect(N2 -> N3) || Reachable(N2, N3)",0.15287714921321652,0.2647058823529412,2.0501998117759093e-05,2.4808802871858906,0.27942099060503534,0.048171711343866504,0.38600857091610763
c27db25ce54c22b5,122,0.18625954198473282,58,0.1686046511627907,3,1.0,1,1,0.16666666666666666,0.319672131147541,0.0,0.319672131147541,5.0,246,Ancestor;Effect;Reachable,"Ancestor(N3, N0) || Effect(N3 -> N0) || Reachable(N3, N0)",0.1952557318282172,0.319672131147541,2.0501998117759093e-05,10.934285179874056,0.2959108652434153,0.17831484111485887,0.6612090255107976
