metric,label,allowed_ops,analyzed_class_count,broken_class_count,surviving_class_count,surviving_fraction,min_attack_cost,mean_attack_cost_broken,mean_auc_gns
M1_original,M1_original_B,"['P11_swap_branches', 'P12_alternative_derivation', 'P1_remove_edge', 'P2_add_edge', 'P3_reverse_edge', 'P5_split_mediator', 'P6_delete_path', 'P7_replace_chain', 'P8_merge_internal_nodes']",600,596,4,0.006666666666666667,1,1.0906040268456376,0.40475694444444443
M2_intervention,M2_intervention_B,"['P11_swap_branches', 'P12_alternative_derivation', 'P1_remove_edge', 'P2_add_edge', 'P3_reverse_edge', 'P5_split_mediator', 'P6_delete_path', 'P7_replace_chain', 'P8_merge_internal_nodes']",600,491,109,0.18166666666666667,1,1.2484725050916496,0.46729166666666666
M3_reuse,M3_reuse_B,"['P11_swap_branches', 'P12_alternative_derivation', 'P1_remove_edge', 'P2_add_edge', 'P3_reverse_edge', 'P5_split_mediator', 'P6_delete_path', 'P7_replace_chain', 'P8_merge_internal_nodes']",600,599,1,0.0016666666666666668,1,1.0801335559265441,0.27336805555555554
M4_compression,M4_compression_B,"['P11_swap_branches', 'P12_alternative_derivation', 'P1_remove_edge', 'P2_add_edge', 'P3_reverse_edge', 'P5_split_mediator', 'P6_delete_path', 'P7_replace_chain', 'P8_merge_internal_nodes']",600,517,83,0.13833333333333334,1,1.2185686653771761,0.4347916666666667
M5_perturbation_centrality,M5_perturbation_centrality_B,"['P11_swap_branches', 'P12_alternative_derivation', 'P1_remove_edge', 'P2_add_edge', 'P3_reverse_edge', 'P5_split_mediator', 'P6_delete_path', 'P7_replace_chain', 'P8_merge_internal_nodes']",600,597,3,0.005,1,1.102177554438861,0.2861458333333333
M6_frequency_control,M6_frequency_control_B,"['P11_swap_branches', 'P12_alternative_derivation', 'P1_remove_edge', 'P2_add_edge', 'P3_reverse_edge', 'P5_split_mediator', 'P6_delete_path', 'P7_replace_chain', 'P8_merge_internal_nodes']",600,517,83,0.13833333333333334,1,1.2185686653771761,0.4347916666666667
M7_random_matched,M7_random_matched_B,"['P11_swap_branches', 'P12_alternative_derivation', 'P1_remove_edge', 'P2_add_edge', 'P3_reverse_edge', 'P5_split_mediator', 'P6_delete_path', 'P7_replace_chain', 'P8_merge_internal_nodes']",600,499,101,0.16833333333333333,1,1.1843687374749499,0.4312847222222223
