class_id,metric,active,score
210dc2e782ce6534,M3_reuse,False,3.895139878651031e-05
210dc2e782ce6534,M4_compression,True,4.039167686658507
210dc2e782ce6534,M5_perturbation_centrality,False,0.08335086146278727
210dc2e782ce6534,M6_frequency_control,True,0.09450470442037992
210dc2e782ce6534,M7_random_matched,False,0.383402100119019
53b16c30a7f9d314,M1_original,False,0.09545303489195309
53b16c30a7f9d314,M2_intervention,False,0.0
53b16c30a7f9d314,M3_reuse,False,3.895139878651031e-05
53b16c30a7f9d314,M4_compression,True,4.4945350539684705
53b16c30a7f9d314,M5_perturbation_centrality,False,0.08335086146278727
53b16c30a7f9d314,M6_frequency_control,True,0.103096041185869
53b16c30a7f9d314,M7_random_matched,True,0.6216599625252344
f0e578d57e5d51e5,M1_original,False,0.07199479771815581
f0e578d57e5d51e5,M2_intervention,False,0.0
f0e578d57e5d51e5,M3_reuse,False,3.895139878651031e-05
f0e578d57e5d51e5,M4_compression,True,0.9439124487004101
f0e578d57e5d51e5,M5_perturbation_centrality,False,0.08335086146278727
f0e578d57e5d51e5,M6_frequency_control,True,0.02577401029646725
f0e578d57e5d51e5,M7_random_matched,False,0.23557788045867445
37a2778aa2c10a05,M1_original,False,0.10327244728321884
37a2778aa2c10a05,M2_intervention,False,0.0
37a2778aa2c10a05,M3_reuse,False,3.895139878651031e-05
37a2778aa2c10a05,M4_compression,True,5.915952672378621
37a2778aa2c10a05,M5_perturbation_centrality,False,0.08335086146278727
37a2778aa2c10a05,M6_frequency_control,True,0.12887005148233624
37a2778aa2c10a05,M7_random_matched,True,0.6248182843659388
d1ef19f473f194b5,M1_original,False,0.07069156231961153
d1ef19f473f194b5,M2_intervention,False,0.0
d1ef19f473f194b5,M3_reuse,False,3.895139878651031e-05
d1ef19f473f194b5,M4_compression,True,0.7780437756497948
d1ef19f473f194b5,M5_perturbation_centrality,False,0.08335086146278727
d1ef19f473f194b5,M6_frequency_control,True,0.021478341913722707
d1ef19f473f194b5,M7_random_matched,True,0.6216599625252344
af5dcc0f1bb1aaae,M1_original,False,0.07134318001888368
af5dcc0f1bb1aaae,M2_intervention,False,0.0
af5dcc0f1bb1aaae,M3_reuse,False,3.895139878651031e-05
af5dcc0f1bb1aaae,M4_compression,True,0.858027006751688
af5dcc0f1bb1aaae,M5_perturbation_centrality,False,0.08335086146278727
af5dcc0f1bb1aaae,M6_frequency_control,True,0.02362617610509498
af5dcc0f1bb1aaae,M7_random_matched,True,0.6605574078115255
fb929282347e51f7,M1_original,False,0.09284656409486451
fb929282347e51f7,M2_intervention,False,0.0
fb929282347e51f7,M3_reuse,False,3.895139878651031e-05
fb929282347e51f7,M4_compression,True,4.056961376908103
fb929282347e51f7,M5_perturbation_centrality,False,0.08335086146278727
fb929282347e51f7,M6_frequency_control,True,0.09450470442037992
fb929282347e51f7,M7_random_matched,False,0.5404617656055186
2198fe7030eb6d13,M1_original,False,0.07134318001888368
2198fe7030eb6d13,M2_intervention,False,0.0
2198fe7030eb6d13,M3_reuse,False,3.895139878651031e-05
2198fe7030eb6d13,M4_compression,True,0.858027006751688
2198fe7030eb6d13,M5_perturbation_centrality,False,0.08335086146278727
2198fe7030eb6d13,M6_frequency_control,True,0.02362617610509498
2198fe7030eb6d13,M7_random_matched,False,0.5008129359642991
4955c64e148a70f2,M1_original,False,0.09675627029049738
4955c64e148a70f2,M2_intervention,False,0.0
4955c64e148a70f2,M3_reuse,False,3.895139878651031e-05
4955c64e148a70f2,M4_compression,True,4.724369232864586
4955c64e148a70f2,M5_perturbation_centrality,False,0.08335086146278727
4955c64e148a70f2,M6_frequency_control,True,0.10739170956861355
4955c64e148a70f2,M7_random_matched,False,0.49895784952213906
333d4ad2334fa474,M1_original,False,0.09349818179413664
333d4ad2334fa474,M2_intervention,False,0.0
333d4ad2334fa474,M3_reuse,False,3.895139878651031e-05
333d4ad2334fa474,M4_compression,True,4.156168068371412
333d4ad2334fa474,M5_perturbation_centrality,False,0.08335086146278727
333d4ad2334fa474,M6_frequency_control,True,0.09665253861175219
333d4ad2334fa474,M7_random_matched,True,0.6216599625252344
d221d9b5e05b2607,M1_original,False,0.09740788798976953
d221d9b5e05b2607,M2_intervention,False,0.0
d221d9b5e05b2607,M3_reuse,False,3.895139878651031e-05
d221d9b5e05b2607,M4_compression,True,4.833486332109343
d221d9b5e05b2607,M5_perturbation_centrality,False,0.08335086146278727
d221d9b5e05b2607,M6_frequency_control,True,0.10953954375998581
d221d9b5e05b2607,M7_random_matched,False,0.49765461412359474
bc9c853b1e75c157,M1_original,False,0.3368115622132739
bc9c853b1e75c157,M2_intervention,True,1.0
bc9c853b1e75c157,M3_reuse,False,1.957464823193663e-05
bc9c853b1e75c157,M4_compression,True,75.46708105597828
bc9c853b1e75c157,M5_perturbation_centrality,False,0.3833421419250377
bc9c853b1e75c157,M6_frequency_control,True,0.7173766199183385
bc9c853b1e75c157,M7_random_matched,False,0.537203677109158
