gamma,p,C,kappa,audit_on,n,successes,permanence_rate,wilson_lo,wilson_hi,mean_final_corr,mean_corr,mean_adversary_concealment,mean_final_adversary_concealment,mean_adversary_fitness,adversary_extinction_rate,mean_adversary_share,mean_caught_events,mean_false_positive_events,mean_steps_run
0.0,0.0,0.0,0.0,False,30,0,0.0,0.0,0.113517091390478,-1.0,-0.5115697264563482,0.9989408213034464,0.9989706614412941,1.1505676130785945,0.0,0.9054294850764332,0.0,0.0,70.16666666666667
0.0,0.0,0.0,0.1,False,30,0,0.0,0.0,0.113517091390478,-1.0,-0.5115697264563482,0.9989408213034464,0.9989706614412941,1.1505676130785945,0.0,0.9054294850764332,0.0,0.0,70.16666666666667
0.0,0.0,0.0,0.3,False,30,0,0.0,0.0,0.113517091390478,-1.0,-0.5115697264563482,0.9989408213034464,0.9989706614412941,1.1505676130785945,0.0,0.9054294850764332,0.0,0.0,70.16666666666667
0.0,0.0,0.5,0.0,False,30,0,0.0,0.0,0.113517091390478,-1.0,-0.5115697264563482,0.9989408213034464,0.9989706614412941,1.1505676130785945,0.0,0.9054294850764332,0.0,0.0,70.16666666666667
0.0,0.0,0.5,0.1,False,30,0,0.0,0.0,0.113517091390478,-1.0,-0.5115697264563482,0.9989408213034464,0.9989706614412941,1.1505676130785945,0.0,0.9054294850764332,0.0,0.0,70.16666666666667
0.0,0.0,0.5,0.3,False,30,0,0.0,0.0,0.113517091390478,-1.0,-0.5115697264563482,0.9989408213034464,0.9989706614412941,1.1505676130785945,0.0,0.9054294850764332,0.0,0.0,70.16666666666667
0.0,0.0,1.0,0.0,False,30,0,0.0,0.0,0.113517091390478,-1.0,-0.5115697264563482,0.9989408213034464,0.9989706614412941,1.1505676130785945,0.0,0.9054294850764332,0.0,0.0,70.16666666666667
0.0,0.0,1.0,0.1,False,30,0,0.0,0.0,0.113517091390478,-1.0,-0.5115697264563482,0.9989408213034464,0.9989706614412941,1.1505676130785945,0.0,0.9054294850764332,0.0,0.0,70.16666666666667
0.0,0.0,1.0,0.3,False,30,0,0.0,0.0,0.113517091390478,-1.0,-0.5115697264563482,0.9989408213034464,0.9989706614412941,1.1505676130785945,0.0,0.9054294850764332,0.0,0.0,70.16666666666667
0.0,0.25,0.0,0.0,False,30,0,0.0,0.0,0.113517091390478,-1.0,-0.49842574771292225,0.9983919547250388,0.9984482696123762,1.1512291037133735,0.0,0.9077809992009588,0.0,0.0,66.86666666666666
0.0,0.25,0.0,0.1,False,30,0,0.0,0.0,0.113517091390478,-1.0,-0.5149424413237208,0.9997492585208244,0.9998934431530525,1.1477992511185446,0.0,0.9084932433243671,0.0,0.0,67.26666666666667
0.0,0.25,0.0,0.3,False,30,0,0.0,0.0,0.113517091390478,-1.0,-0.542444727087981,0.9998128091089866,0.9998507993107618,1.140755832797767,0.0,0.9107841934125233,0.0,0.0,68.63333333333334
0.0,0.25,0.5,0.0,True,30,0,0.0,0.0,0.113517091390478,-1.0,-0.49842574771292225,0.9983919547250388,0.9984482696123762,1.1512291037133735,0.0,0.9077809992009588,0.0,0.0,66.86666666666666
0.0,0.25,0.5,0.1,True,30,0,0.0,0.0,0.113517091390478,-1.0,-0.5215787087455735,0.9997549082337289,0.9998934431530525,1.1467372461781289,0.0,0.899765359877771,0.0,0.1,68.5
0.0,0.25,0.5,0.3,True,30,0,0.0,0.0,0.113517091390478,-0.8,-0.3923770887977316,0.95924184772364,0.9605614180912964,1.096188742901532,0.06666666666666667,0.802122176780625,0.0,0.4,65.66666666666667
0.0,0.25,1.0,0.0,True,30,0,0.0,0.0,0.113517091390478,-1.0,-0.49842574771292225,0.9983919547250388,0.9984482696123762,1.1512291037133735,0.0,0.9077809992009588,0.0,0.0,66.86666666666666
0.0,0.25,1.0,0.1,True,30,0,0.0,0.0,0.113517091390478,-1.0,-0.5117237088847292,0.9997549082337289,0.9998934431530525,1.146679802726986,0.03333333333333333,0.8982394413559308,0.0,0.1,66.33333333333333
0.0,0.25,1.0,0.3,True,30,0,0.0,0.0,0.113517091390478,-0.8,-0.35482869969106695,0.9532313648823467,0.9538947514246298,1.0591645295190635,0.16666666666666666,0.8137091036315547,0.0,0.3333333333333333,57.96666666666667
0.0,0.5,0.0,0.0,False,30,0,0.0,0.0,0.113517091390478,-1.0,-0.49842574771292225,0.9983919547250388,0.9984482696123762,1.1512291037133735,0.0,0.9077809992009588,0.0,0.0,66.86666666666666
0.0,0.5,0.0,0.1,False,30,0,0.0,0.0,0.113517091390478,-1.0,-0.5106432087531326,0.9991214151548632,0.9993710513241346,1.1438992082141817,0.0,0.9093165820429022,0.0,0.0,68.66666666666667
0.0,0.5,0.0,0.3,False,30,0,0.0,0.0,0.113517091390478,-1.0,-0.5729642964721927,0.9997442424638142,0.9997442424638142,1.129255790192704,0.0,0.9120939464337063,0.0,0.0,71.56666666666666
0.0,0.5,0.5,0.0,True,30,0,0.0,0.0,0.113517091390478,-1.0,-0.49842574771292225,0.9983919547250388,0.9984482696123762,1.1512291037133735,0.0,0.9077809992009588,0.0,0.0,66.86666666666666
0.0,0.5,0.5,0.1,True,30,0,0.0,0.0,0.113517091390478,-1.0,-0.43493856389460467,0.9968072686803718,0.9995294971957842,1.1390445477432845,0.03333333333333333,0.8472920060796446,0.0,0.3,65.0
0.0,0.5,0.5,0.3,True,30,0,0.0,0.0,0.113517091390478,-0.7333333333333333,-0.15016780394552817,0.9444974519206227,0.9480891765223672,1.069550382959832,0.26666666666666666,0.6544085713107957,0.0,0.9,50.233333333333334
