class_id,k,persistence,class_size,analyzed
5f4862fddb23ab67,2,1.0,359,True
5f4862fddb23ab67,3,1.0,359,True
5f4862fddb23ab67,4,1.0,359,True
8d702122b4da0ead,0,1.0,354,True
8d702122b4da0ead,1,1.0,354,True
8d702122b4da0ead,2,1.0,354,True
8d702122b4da0ead,3,1.0,354,True
8d702122b4da0ead,4,1.0,354,True
ef6d17f31b02b012,0,1.0,354,True
ef6d17f31b02b012,1,1.0,354,True
ef6d17f31b02b012,2,1.0,354,True
ef6d17f31b02b012,3,1.0,354,True
ef6d17f31b02b012,4,1.0,354,True
47042025abe88cbf,0,1.0,347,True
47042025abe88cbf,1,1.0,347,True
47042025abe88cbf,2,1.0,347,True
47042025abe88cbf,3,1.0,347,True
47042025abe88cbf,4,1.0,347,True
5e258fa8c2710ec8,0,,344,False
5e258fa8c2710ec8,1,,344,False
5e258fa8c2710ec8,2,,344,False
5e258fa8c2710ec8,3,,344,False
5e258fa8c2710ec8,4,,344,False
a1e49f1c94433d63,0,,339,False
a1e49f1c94433d63,1,,339,False
a1e49f1c94433d63,2,,339,False
a1e49f1c94433d63,3,,339,False
a1e49f1c94433d63,4,,339,False
3100693433eb8c2d,0,,338,False
3100693433eb8c2d,1,,338,False
3100693433eb8c2d,2,,338,False
3100693433eb8c2d,3,,338,False
3100693433eb8c2d,4,,338,False
a59afeaf3d0749cb,0,,336,False
a59afeaf3d0749cb,1,,336,False
a59afeaf3d0749cb,2,,336,False
a59afeaf3d0749cb,3,,336,False
a59afeaf3d0749cb,4,,336,False
1305089c20abcf01,0,,334,False
1305089c20abcf01,1,,334,False
1305089c20abcf01,2,,334,False
1305089c20abcf01,3,,334,False
1305089c20abcf01,4,,334,False
bc9c853b1e75c157,0,,334,False
bc9c853b1e75c157,1,,334,False
bc9c853b1e75c157,2,,334,False
bc9c853b1e75c157,3,,334,False
bc9c853b1e75c157,4,,334,False
00d4be19dbcb5225,0,1.0,333,True
00d4be19dbcb5225,1,1.0,333,True
00d4be19dbcb5225,2,1.0,333,True
00d4be19dbcb5225,3,1.0,333,True
00d4be19dbcb5225,4,1.0,333,True
8d380d339234504a,0,,333,False
8d380d339234504a,1,,333,False
8d380d339234504a,2,,333,False
8d380d339234504a,3,,333,False
8d380d339234504a,4,,333,False
a0b2c1117b29c0f8,0,,333,False
a0b2c1117b29c0f8,1,,333,False
a0b2c1117b29c0f8,2,,333,False
a0b2c1117b29c0f8,3,,333,False
a0b2c1117b29c0f8,4,,333,False
d09f8b496df512b4,0,,333,False
d09f8b496df512b4,1,,333,False
d09f8b496df512b4,2,,333,False
d09f8b496df512b4,3,,333,False
d09f8b496df512b4,4,,333,False
53210ae1cecdcf64,0,,323,False
53210ae1cecdcf64,1,,323,False
53210ae1cecdcf64,2,,323,False
53210ae1cecdcf64,3,,323,False
53210ae1cecdcf64,4,,323,False
f21bcd69efbaa656,0,,322,False
f21bcd69efbaa656,1,,322,False
f21bcd69efbaa656,2,,322,False
f21bcd69efbaa656,3,,322,False
f21bcd69efbaa656,4,,322,False
50460cde9bb67eb1,0,,310,False
50460cde9bb67eb1,1,,310,False
50460cde9bb67eb1,2,,310,False
50460cde9bb67eb1,3,,310,False
50460cde9bb67eb1,4,,310,False
7104f16691a5d5bd,0,,256,False
7104f16691a5d5bd,1,,256,False
7104f16691a5d5bd,2,,256,False
7104f16691a5d5bd,3,,256,False
7104f16691a5d5bd,4,,256,False
18e6d6ef5f48d5f1,0,,255,False
18e6d6ef5f48d5f1,1,,255,False
18e6d6ef5f48d5f1,2,,255,False
18e6d6ef5f48d5f1,3,,255,False
18e6d6ef5f48d5f1,4,,255,False
f45b62f7e22ed194,0,,250,False
f45b62f7e22ed194,1,,250,False
f45b62f7e22ed194,2,,250,False
f45b62f7e22ed194,3,,250,False
f45b62f7e22ed194,4,,250,False
61de080f7a72632f,0,,246,False
61de080f7a72632f,1,,246,False
61de080f7a72632f,2,,246,False
61de080f7a72632f,3,,246,False
61de080f7a72632f,4,,246,False
18238c7d4071f241,0,,245,False
18238c7d4071f241,1,,245,False
18238c7d4071f241,2,,245,False
18238c7d4071f241,3,,245,False
