dag_size,edge_probability,depth,relation,class_count,entropy,largest_class_fraction,singleton_fraction,class_count_ratio
4,0.15,1,feature,18,4.169925001442312,0.05555555555555555,0.0,0.029411764705882353
4,0.15,1,consequence,39,4.614014430597589,0.07352941176470588,0.0,0.06372549019607843
4,0.15,1,ast_identity,612,9.257387842692726,0.0016339869281045752,1.0,1.0
4,0.15,2,feature,36,5.106890595608519,0.03333333333333333,0.0,0.03529411764705882
4,0.15,2,consequence,101,5.866854616914525,0.04411764705882353,0.15841584158415842,0.09901960784313725
4,0.15,2,ast_identity,1020,9.994353436858685,0.000980392156862745,1.0,1.0
4,0.15,3,feature,44,5.16157083517629,0.05555555555555555,0.0,0.023965141612200435
4,0.15,3,consequence,213,6.992599217437062,0.024509803921568627,0.07511737089201878,0.11601307189542484
4,0.15,3,ast_identity,1836,10.842350343413823,0.0005446623093681918,1.0,1.0
4,0.15,4,feature,56,5.558953210005305,0.045454545454545456,0.0,0.024955436720142603
4,0.15,4,consequence,259,7.318612775343728,0.020053475935828877,0.10038610038610038,0.11541889483065954
4,0.15,4,ast_identity,2244,11.131856960608399,0.000445632798573975,1.0,1.0
4,0.15,5,feature,68,5.874644526332671,0.038461538461538464,0.0,0.02564102564102564
4,0.15,5,consequence,303,7.580861339423489,0.016968325791855202,0.11221122112211221,0.11425339366515837
4,0.15,5,ast_identity,2652,11.372865060112769,0.0003770739064856712,1.0,1.0
4,0.15,6,feature,74,5.891541406655652,0.0625,0.0,0.02267156862745098
4,0.15,6,consequence,406,7.9995302283515946,0.013786764705882353,0.0960591133004926,0.12438725490196079
4,0.15,6,ast_identity,3264,11.672425341971215,0.00030637254901960784,1.0,1.0
4,0.25,1,feature,18,4.169925001442312,0.05555555555555555,0.0,0.029411764705882353
4,0.25,1,consequence,37,4.593611500892645,0.0784313725490196,0.0,0.06045751633986928
4,0.25,1,ast_identity,612,9.257387842692726,0.0016339869281045752,1.0,1.0
4,0.25,2,feature,36,5.106890595608519,0.03333333333333333,0.0,0.03529411764705882
4,0.25,2,consequence,97,5.857988300324792,0.047058823529411764,0.14432989690721648,0.09509803921568627
4,0.25,2,ast_identity,1020,9.994353436858685,0.000980392156862745,1.0,1.0
4,0.25,3,feature,44,5.16157083517629,0.05555555555555555,0.0,0.023965141612200435
4,0.25,3,consequence,229,7.095516967436135,0.026143790849673203,0.0611353711790393,0.1247276688453159
4,0.25,3,ast_identity,1836,10.842350343413823,0.0005446623093681918,1.0,1.0
4,0.25,4,feature,56,5.558953210005305,0.045454545454545456,0.0,0.024955436720142603
4,0.25,4,consequence,283,7.430123460900725,0.0213903743315508,0.10247349823321555,0.12611408199643495
4,0.25,4,ast_identity,2244,11.131856960608399,0.000445632798573975,1.0,1.0
4,0.25,5,feature,68,5.874644526332671,0.038461538461538464,0.0,0.02564102564102564
4,0.25,5,consequence,328,7.682950579186179,0.01809954751131222,0.10975609756097561,0.12368024132730016
4,0.25,5,ast_identity,2652,11.372865060112769,0.0003770739064856712,1.0,1.0
4,0.25,6,feature,74,5.891541406655652,0.0625,0.0,0.02267156862745098
4,0.25,6,consequence,459,8.136555459040604,0.014705882352941176,0.10457516339869281,0.140625
4,0.25,6,ast_identity,3264,11.672425341971215,0.00030637254901960784,1.0,1.0
4,0.35,1,feature,18,4.169925001442312,0.05555555555555555,0.0,0.029411764705882353
4,0.35,1,consequence,51,5.057354713899933,0.06372549019607843,0.0,0.08333333333333333
4,0.35,1,ast_identity,612,9.257387842692726,0.0016339869281045752,1.0,1.0
4,0.35,2,feature,36,5.106890595608519,0.03333333333333333,0.0,0.03529411764705882
4,0.35,2,consequence,131,6.268428645924257,0.03823529411764706,0.1984732824427481,0.1284313725490196
4,0.35,2,ast_identity,1020,9.994353436858685,0.000980392156862745,1.0,1.0
4,0.35,3,feature,44,5.16157083517629,0.05555555555555555,0.0,0.023965141612200435
4,0.35,3,consequence,285,7.459097430063214,0.021241830065359478,0.0912280701754386,0.15522875816993464
4,0.35,3,ast_identity,1836,10.842350343413823,0.0005446623093681918,1.0,1.0
