class_id,class_size,frequency,dag_diversity,dag_div_score,operator_diversity,op_div_score,depth_min,depth_max,depth_score,intervention_score,conditional_score,role_score,complexity,signature_len,operators,representative,M1_original_score,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M6_frequency_control_score,M7_random_matched_score,expression_depth,reuse_rate,reuse_count,intervention_role,conditional_role,raw_score,active_M1,active_M2_intervention,active_M3,active_M4_compression,active_M5,active_M6_frequency_control,active_M7_random_matched,functional_core_membership,strict_core_membership,class_a_survives,class_b_survives,class_b_attack_cost,class_b_auc_gns
17e289b3c332294d,111,0.1694656488549618,60,0.1744186046511628,3,1.0,1,1,0.1666666666666666,0.3333333333333333,0.0,0.3333333333333333,5.0,246,Ancestor;Effect;Reachable,"Ancestor(N0, N1) || Effect(N0 -> N1) || Reachable(N0, N1)",0.1940355241866747,0.3333333333333333,2.0501998117759093e-05,10.034914894943576,0.300009225899153,0.1716944789632522,0.6216599625252344,1,2.0501998117759093e-05,333,0.3333333333333333,0.0,0.1940355241866747,False,True,False,True,False,True,True,False,False,True,False,1.0,0.5
cf63e254acd519cb,119,0.181679389312977,49,0.1424418604651162,3,1.0,1,1,0.1666666666666666,0.361344537815126,0.0,0.361344537815126,5.0,247,Ancestor;Effect;Reachable,"Ancestor(N0, N2) || Effect(N0 -> N2) || Reachable(N0, N2)",0.1931946052831644,0.361344537815126,2.0501998117759093e-05,10.23434824569596,0.3084125872436908,0.1640225013314397,0.6248182843659388,1,2.0501998117759093e-05,357,0.361344537815126,0.0,0.1931946052831644,False,True,False,True,False,True,True,False,False,True,False,1.0,0.5
2484caa5d255d994,106,0.1618320610687023,53,0.1540697674418604,3,1.0,1,1,0.1666666666666666,0.3490566037735849,0.0,0.3490566037735849,5.0,246,Ancestor;Effect;Reachable,"Ancestor(N0, N3) || Effect(N0 -> N3) || Reachable(N0, N3)",0.1908427969598766,0.3490566037735849,2.0501998117759093e-05,9.293752727726169,0.3047262070312284,0.1583390289366235,0.383402100119019,1,2.0501998117759093e-05,318,0.3490566037735849,0.0,0.1908427969598766,False,True,False,True,False,True,False,False,False,True,False,1.0,0.5
089911203563e566,27,0.0412213740458015,14,0.0406976744186046,3,1.0,1,1,0.1666666666666666,0.3333333333333333,0.0,0.3333333333333333,5.0,243,Ancestor;Effect;Reachable,"Ancestor(N1, N0) || Effect(N1 -> N0) || Reachable(N1, N0)",0.1544885909361865,0.3333333333333333,2.0501998117759093e-05,1.9648502300541488,0.300009225899153,0.0409857092135629,0.6216599625252344,1,2.0501998117759093e-05,81,0.3333333333333333,0.0,0.1544885909361865,False,True,False,True,False,True,True,False,False,,,,
857b3c27b5df4d12,153,0.233587786259542,63,0.1831395348837209,3,1.0,1,1,0.1666666666666666,0.3398692810457516,0.0,0.3398692810457516,5.0,247,Ancestor;Effect;Reachable,"Ancestor(N1, N2) || Effect(N1 -> N2) || Reachable(N1, N2)",0.2061742818895902,0.3398692810457516,2.0501998117759093e-05,13.992014569907536,0.3019700102128785,0.2108860731404225,0.4976546141235947,1,2.0501998117759093e-05,459,0.3398692810457516,0.0,0.2061742818895902,False,True,False,True,False,True,False,False,False,True,False,1.0,0.5
39af24de61852bd8,24,0.0366412213740458,13,0.0377906976744186,3,1.0,1,1,0.1666666666666666,0.3333333333333333,0.0,0.3333333333333333,5.0,243,Ancestor;Effect;Reachable,"Ancestor(N1, N3) || Effect(N1 -> N3) || Reachable(N1, N3)",0.1533331564430212,0.3333333333333333,2.0501998117759093e-05,1.7371435725687816,0.300009225899153,0.0371584857092135,0.1616326852266936,1,2.0501998117759093e-05,72,0.3333333333333333,0.0,0.1533331564430212,False,True,False,True,False,True,False,False,False,,,,
0d83fb0424465a35,23,0.0351145038167938,13,0.0377906976744186,3,1.0,1,1,0.1666666666666666,0.2608695652173913,0.0,0.2608695652173913,5.0,245,Ancestor;Effect;Reachable,"Ancestor(N2, N0) || Effect(N2 -> N0) || Reachable(N2, N0)",0.1490957407996978,0.2608695652173913,2.0501998117759093e-05,1.6602934290619633,0.2782700954643703,0.036318791052725,0.3853569532168355,1,2.0501998117759093e-05,69,0.2608695652173913,0.0,0.1490957407996978,False,True,False,True,False,True,False,False,False,,,,
8e2c0fa415ccba4f,119,0.181679389312977,49,0.1424418604651162,3,1.0,1,1,0.1666666666666666,0.3277310924369748,0.0,0.3277310924369748,5.0,244,Ancestor;Effect;Reachable,"Ancestor(N2, N1) || Effect(N2 -> N1) || Reachable(N2, N1)",0.1913458657873661,0.3277310924369748,2.0501998117759093e-05,10.275615778944736,0.2983285536302454,0.1640225013314397,0.1707553330165036,1,2.0501998117759093e-05,357,0.3277310924369748,0.0,0.1913458657873661,False,True,False,True,False,True,False,False,False,True,False,1.0,0.5
9bda833cc44dd793,34,0.0519083969465648,15,0.0436046511627907,3,1.0,1,1,0.1666666666666666,0.2647058823529412,0.0,0.2647058823529412,5.0,245,Ancestor;Effect;Reachable,"Ancestor(N2, N3) || Effect(N2 -> N3) || Reachable(N2, N3)",0.1528771492132165,0.2647058823529412,2.0501998117759093e-05,2.4808802871858906,0.2794209906050353,0.0481717113438665,0.3860085709161076,1,2.0501998117759093e-05,102,0.2647058823529412,0.0,0.1528771492132165,False,True,False,True,False,True,False,False,False,True,False,1.0,0.5
c27db25ce54c22b5,122,0.1862595419847328,58,0.1686046511627907,3,1.0,1,1,0.1666666666666666,0.319672131147541,0.0,0.319672131147541,5.0,246,Ancestor;Effect;Reachable,"Ancestor(N3, N0) || Effect(N3 -> N0) || Reachable(N3, N0)",0.1952557318282172,0.319672131147541,2.0501998117759093e-05,10.934285179874056,0.2959108652434153,0.1783148411148588,0.6612090255107976,1,2.0501998117759093e-05,366,0.319672131147541,0.0,0.1952557318282172,False,True,False,True,False,True,True,False,False,True,False,1.0,0.5
77b6a1021cf1a462,113,0.1725190839694656,58,0.1686046511627907,3,1.0,1,1,0.1666666666666666,0.3274336283185841,0.0,0.3274336283185841,5.0,246,Ancestor;Effect;Reachable,"Ancestor(N3, N1) || Effect(N3 -> N1) || Reachable(N3, N1)",0.1934154386001055,0.3274336283185841,2.0501998117759093e-05,10.127657584637449,0.2982393143947282,0.1707575892064619,0.6216599625252344,1,2.0501998117759093e-05,339,0.3274336283185841,0.0,0.1934154386001055,False,True,False,True,False,True,True,False,False,True,False,1.0,0.5
0f2f893b845d1cf6,132,0.2015267175572519,55,0.1598837209302325,3,1.0,1,1,0.1666666666666666,0.3409090909090909,0.0,0.3409090909090909,5.0,247,Ancestor;Effect;Reachable,"Ancestor(N3, N2) || Effect(N3 -> N2) || Reachable(N3, N2)",0.1977437206775913,0.3409090909090909,2.0501998117759093e-05,11.660595871859533,0.3022819531718803,0.1827873690750932,0.3918731302095569,1,2.0501998117759093e-05,396,0.3409090909090909,0.0,0.1977437206775913,False,True,False,True,False,True,False,False,False,True,False,1.0,0.5
d34283f682fb5db5,52,0.0793893129770992,52,0.1511627906976744,1,0.3333333333333333,2,2,0.3333333333333333,0.0,0.0,0.0,4.0,283,P_obs,P(N1 | N0),0.0980595056890416,0.0,3.895139878651031e-05,4.957608362559162,0.0833508614627872,0.111687377951358,0.6605574078115255,2,3.895139878651031e-05,52,0.0,0.0,0.0980595056890416,False,False,False,True,False,True,True,False,False,True,False,1.0,0.0
210dc2e782ce6534,44,0.0671755725190839,44,0.127906976744186,1,0.3333333333333333,2,2,0.3333333333333333,0.0,0.0,0.0,4.0,284,P_obs,P(N2 | N0),0.0928465640948645,0.0,3.895139878651031e-05,4.039167686658507,0.0833508614627872,0.0945047044203799,0.383402100119019,2,3.895139878651031e-05,44,0.0,0.0,0.0928465640948645,False,False,False,True,False,True,False,False,False,True,False,1.0,0.0
53b16c30a7f9d314,48,0.0732824427480916,48,0.1395348837209302,1,0.3333333333333333,2,2,0.3333333333333333,0.0,0.0,0.0,4.0,283,P_obs,P(N3 | N0),0.095453034891953,0.0,3.895139878651031e-05,4.494535053968471,0.0833508614627872,0.103096041185869,0.6216599625252344,2,3.895139878651031e-05,48,0.0,0.0,0.095453034891953,False,False,False,True,False,True,True,False,False,True,False,1.0,0.0
f0e578d57e5d51e5,12,0.0183206106870229,12,0.0348837209302325,1,0.3333333333333333,2,2,0.3333333333333333,0.0,0.0,0.0,4.0,280,P_obs,P(N0 | N1),0.0719947977181558,0.0,3.895139878651031e-05,0.94391244870041,0.0833508614627872,0.0257740102964672,0.2355778804586744,2,3.895139878651031e-05,12,0.0,0.0,0.0719947977181558,False,False,False,True,False,True,False,False,False,,,,
37a2778aa2c10a05,60,0.0916030534351145,60,0.1744186046511628,1,0.3333333333333333,2,2,0.3333333333333333,0.0,0.0,0.0,4.0,284,P_obs,P(N2 | N1),0.1032724472832188,0.0,3.895139878651031e-05,5.915952672378621,0.0833508614627872,0.1288700514823362,0.6248182843659388,2,3.895139878651031e-05,60,0.0,0.0,0.1032724472832188,False,False,False,True,False,True,True,False,False,True,False,1.0,0.0
d1ef19f473f194b5,10,0.015267175572519,10,0.0290697674418604,1,0.3333333333333333,2,2,0.3333333333333333,0.0,0.0,0.0,4.0,280,P_obs,P(N3 | N1),0.0706915623196115,0.0,3.895139878651031e-05,0.7780437756497948,0.0833508614627872,0.0214783419137227,0.6216599625252344,2,3.895139878651031e-05,10,0.0,0.0,0.0706915623196115,False,False,False,True,False,True,True,False,False,,,,
af5dcc0f1bb1aaae,11,0.0167938931297709,11,0.0319767441860465,1,0.3333333333333333,2,2,0.3333333333333333,0.0,0.0,0.0,4.0,282,P_obs,P(N0 | N2),0.0713431800188836,0.0,3.895139878651031e-05,0.858027006751688,0.0833508614627872,0.0236261761050949,0.6605574078115255,2,3.895139878651031e-05,11,0.0,0.0,0.0713431800188836,False,False,False,True,False,True,True,False,False,,,,
fb929282347e51f7,44,0.0671755725190839,44,0.127906976744186,1,0.3333333333333333,2,2,0.3333333333333333,0.0,0.0,0.0,4.0,281,P_obs,P(N1 | N2),0.0928465640948645,0.0,3.895139878651031e-05,4.056961376908103,0.0833508614627872,0.0945047044203799,0.5404617656055186,2,3.895139878651031e-05,44,0.0,0.0,0.0928465640948645,False,False,False,True,False,True,False,False,False,True,False,1.0,0.0
