class_id,PC1,PC2,PC3,PC4,PC5
17e289b3c332294d,-10.170684222871312,7.950749850371489,2.429002523873446,-1.5389018369123801,-1.1299192099832218
cf63e254acd519cb,-10.0999057881585,7.826586288973103,2.3411114119881,-1.4323759928115458,-1.167753048209447
2484caa5d255d994,-10.028602276699848,7.659573745998268,2.1380545911964,-1.3160182051301752,-1.4155346620872267
089911203563e566,-8.407328958497866,4.691454626843971,-1.597011391161487,0.33692946765768583,-3.38897164112002
857b3c27b5df4d12,-10.64175144173706,8.862072556725774,3.6475822760906267,-2.2367415234988783,-0.38009128780983825
39af24de61852bd8,-8.326249879977071,4.547132271999372,-1.711249283242575,0.3677886448227161,-3.55395357546764
0d83fb0424465a35,-8.263363124700344,4.64903321210818,-1.909779771250486,0.10402897965454871,-3.671538751798406
8e2c0fa415ccba4f,-10.165059364249394,7.871518821583914,2.346235309317858,-1.430467607472404,-1.3224268122541327
9bda833cc44dd793,-8.52043811794846,5.087121429642818,-1.4099597484488793,-0.014133933586313216,-3.475022968798459
c27db25ce54c22b5,-10.268603508461108,8.161525608282046,2.632906938194091,-1.7063229038220042,-0.9942075093837903
77b6a1021cf1a462,-10.168600961039562,7.959766515363725,2.4102921526678083,-1.5520485176635839,-1.1452054374326883
0f2f893b845d1cf6,-10.320121176866545,8.262695466693314,2.8640153890965947,-1.78613544985139,-0.9319180214586384
d34283f682fb5db5,-7.703357750033621,4.498332259668465,0.19435518146196265,-5.450620901664878,-1.3967332028839605
210dc2e782ce6534,-7.46119194623326,4.103071798092623,-0.2823241673355137,-5.267901868288171,-1.7734331451052783
53b16c30a7f9d314,-7.5932192062035275,4.30165166890985,-0.05314341201733939,-5.336779600893198,-1.5457695400567388
f0e578d57e5d51e5,-6.364675845850791,2.0656013154459156,-2.6180194077286396,-4.402209317407591,-2.8075883772659576
37a2778aa2c10a05,-7.895495057524721,4.885387720190227,0.6798444766772929,-5.718692199559611,-1.1093337186806744
d1ef19f473f194b5,-6.244457973723654,1.8749156650259073,-2.8633394436721527,-4.37343537557712,-2.757306124043836
af5dcc0f1bb1aaae,-6.263983987485149,1.9839700637758022,-2.7739544174265744,-4.453363084667395,-2.73383798366519
fb929282347e51f7,-7.523096683582441,4.088634413789605,-0.2700404952551507,-5.16417273659936,-1.7479620116294292
2198fe7030eb6d13,-6.265871072264629,1.9818583376745753,-2.747106938991378,-4.461355728506572,-2.8072225728789335
4955c64e148a70f2,-7.650509594805925,4.398402344951858,0.09687393049674306,-5.401462599234091,-1.542878598416375
333d4ad2334fa474,-7.508557670440206,4.151166276069143,-0.2428201873296676,-5.253010335378492,-1.6530905351202227
d221d9b5e05b2607,-7.6572329642778225,4.452186787072587,0.1521144748928365,-5.464611493213927,-1.509498423123697
bc9c853b1e75c157,-15.329220354614838,14.629261946229244,19.866227590797074,-12.20395352501549,13.345566081568817
a0b2c1117b29c0f8,-15.305419482294772,14.582798896918524,19.817196019253487,-12.156583317262685,13.257040503829286
a1e49f1c94433d63,-15.450442564515317,14.862248747429607,20.198221196391184,-12.437461900291805,13.619035146358689
38b8e8007fa9161a,-8.631604070689411,1.9388469430331086,2.328636035287498,-1.0695466642558211,0.23331908285275296
5e258fa8c2710ec8,-15.570180771577323,15.098104853775617,20.506576885025133,-12.66419211605252,13.963404662573495
2f10f682ed11029b,-8.659573108949258,1.988707260774719,2.391808494437001,-1.098145980912039,0.26974734827596925
8f1242e3195a396b,-7.563513730120646,0.1296785517053618,0.1394472536700924,-0.3346875942748573,-0.814008053426093
5a405e514d4554ea,-8.958366073341445,2.5194084740591234,3.0991901310955696,-1.4296903932963447,0.6081329967936968
b728285b2ffb3555,-7.46981260883791,-0.026533482743123643,-0.03460558513522341,-0.2999166853153168,-0.8716977164461159
8d380d339234504a,-15.305576703285041,14.582816374587184,19.82394588610485,-12.156259672570634,13.243712286174274
50460cde9bb67eb1,-14.752594570421055,13.521230500024432,18.307129164313615,-11.100505389285898,12.018048844240978
3100693433eb8c2d,-15.424381602340885,14.817714127565996,20.109126701089448,-12.38245904889517,13.629220162020026
c3733769bb8fc44f,-0.8881570367519217,3.0314549110193316,-2.3625041083891394,1.7696662500688844,0.5507947436766857
c94a6b6406620b62,-2.305313022040225,5.894994960922527,0.8737686149164724,1.4045348493950696,1.1623092823002878
0c8425cddbd39ea8,-0.948512127260941,2.8582344612972928,-2.4514040759892985,1.9850267137372728,0.6168640186153472
6b0eb82d60bdd4b5,-2.1812960185262824,5.673578380704214,0.6347949822746,1.4921206249540322,0.9645436888525456
ff0f5147443f5bba,-1.0978168792330434,3.325359924756676,-2.0675514801282424,1.8443527548679413,0.5418411697437729
8384d4443a4611b4,-0.8675728218251755,3.0365305470217616,-2.370088868965515,1.7345482122402216,0.5503886582749989
b9282ee5dc6e9fbf,-1.1240916837902553,3.402992954235453,-2.0403452187952476,1.816204022120856,0.6645288369517327
de373ef2829d3135,-2.4266593173109556,6.100718018748242,1.1585448296975696,1.295665134955446,1.2221379711762441
6325528709ddc79c,-2.6236832345754575,6.456685333681742,1.565166272192012,1.1257703209317855,1.521967856190803
d7be5ca6c386bbdd,-2.4848975629823973,6.2043400639512924,1.2812486811484645,1.2457895738309315,1.2911995315995004
adc608b7896bb705,-2.470402998501566,6.178041748140149,1.2529339224785392,1.2579794487161717,1.2710312052368826
