depth_cap,observation_depth,sample_budget,horizon,semantic_class_count,semantic_class_rate,trajectory_count,trajectory_rate,state_count,state_rate,normal_form_count,normal_form_rate,label_quotient_count,label_quotient_rate,syntactic_semantic_gap,generated_terms,sample_limited_semantic,sample_limited_trajectory,sample_limited,semantic_saturation_horizon,semantic_axis_verdict,semantic_still_growing_at_max_horizon,observation_limited
8,12,50000,64,64,0.00128,45857,0.91714,36142,0.043827290740511685,64,0.00128,42194,0.84388,0.91586,824646,False,True,True,64,trivial,False,False
8,4,50000,128,64,0.00128,45947,0.91894,35066,0.04249636128087761,64,0.00128,42392,0.84784,0.91766,825153,False,True,True,64,trivial,False,False
8,6,50000,128,64,0.00128,45947,0.91894,35066,0.04249636128087761,64,0.00128,42392,0.84784,0.91766,825153,False,True,True,64,trivial,False,False
8,8,50000,128,64,0.00128,45947,0.91894,35066,0.04249636128087761,64,0.00128,42392,0.84784,0.91766,825153,False,True,True,64,trivial,False,False
8,10,50000,128,64,0.00128,45947,0.91894,35066,0.04249636128087761,64,0.00128,42392,0.84784,0.91766,825153,False,True,True,64,trivial,False,False
8,12,50000,128,64,0.00128,45947,0.91894,35066,0.04249636128087761,64,0.00128,42392,0.84784,0.91766,825153,False,True,True,64,trivial,False,False
8,4,50000,256,64,0.00128,45797,0.91594,35347,0.04292429745723296,64,0.00128,42176,0.84352,0.91466,823473,False,True,True,64,trivial,False,False
8,6,50000,256,64,0.00128,45797,0.91594,35347,0.04292429745723296,64,0.00128,42176,0.84352,0.91466,823473,False,True,True,64,trivial,False,False
8,8,50000,256,64,0.00128,45797,0.91594,35347,0.04292429745723296,64,0.00128,42176,0.84352,0.91466,823473,False,True,True,64,trivial,False,False
8,10,50000,256,64,0.00128,45797,0.91594,35347,0.04292429745723296,64,0.00128,42176,0.84352,0.91466,823473,False,True,True,64,trivial,False,False
8,12,50000,256,64,0.00128,45797,0.91594,35347,0.04292429745723296,64,0.00128,42176,0.84352,0.91466,823473,False,True,True,64,trivial,False,False
8,4,100000,16,632,0.00632,88944,0.88944,45430,0.02959221626353813,64,0.00064,78278,0.78278,0.88312,1535201,False,False,False,64,trivial,False,False
8,6,100000,16,3310,0.0331,88944,0.88944,45430,0.02959221626353813,64,0.00064,78278,0.78278,0.85634,1535201,False,False,False,64,trivial,False,False
8,8,100000,16,6914,0.06914,88944,0.88944,45430,0.02959221626353813,64,0.00064,78278,0.78278,0.8203,1535201,False,False,False,64,trivial,False,False
8,10,100000,16,7191,0.07191,88944,0.88944,45430,0.02959221626353813,64,0.00064,78278,0.78278,0.81753,1535201,False,False,False,64,trivial,False,False
8,12,100000,16,7191,0.07191,88944,0.88944,45430,0.02959221626353813,64,0.00064,78278,0.78278,0.81753,1535201,False,False,False,64,trivial,False,False
