world,policy,delay,t_irrev,enforcement_C,audit_p,audit_kappa,penalty_duration,quarantine_strictness,adversarial_strength,catastrophe_severity,migration_speed,migration_cost,scavenger_enabled,R,n,permanence_probability,permanence_wilson_lo,permanence_wilson_hi,capture_probability,strict_zero_capture_probability,collapse_probability,fraction_irreversible_zones,irreversible_zone_failures_mean,adversarial_share,mean_welfare,non_adv_diversity,enforcement_cost_share,false_positive_punishment_rate,collateral_dove_harm,enforcement_events,viable,nontrivial_enforcement_viable
PURE_CAPTURE,consequence_plus_diversity,2,7,0.2,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.638540500775076,0.6452006069395269,0.6224622923568002,0.4258608370882756,0.0,0.0,165.2,0,0
PURE_CAPTURE,consequence_plus_diversity,2,7,0.45,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.593654871130636,0.6464300900117338,0.6271237634003527,0.5448018217207822,0.0,0.0,164.6,0,0
PURE_CAPTURE,consequence_plus_diversity,2,7,0.7,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.08,0.3422222222222222,3.08,0.5154083394379579,0.5853468248427987,0.6309239103833696,0.5991676206581376,0.0,0.0,222.28,0,0
PURE_CAPTURE,diversity_non_adversarial_only,2,7,0.0,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7181688315808846,0.6265621987396348,0.5657414685413449,0.0,0.0,0.0,0.0,0,0
PURE_CATASTROPHE,neighbor_consequence,2,7,0.0,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.022726173245274827,1.0,0.4202259611383278,0.0,0.0,0.0,0.0,0,0
PURE_CATASTROPHE,local_global_neighbor,2,7,0.0,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.022807949317129258,1.0,0.42100134153937224,0.0,0.0,0.0,0.0,0,0
PURE_CATASTROPHE,response_to_neighbor_aid,2,7,0.0,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.023253230764314445,1.0,0.4236169725499056,0.0,0.0,0.0,0.0,0,0
PURE_CATASTROPHE,neighbor_penalty,2,7,0.2,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.026106793410157245,1.0,0.4396358350167863,0.0,0.0,0.0,0.0,0,0
PURE_CATASTROPHE,neighbor_penalty,2,7,0.45,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.026106793410157245,1.0,0.4396358350167863,0.0,0.0,0.0,0.0,0,0
PURE_CATASTROPHE,neighbor_penalty,2,7,0.7,0.0,0.0,4,0.25,0.7,0.55,0.22,0.08,0,3.5,25,1.0,0.8668035060468213,1.0,0.0,1.0,0.0,0.0,0.0,0.026106793410157245,1.0,0.4396358350167863,0.0,0.0,0.0,0.0,0,0
