seed,world,policy,delay,t_irrev,R,adversarial_strength,catastrophe_severity,diversity_floor,enforcement_C,audit_p,audit_kappa,penalty_duration,quarantine_strictness,migration_speed,migration_cost,scavenger_enabled,permanence,collapse,capture,mean_welfare,min_welfare,adversarial_share,dove_share,total_diversity,non_adv_diversity,adv_diversity,irreversible_zone_failures,time_to_first_irreversible_failure,fraction_irreversible_zones,last_aid_updates_nonzero,neighbor_metrics_nonzero,signal_truth_corr,mutual_information,enforcement_cost_share,false_positive_punishment_rate,collateral_dove_harm,enforcement_events,strict_zero_capture
9300,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.0003306622302350633,0.0,0.8104848293614165,0.16626488417682458,0.3207487829266136,0.6331654117648302,0.4705496920573277,9,6,1.0,1.0,1.0,0.9544475426336525,0.8402934495902115,0.0,0.0,0.0,0,0.0
9301,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.16958664234176962,0.0,0.7828579472077738,0.19382311012428574,0.3027055033943115,0.6158744038139984,0.46875021724133625,7,6,0.7777777777777778,1.0,1.0,0.960947744902415,0.8699160947940296,0.0,0.0,0.0,0,0.0
9302,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.0024896319465757314,0.0,0.8034074558033683,0.17324756826058685,0.3144468273208654,0.6282033490154963,0.47332183809240647,9,6,1.0,1.0,1.0,0.9571118948615007,0.8789863463619216,0.0,0.0,0.0,0,0.0
9303,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.1346328367615686,0.0,0.7923352042303377,0.18439323635128269,0.3081802558266636,0.6172022562097657,0.46957104563457136,7,6,0.7777777777777778,1.0,1.0,0.9578885483044361,0.8789863463619216,0.0,0.0,0.0,0,0.0
9304,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.2591156633651504,0.0,0.7664989512412004,0.20990950915833123,0.29146699053232156,0.6092691388463263,0.4642603865040169,7,6,0.7777777777777778,1.0,1.0,0.9676148234138381,0.8789863463619216,0.0,0.0,0.0,0,0.0
9305,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.00025029198512983527,0.0,0.816733720212097,0.16027162917327173,0.32516789922337036,0.6180228557772831,0.47183334439957936,9,6,1.0,1.0,1.0,0.9486084216739366,0.8275599032208629,0.0,0.0,0.0,0,0.0
9306,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.0002770121590033571,0.0,0.8174592702147954,0.15955903392303142,0.32598882228137954,0.6287946051530482,0.4732720813109101,9,6,1.0,1.0,1.0,0.9467006340019997,0.8699160947940296,0.0,0.0,0.0,0,0.0
9307,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.10196929455836314,0.0,0.7869449701588896,0.18959125493662896,0.30091287425644947,0.6209086558612066,0.4758117084956582,8,6,0.8888888888888888,1.0,1.0,0.9612898950985154,0.8789863463619216,0.0,0.0,0.0,0,0.0
9308,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.06896203860686573,0.0,0.8010321554229729,0.1756206729130235,0.31359271835621866,0.6171292597067511,0.4682467190594579,8,6,0.8888888888888888,1.0,1.0,0.9555720378039653,0.8402934495902115,0.0,0.0,0.0,0,0.0
9309,T1_proxy_trap,feature_proxy,2,7,3.5,0.7,0.55,0.35,0.45,0.0,0.0,4,0.45,0.22,0.08,0,0.0,1.0,1.0,0.2528116462392007,0.0,0.7623199497234786,0.21398372093371945,0.28253040309355115,0.6020880601403485,0.47094589725727026,6,6,0.6666666666666666,1.0,1.0,0.9662651919272702,0.8904916363322298,0.0,0.0,0.0,0,0.0
