gamma,p,C,kappa,audit_on,n,successes,permanence_rate,wilson_lo,wilson_hi,mean_final_corr,mean_corr,mean_adversary_fitness,mean_adversary_deceptive_gap,mean_capture_events,mean_caught_events,mean_false_positive_events,mean_steps_run
0.0,0.0,0.0,0.0,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,0.0,0.05,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,0.0,0.1,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,0.0,0.2,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,0.0,0.4,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,0.25,0.0,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,0.25,0.05,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,0.25,0.1,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,0.25,0.2,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
0.0,0.0,0.25,0.4,False,30,20,0.6666666666666666,0.48779725813830266,0.807697044731538,-0.06666666666666667,0.0897076023391813,1.1307813950076244,0.005568248388532384,0.0,0.0,0.0,114.7
