world,intervention,oracle_non_blind,delay,t_irrev,intervention_strength,intervention_duration,density_cap,resource_cap_share,R,n,permanence_wilson_lo,permanence_wilson_hi,permanence_probability,capture_probability,collapse_probability,fraction_irreversible_zones,irreversible_zone_failures,mean_welfare,adversarial_share,hawk_population,scavenger_population,dove_population,mutant_population,hawk_reproduction_contribution,scavenger_reproduction_contribution,dove_reproduction_contribution,hawk_migration_contribution,scavenger_migration_contribution,dove_migration_contribution,aid_interception_volume,resource_concentration_hhi,neighbor_damage,intervention_event_count,intervention_cost,intervention_cost_share,collateral_dove_loss,oracle_kill_volume,oracle_freeze_volume,strict_zero_capture,delta_capture,delta_adversarial_share,delta_hawk_pop,delta_welfare,delta_dove_pop
PURE_CAPTURE,no_intervention,0,2,7,0.75,6,48.0,0.12,3.5,25,0.0,0.13319649395317873,0.0,1.0,1.0,1.0,9.0,0.0009376159244618452,0.7915794190864683,685.9137397723366,7.417646165684506,160.34021165218854,22.180315581027013,608.4094084876491,0.0,37.78802705160509,6.195858941406725,1.0294229289436798,52.47382509113711,47.06577861092398,0.21476476515652757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PURE_CAPTURE,oracle_kill_hawks,1,2,7,0.75,6,48.0,0.12,3.5,25,0.8668035060468213,1.0,1.0,0.0,0.0,0.12,1.08,1.0,6.932627139568411e-221,3.0179698270165075e-218,8.513269059556116e-220,417.2101537644671,30.442697486225335,0.12443575274130594,0.0,304.2022580216754,0.012863157773617927,0.0012131490884653168,93.0444596984786,49.872796492810515,0.1543447577149279,0.0,1620.0,0.0,0.0,0.0,85.62330964819233,0.0,1.0,-1.0,-0.7915794190864683,-685.9137397723366,0.9990623840755382,256.8699421122786
PURE_CAPTURE,oracle_freeze_hawk_reproduction,1,2,7,0.75,6,48.0,0.12,3.5,25,0.0,0.13319649395317873,0.0,1.0,1.0,1.0,9.0,0.0009396551565345726,0.31534501251858915,77.55169302001826,7.416304996702978,162.26114157709694,22.21895345967565,0.0,0.0,39.99922135295462,5.603837249771739,1.046187541212773,53.19029572725787,48.53535608478115,0.11148660706001151,0.0,810.0,0.0,0.0,0.0,0.0,161.4197293004866,0.0,0.0,-0.4762344065678792,-608.3620467523183,2.039232072727367e-06,1.9209299249083926
PURE_CAPTURE,type_blind_freeze_all_reproduction_in_bad_zones,0,2,7,0.75,6,48.0,0.12,3.5,25,0.0,0.13319649395317873,0.0,1.0,1.0,1.0,9.0,0.0009333315254391685,0.6108198351352532,256.959193650488,7.417714303969459,146.65612118517942,21.670984720865373,179.44789995607962,0.0,22.652011883853685,6.1088288198959155,1.028571200381768,48.82239972817722,46.85961135217494,0.1479848848937536,0.0,163.76,116.33272732168109,0.678904988451983,13.488695258119803,0.0,0.0,0.0,0.0,-0.18075958395121516,-428.95454612184864,-4.284399022676678e-06,-13.684090467009128
PURE_CAPTURE,type_blind_resource_cap_bad_zones,0,2,7,0.75,6,48.0,0.12,3.5,25,0.0,0.13319649395317873,0.0,1.0,0.0,0.33333333333333326,3.0,0.4739197306331993,0.699173338572841,564.283744693976,7.414761974278934,220.80917259563222,24.01790503193054,486.81621282648405,0.0,101.65206995459783,6.483475555066454,1.0654753215133261,61.48188226308701,55.628200532971114,0.18410964037749655,0.0,135.64,12.944058828552404,0.2283040649795504,0.0,0.0,0.0,0.0,0.0,-0.09240608051362731,-121.6299950783606,0.47298211470873747,60.468960943443676
PURE_CAPTURE,type_blind_no_outgoing_migration_bad_zones,0,2,7,0.75,6,48.0,0.12,3.5,25,0.0,0.13319649395317873,0.0,1.0,1.0,1.0,9.0,0.0009378831447231894,0.7840812178322415,682.549472680196,7.437584367915759,167.6354084899591,22.340372078734873,604.9480349121513,0.0,38.48759239423773,4.982027899441942,0.7801954010530047,39.31774247759569,47.10492548998949,0.21069518773697155,0.0,154.24,106.34751137801999,0.658972890544827,0.0,0.0,0.0,0.0,0.0,-0.007498201254226844,-3.364267092140608,2.6722026134418705e-07,7.295196837770561
PURE_CAPTURE,type_blind_no_interceptable_aid_bad_zones,0,2,7,0.75,6,48.0,0.12,3.5,25,0.0,0.13319649395317873,0.0,1.0,0.0,0.33333333333333326,3.0,0.7720493861850848,0.6921890748415421,552.159601727763,7.403883007748889,225.45003898550786,23.188005780826984,475.28916655044225,0.0,106.41676374700285,13.938313585442806,1.2014624031388899,62.75686922129935,51.44107666099181,0.1788797402296921,0.0,197.96,17.677004480749726,0.3990381945931747,0.0,0.0,0.0,0.0,0.0,-0.09939034424492621,-133.75413804457366,0.7711117702606229,65.10982733331932
PURE_CAPTURE,type_blind_edge_cut_bad_zones,0,2,7,0.75,6,48.0,0.12,3.5,25,0.0,0.13319649395317873,0.0,1.0,0.72,0.36,3.24,0.3045223586680736,0.7779585624286183,761.824372887063,7.414566488543731,196.28063828611525,23.312455656317738,684.7571437312,0.0,77.51143594241616,6.658131045512118,1.0679188932033699,58.99702219165186,65.11328714811394,0.20863369039777052,23.650444280012543,128.2,7.592522214000629,0.12128501377992514,0.0,0.0,0.0,0.0,0.0,-0.013620856657850067,75.91063311472635,0.30358474274361175,35.940426633926705
PURE_CAPTURE,global_density_cap,0,2,7,0.75,6,38.0,0.12,3.5,25,0.0,0.13319649395317873,0.0,1.0,1.0,1.0,9.0,0.0009383603888308626,0.4080537373755119,118.66290503583915,3.491101075623228,158.79621186578404,18.410476370468533,45.963201389499865,0.0,37.84689519907835,5.911270468455447,1.0206795209160615,52.45611825132193,46.78913873397377,0.11230816123016343,0.0,257.84,10.663576700552595,0.16239551646752884,11.937413665416646,0.0,0.0,0.0,0.0,-0.3835256817109564,-567.2508347364975,7.444643690174193e-07,-1.5439997864044983
PURE_CAPTURE,combined_type_blind_maximal,0,2,7,0.75,6,38.0,0.12,3.5,25,0.0,0.13319649395317873,0.0,1.0,0.0,0.33333333333333326,3.0,0.7254038181463112,0.36729523408638626,120.61382938476515,3.675330549641008,194.81875678399012,19.29980107176869,47.97875116201823,0.0,66.91391455355001,4.386175108802245,0.6788319740596946,36.39157002211086,54.385663187927975,0.11115768925935525,2.9889136252180863,358.92,217.99362204467965,0.8394795490000463,41.737777528981724,0.0,0.0,0.0,0.0,-0.4242841850000821,-565.2999103875715,0.7244662022218493,34.47854513180158
