seed,world,intervention,oracle_non_blind,policy,delay,t_irrev,R,adversarial_strength,catastrophe_severity,intervention_strength,intervention_duration,density_cap,resource_cap_share,permanence,collapse,capture,mean_welfare,min_welfare,adversarial_share,dove_share,total_diversity,non_adv_diversity,adv_diversity,irreversible_zone_failures,time_to_first_irreversible_failure,fraction_irreversible_zones,last_aid_updates_nonzero,neighbor_metrics_nonzero,signal_truth_corr,mutual_information,enforcement_cost_share,false_positive_punishment_rate,collateral_dove_harm,enforcement_events,strict_zero_capture,containment_cost_share,false_containment_rate,containment_events,extraction_volume,extraction_cap_active_steps,outgoing_influence_volume,influence_throttle_active_steps,aid_intercepted,aid_escrowed,resource_hhi,max_zone_resource_share,migration_follow_events,replication_throttle_active_steps,capture_pressure_before,capture_pressure_after,collateral_welfare_loss,intervention_event_count,intervention_cost,intervention_cost_share,collateral_dove_loss,hawk_population,scavenger_population,dove_population,mutant_population,hawk_reproduction_contribution,scavenger_reproduction_contribution,dove_reproduction_contribution,hawk_migration_contribution,scavenger_migration_contribution,dove_migration_contribution,aid_interception_volume,resource_concentration_hhi,neighbor_damage,oracle_kill_volume,oracle_freeze_volume
9500,PURE_CAPTURE,no_intervention,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,0.0,1.0,1.0,0.0009377039090670664,0.0,0.7911706737375258,0.1832911745300541,0.32333845449481174,0.6405777900974096,0.4767328394291969,9,6,1.0,1.0,1.0,0.9533847453122332,0.8775598045146413,0.0,0.0,0.0,0,0.0,0.0,0.0,0,46.3381360277371,0,0.0,0,46.3381360277371,0.0,0.1111347303439696,0.11340128907394828,0,0,2.5685123104123364,2.57285325133818,0.0,0,0.0,0.0,0.0,678.5256638665949,7.417558462915725,158.91304247636538,22.141521004729082,601.0207233612391,0.0,36.61917663732868,6.188243683051705,1.0305192135534378,52.25277638262472,46.3381360277371,0.21444586254433803,0.0,0.0,0.0
9501,PURE_CAPTURE,no_intervention,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,0.0,1.0,1.0,0.0009384147264750158,0.0,0.7912616075292089,0.183228921923016,0.32354081466860507,0.6396570063028156,0.4787015180672492,9,6,1.0,1.0,1.0,0.9527607882070771,0.8456723579089062,0.0,0.0,0.0,0,0.0,0.0,0.0,0,46.54992278536849,0,0.0,0,46.54992278536849,0.0,0.1111347654774701,0.11340299847806598,0,0,2.567494816127094,2.5717992305416795,0.0,0,0.0,0.0,0.0,679.9788140743401,7.418960033761221,159.1776371855106,22.16100605105904,602.4538243977602,0.0,36.952299572735065,5.9376290427507215,1.012999577984753,51.90453911394807,46.54992278536849,0.21504594722291925,0.0,0.0,0.0
9502,PURE_CAPTURE,no_intervention,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,0.0,1.0,1.0,0.0009365017019639781,0.0,0.7875967997979839,0.1866431950697111,0.32430269993384364,0.6384925863437773,0.47427388786036734,9,6,1.0,1.0,1.0,0.9501918751243744,0.8775598045146413,0.0,0.0,0.0,0,0.0,0.0,0.0,0,46.471315847165734,0,0.0,0,46.471315847165734,0.0,0.11113467103527871,0.11339852468320685,0,0,2.5710604775811956,2.575314551967739,0.0,0,0.0,0.0,0.0,670.5302777733451,7.415614702038483,160.6583311263428,22.173642240906556,593.051525443141,0.0,37.392092439468584,6.515595872449327,1.054816224518964,53.11715815328337,46.471315847165734,0.2127968288055467,0.0,0.0,0.0
9503,PURE_CAPTURE,no_intervention,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,0.0,1.0,1.0,0.000937564125387954,0.0,0.7934486501400377,0.18135301507697157,0.32252225153267156,0.6404956621501302,0.4778909624457359,9,6,1.0,1.0,1.0,0.9487014679043536,0.8761231711498421,0.0,0.0,0.0,0,0.0,0.0,0.0,0,47.33878761153526,0,0.0,0,47.33878761153526,0.0,0.11113472337097856,0.11340103024217939,0,0,2.5668921082545846,2.571167963966265,0.0,0,0.0,0.0,0.0,690.0380386509808,7.4183505270398475,159.41273457306647,22.149813459444907,612.5187785217037,0.0,36.72510112913841,6.009248384035505,1.0206184120019313,52.18851202347392,47.33878761153526,0.21567704222241993,0.0,0.0,0.0
9504,PURE_CAPTURE,no_intervention,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,0.0,1.0,1.0,0.0009377740743655708,0.0,0.7955650008313297,0.1795119973944585,0.32164375889998487,0.6384929954603539,0.4765529051131646,9,7,1.0,1.0,1.0,0.9532531621062222,0.8574925630172683,0.0,0.0,0.0,0,0.0,0.0,0.0,0,48.233398189990076,0,0.0,0,48.233398189990076,0.0,0.11113473401287477,0.11340150645704214,0,0,2.5499573603134507,2.5542934676860454,0.0,0,0.0,0.0,0.0,701.019803461621,7.4170652683596145,159.85232784336242,22.193501872290323,623.5144387692596,0.0,38.311082949618054,6.182941345480906,1.0366841455048446,53.131841012364774,48.233398189990076,0.21681633713373966,0.0,0.0,0.0
9505,PURE_CAPTURE,no_intervention,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,0.0,1.0,1.0,0.0009377041183545858,0.0,0.7934638535034891,0.18121938705155755,0.32449154419561765,0.6399130044416748,0.4765962790393934,9,6,1.0,1.0,1.0,0.9515016292160572,0.8603479825377034,0.0,0.0,0.0,0,0.0,0.0,0.0,0,47.066378635574466,0,0.0,0,47.066378635574466,0.0,0.11113472902978962,0.11340134463339126,0,0,2.5700620598364323,2.574365493430948,0.0,0,0.0,0.0,0.0,686.9577757761942,7.418620236956858,158.5887804629773,22.155212368786025,609.4484044317902,0.0,36.54374037898775,6.132858194949208,1.0172470380392642,51.62457345144678,47.066378635574466,0.21600889661518283,0.0,0.0,0.0
9506,PURE_CAPTURE,no_intervention,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,0.0,1.0,1.0,0.0009385824273481878,0.0,0.7931029311587107,0.18173152112870838,0.3212011531954445,0.6389203382438003,0.4788400046000597,9,7,1.0,1.0,1.0,0.950742723373964,0.865627143199876,0.0,0.0,0.0,0,0.0,0.0,0.0,0,47.60817261504054,0,0.0,0,47.60817261504054,0.0,0.11113477454802415,0.11340347310270033,0,0,2.5480018935165423,2.552292303827836,0.0,0,0.0,0.0,0.0,692.6379566058667,7.4184229291292825,160.4108442051544,22.213134673645648,615.1114117048645,0.0,38.15493587419307,5.9181887374704605,1.0197133858839929,52.615203207155346,47.60817261504054,0.21559077139675978,0.0,0.0,0.0
9507,PURE_CAPTURE,no_intervention,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,0.0,1.0,1.0,0.0009383363034914043,0.0,0.7929558133390907,0.18198544822383636,0.32060933862585966,0.638636148408968,0.47747600758355446,9,6,1.0,1.0,1.0,0.951462252563153,0.851375334308625,0.0,0.0,0.0,0,0.0,0.0,0.0,0,47.4640506093671,0,0.0,0,47.4640506093671,0.0,0.11113476211637387,0.11340291428218194,0,0,2.5516869718428095,2.5559854382253686,0.0,0,0.0,0.0,0.0,694.8073923776224,7.418489430857639,161.1626899072196,22.191519879385464,617.2896336413907,0.0,38.72094071600246,6.028015797104696,1.018882114279513,52.49852026303198,47.4640506093671,0.21534665493811414,0.0,0.0,0.0
9508,PURE_CAPTURE,no_intervention,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,0.0,1.0,1.0,0.0009371164016770572,0.0,0.7893263588686741,0.18531792060826988,0.3240515441957179,0.637896065352695,0.47069403333833265,9,6,1.0,1.0,1.0,0.9527342314778764,0.851375334308625,0.0,0.0,0.0,0,0.0,0.0,0.0,0,47.279199180981436,0,0.0,0,47.279199180981436,0.0,0.11113470033889275,0.11339985621631854,0,0,2.5569095006725826,2.561139778797808,0.0,0,0.0,0.0,0.0,683.9608718334908,7.4150673639917075,162.3211362082285,22.209235625924528,606.5091755294451,0.0,39.27494712203274,6.853796199427993,1.061657950103617,53.104272121674136,47.279199180981436,0.2135346047650072,0.0,0.0,0.0
9509,PURE_CAPTURE,no_intervention,0,no_enforcement,2,7,3.5,0.7,0.55,0.75,6,48.0,0.12,0.0,1.0,1.0,0.0009371857584320137,0.0,0.7941623405960693,0.18073367764768994,0.3223653546643746,0.6392664493645122,0.47625266701369157,9,6,1.0,1.0,1.0,0.9510082978345981,0.851375334308625,0.0,0.0,0.0,0,0.0,0.0,0.0,0,47.35232443771116,0,0.0,0,47.35232443771116,0.0,0.11113470267023828,0.11339999512917753,0,0,2.5523534874392015,2.556686459895298,0.0,0,0.0,0.0,0.0,694.4428093907128,7.4173689806264,159.7277593600157,22.186251112395134,616.9391108657679,0.0,38.07621216433353,6.203768438186414,1.0328877421699738,52.71721874383031,47.35232443771116,0.21609915587538797,0.0,0.0,0.0
