split,seed,governor,step,population,gini,fertile,reserve,allocation_to_feeding
train,6000,arithmetic_mean,0,123,0.12397812794259244,77,2.5972500000000025,0.8
train,6000,arithmetic_mean,1,123,0.1252318035050708,79,3.0327375000000023,0.8
train,6000,arithmetic_mean,2,123,0.13320921884325054,82,3.457337812500002,0.8
train,6000,arithmetic_mean,3,123,0.13834551332882872,86,3.8713231171875013,0.8
train,6000,arithmetic_mean,4,123,0.14596905002572114,88,4.274958789257814,0.8
train,6000,arithmetic_mean,5,124,0.1555650063506595,92,0.16850356952636858,0.8
train,6000,arithmetic_mean,6,124,0.16273472617012685,97,0.6657659802882092,0.8
train,6000,arithmetic_mean,7,124,0.16974422226685038,98,1.1505968307810037,0.8
train,6000,arithmetic_mean,8,124,0.17704724622878443,104,1.6233069100114783,0.8
train,6000,arithmetic_mean,9,124,0.18369277539462536,107,2.0841992372611915,0.8
train,6000,arithmetic_mean,10,124,0.18917204446889158,109,2.5335692563296615,0.8
train,6000,arithmetic_mean,11,124,0.19449189347141327,107,2.9717050249214196,0.8
train,6000,arithmetic_mean,12,124,0.1993098427549349,108,3.398887399298384,0.8
train,6000,arithmetic_mean,13,124,0.20405678738488753,112,3.815390214315924,0.8
train,6000,arithmetic_mean,14,124,0.2097349189696598,113,4.221480458958026,0.8
train,6000,arithmetic_mean,15,125,0.2178425303384861,111,0.11741844748407537,0.8
train,6000,arithmetic_mean,16,125,0.22086367175970256,110,0.6170142362969734,0.8
train,6000,arithmetic_mean,17,125,0.22453257331838228,106,1.104120130389549,0.8
train,6000,arithmetic_mean,18,125,0.228115475414564,102,1.5790483771298098,0.8
train,6000,arithmetic_mean,19,125,0.23179520520761598,98,2.0421034177015644,0.8
train,6000,arithmetic_mean,20,125,0.2360832789546452,98,2.493582082259025,0.8
train,6000,arithmetic_mean,21,125,0.239064956151541,93,2.9337737802025488,0.8
train,6000,arithmetic_mean,22,125,0.24257913555147503,89,3.3629606856974847,0.8
train,6000,arithmetic_mean,23,125,0.24554089027242942,89,3.7814179185550474,0.8
train,6000,arithmetic_mean,24,125,0.24742651475990907,85,4.189413720591172,0.8
train,6000,arithmetic_mean,25,126,0.2556449768523592,78,0.08720962757639228,0.8
train,6000,arithmetic_mean,26,125,0.2591008241171673,74,0.5886168868869823,0.8
train,6000,arithmetic_mean,27,125,0.2609600503837297,72,1.0764327147148076,0.8
train,6000,arithmetic_mean,28,124,0.26271489344737975,68,1.5520531468469374,0.8
train,6000,arithmetic_mean,29,124,0.2647777747864619,64,2.014726818175764,0.8
train,6000,arithmetic_mean,30,123,0.26751921287775926,61,2.46583364772137,0.8
train,6000,arithmetic_mean,31,122,0.2704655086660235,58,2.904606556528335,0.8
train,6000,arithmetic_mean,32,120,0.26725099333751734,56,3.3313538926151267,0.8
train,6000,arithmetic_mean,33,119,0.2695447912276745,53,3.7453200452997484,0.8
train,6000,arithmetic_mean,34,118,0.2718090647854696,51,4.147880794167254,0.8
train,6000,arithmetic_mean,35,119,0.2789235355120523,50,0.03932127431307286,0.8
train,6000,arithmetic_mean,36,118,0.28038068699084495,48,0.534531992455246,0.8
train,6000,arithmetic_mean,37,116,0.2776295141311662,44,1.0163061926438648,0.8
train,6000,arithmetic_mean,38,116,0.27892681353393267,41,1.4839235378277682,0.8
train,6000,arithmetic_mean,39,114,0.282258788759034,39,1.939850449382074,0.8
train,6000,arithmetic_mean,40,112,0.28587768935645474,34,2.382266688147522,0.8
train,6000,arithmetic_mean,41,111,0.286896097606705,29,2.811510020943834,0.8
train,6000,arithmetic_mean,42,106,0.2875008032697064,28,3.2289660204202377,0.8
train,6000,arithmetic_mean,43,105,0.28334474631118467,26,3.6307043699097314,0.8
train,6000,arithmetic_mean,44,100,0.28739152859914263,21,4.021343010661988,0.8
train,6000,arithmetic_mean,45,97,0.2918458540015345,20,4.0931244353954375,0.8
train,6000,arithmetic_mean,46,97,0.29525390216463987,17,4.159942574510551,0.8
train,6000,arithmetic_mean,47,96,0.2916454796322101,15,4.2250902601477875,0.8
train,6000,arithmetic_mean,48,95,0.29546501993341967,12,4.287553003644092,0.8
train,6000,arithmetic_mean,49,92,0.300397134499369,8,4.34739792855299,0.8
train,6000,arithmetic_mean,50,90,0.30884508794543963,7,4.4025779803391645,0.8
train,6000,arithmetic_mean,51,87,0.32101007780594193,4,4.454266030830685,0.8
train,6000,arithmetic_mean,52,86,0.34075888219883077,4,0.0014931300599183572,0.8
train,6000,arithmetic_mean,53,84,0.3461282878701666,4,0.15898330180842035,0.8
train,6000,arithmetic_mean,54,81,0.36307615307741625,3,0.31042371926320983,0.8
train,6000,arithmetic_mean,55,79,0.3662906902009613,3,0.45490937628162953,0.8
train,6000,arithmetic_mean,56,71,0.36429800363645093,3,0.5936703918745887,0.8
train,6000,arithmetic_mean,57,63,0.3524443850007224,3,0.720512382077724,0.8
train,6000,arithmetic_mean,58,56,0.3385829094675059,2,0.8357333225257808,0.8
train,6000,arithmetic_mean,59,52,0.3454479072093022,2,0.9406799894626363,0.8
train,6000,arithmetic_mean,60,50,0.3466154174002696,2,1.0387779897260705,0.8
train,6000,arithmetic_mean,61,43,0.3385338219396039,1,1.1323110399829188,0.8
train,6000,arithmetic_mean,62,40,0.3377277089120594,1,1.2161120139833457,0.8
train,6000,arithmetic_mean,63,38,0.3434876634925752,1,1.294649213633762,0.8
train,6000,arithmetic_mean,64,34,0.36676398147699607,1,1.3691104832929177,0.8
train,6000,arithmetic_mean,65,34,0.37460322913558297,1,1.4374852212105946,0.8
train,6000,arithmetic_mean,66,33,0.3884758392427472,1,1.5041505906803296,0.8
train,6000,arithmetic_mean,67,32,0.3925071342683888,1,1.5680930759133214,0.8
train,6000,arithmetic_mean,68,29,0.3646727801627918,0,1.6293807490154883,0.8
train,6000,arithmetic_mean,69,29,0.37102938421492415,1,1.685967480290101,0.8
train,6000,arithmetic_mean,70,25,0.32963261805262634,1,1.7411395432828485,0.8
train,6000,arithmetic_mean,71,25,0.333629466141496,1,1.7907073047007773,0.8
train,6000,arithmetic_mean,72,25,0.336715900705455,1,1.8390358720832578,0.8
train,6000,arithmetic_mean,73,25,0.33987042753408003,1,1.8861562252811763,0.8
train,6000,arithmetic_mean,74,25,0.34368884525046717,1,1.9320985696491468,0.8
train,6000,arithmetic_mean,75,22,0.3440229327203628,1,1.9768923554079179,0.8
