split,seed,governor,collapse_time,shock_survived,final_population,median_population,mean_gini,recovery_floor_time
train,6027,arithmetic_mean,96,False,0,1.0,0.20041250045380724,79
train,6027,geometric_mean,180,True,11,10.0,0.2639492428173184,82
train,6027,incomplete_preference,86,False,0,0.0,0.23644622698541526,76
train,6028,arithmetic_mean,134,False,0,4.5,0.18209157428120956,77
train,6028,geometric_mean,136,True,0,7.0,0.2291467347488523,83
train,6028,incomplete_preference,110,False,0,2.0,0.20473805935719683,76
train,6029,arithmetic_mean,129,False,0,3.0,0.2410736198777502,79
train,6029,geometric_mean,180,True,10,9.0,0.29955656797225316,81
train,6029,incomplete_preference,122,False,0,5.0,0.22601388635830408,79
heldout,7000,arithmetic_mean,120,False,0,3.5,0.23031548310222613,80
heldout,7000,geometric_mean,114,False,0,3.5,0.23906195070398445,82
heldout,7000,incomplete_preference,133,False,0,3.5,0.22002464422867737,81
heldout,7001,arithmetic_mean,102,False,0,3.0,0.24042177026048436,80
heldout,7001,geometric_mean,180,True,11,9.0,0.26181255546636506,78
heldout,7001,incomplete_preference,150,True,0,4.0,0.19326263296770427,80
heldout,7002,arithmetic_mean,96,False,0,1.0,0.2878064037214257,71
heldout,7002,geometric_mean,129,False,0,3.0,0.24744181263264867,79
heldout,7002,incomplete_preference,122,False,0,2.0,0.22641494950522018,74
heldout,7003,arithmetic_mean,131,False,0,5.0,0.20665876663428634,85
heldout,7003,geometric_mean,118,False,0,5.5,0.27677547079669923,85
heldout,7003,incomplete_preference,123,False,0,5.5,0.2400431932390015,85
heldout,7004,arithmetic_mean,100,False,0,4.0,0.2648090934971918,78
heldout,7004,geometric_mean,143,True,0,7.0,0.2166404353619008,80
heldout,7004,incomplete_preference,141,True,0,6.0,0.24356135057871944,80
heldout,7005,arithmetic_mean,118,False,0,2.0,0.19192334446147644,76
heldout,7005,geometric_mean,180,True,9,8.0,0.2625460503819803,78
heldout,7005,incomplete_preference,140,True,0,3.0,0.19577774864312417,78
heldout,7006,arithmetic_mean,89,False,0,0.0,0.29303789599478713,73
heldout,7006,geometric_mean,99,False,0,2.5,0.25198048723283223,74
heldout,7006,incomplete_preference,106,False,0,2.5,0.27571003361641405,74
heldout,7007,arithmetic_mean,94,False,0,3.0,0.2454422542702146,79
heldout,7007,geometric_mean,180,True,11,10.0,0.279674726645617,86
heldout,7007,incomplete_preference,125,False,0,9.0,0.24752913870003151,86
heldout,7008,arithmetic_mean,123,False,0,1.5,0.19489195172834123,80
heldout,7008,geometric_mean,180,True,10,9.0,0.28873345882184326,80
heldout,7008,incomplete_preference,180,True,9,8.5,0.2766158195372857,80
heldout,7009,arithmetic_mean,91,False,0,1.0,0.285128867058852,76
heldout,7009,geometric_mean,118,False,0,4.0,0.2560828677107472,80
heldout,7009,incomplete_preference,102,False,0,2.0,0.26134958729865454,76
heldout,7010,arithmetic_mean,118,False,0,3.5,0.2065262115082322,81
heldout,7010,geometric_mean,180,True,11,10.0,0.28677508277468805,84
heldout,7010,incomplete_preference,180,True,10,9.0,0.257157756990488,81
heldout,7011,arithmetic_mean,115,False,0,2.0,0.19739351576735992,82
