seed,mode,world,policy,audit_intervention,delay,t_irrev,R,containment_strength,capture_threshold,permanence,collapse,capture_index,strict_zero_capture,resource_hhi,max_lineage_share,exploitative_strategy_mass,cooperative_strategy_mass,strategy_diversity,response_diversity,welfare,minimum_zone_welfare,neighbor_harm_volume,aid_interception_volume,extraction_volume,deception_level,catastrophe_recovery_rate,mutation_survival,containment_cost,false_containment,delayed_consequence_true_harm_mi,irreversible_failures,containment_events,mutation_events,selection_delta_seen,initial_exploitative_strategy_mass,exploit_payoff_total,coop_payoff_total,no_strategy_observation_asserted,capture_component_resource_concentration,capture_component_exploit_mass,capture_component_neighbor_harm,capture_component_aid_interception,capture_component_coop_loss
9610,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6649086414105319,0.0,0.13406165300322617,0.01153239115700184,0.6373512422193025,0.36264875778063344,0.6377094425981406,0.9520830558960282,0.010279604700150343,0.0,32.49172291046717,1.8448540064337013,2.102244409267613,0.4993244052629648,1.0,1632,0.0,0.0,0.01779599407718431,9,0,1632,1.0,0.008417046511333197,114223.36692391385,7506.3006125310585,1.0,0.06557297683461448,1.0,1.0,1.0,0.1365505767127775
9611,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6770135647175134,0.0,0.16028069772850786,0.013971551503399685,0.6250995087623414,0.3749004912375809,0.5732049169490215,0.9579516722881506,0.0025869728315829742,0.0,28.17332247247815,1.5967863101761741,1.7036238965839041,0.41551087721957036,1.0,1616,0.0,0.0,0.007569113368546317,9,0,1616,1.0,0.00984381662164588,89702.96350249561,7314.604908327247,1.0,0.14048453319256218,1.0,1.0,1.0,0.10737978276766448
9612,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6474225041102041,0.0,0.12567777440032735,0.01017202902233137,0.6031456841194942,0.3968543158804491,0.8251125583797333,0.9513462391783375,0.0031521137886079335,0.0,32.81408811519376,1.8887778440681433,2.07744196627467,0.5028077662362206,1.0,1693,0.0,0.0,0.026052922326498598,9,0,1693,1.0,0.0067916758646982016,117670.87580679417,8057.871380628646,1.0,0.04161903796918927,1.0,1.0,1.0,0.055108771713216355
9613,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6967528186957669,0.0,0.16941111523914446,0.015025098774870673,0.664299885082725,0.33570011491719143,0.5328437822625302,0.9626118755226032,0.0028166237154541307,0.0,29.805949406771063,1.7747103583615527,1.9203540640677474,0.4077139910841833,1.0,1727,0.0,0.0,0.012364748951016961,9,0,1727,1.0,0.011805608045374422,96974.6648764217,6857.965133227364,1.0,0.1665714403658096,1.0,1.0,1.0,0.20071401210192513
9614,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6748384868944245,0.0,0.15756590848014487,0.01313329492326934,0.623787319934816,0.37621268006511094,0.5708702934932218,0.9614545491006581,0.00449832711102538,0.0,32.165380466513504,1.646630268905778,1.810297097402489,0.4106533641356336,1.0,1765,0.0,0.0,0.009353447936271058,9,0,1765,1.0,0.009229412105990131,110888.43189003521,7240.559221419923,1.0,0.13272799248295364,1.0,1.0,1.0,0.10425552365449774
9615,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6865457084304364,0.0,0.14809758293237596,0.014222723119954333,0.6732317931997166,0.32676820680020424,0.6257718558688709,0.9566074263498027,0.012494640425809054,0.0,28.249602746409433,1.7251497764606998,1.8604402124339958,0.4782086148009976,1.0,1663,0.0,0.0,0.010342509916242686,9,0,1663,1.0,0.011485692679666837,89722.58836405746,6415.487932100681,1.0,0.10567563377504245,1.0,1.0,1.0,0.22198045999951369
9616,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.658039482063308,0.0,0.1198063910730571,0.009390067487339,0.6432068570441852,0.3567931429557626,0.8202874312841223,0.943991798312563,0.0013690760034459526,0.0,37.85653027495871,2.041754226836893,2.2736243933498352,0.5554026840011124,1.0,1657,0.0,0.0,0.04050357620068301,9,0,1657,1.0,0.006974167251873718,148079.3043483597,8881.413573384189,1.0,0.024843657034131418,1.0,1.0,1.0,0.1504925167719938
9617,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6838221523436286,0.0,0.1361558226911059,0.011836697713875969,0.6866233341813035,0.31337666581863066,0.7023299873147736,0.9527674990817194,0.0029573728738013865,0.0,32.55360626153757,1.6252484222035044,1.9414788842775266,0.5355461527564809,1.0,1669,0.0,0.0,0.016297730699995967,9,0,1669,1.0,0.009981531089379362,123028.60113955892,6754.386072931648,1.0,0.07155631879998514,1.0,1.0,1.0,0.2538650813842127
9618,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.7067231701677295,0.0,0.16518371151150835,0.014952678992871959,0.6996570997648599,0.3003429002350568,0.47558497509384723,0.9568809669456161,0.009422573061312457,0.0,28.180748200089624,1.595298335263155,1.795681707807138,0.4249872927064677,1.0,1612,0.0,0.0,0.012491849772758395,9,0,1612,1.0,0.013115875364356586,88563.48844927797,5670.487697198512,1.0,0.15449314400113498,1.0,1.0,1.0,0.2848978565831981
9619,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.695831130820094,0.0,0.16247513632832888,0.014248458150916216,0.67392648191388,0.3260735180860406,0.5651717151017945,0.9629015156042576,0.013678391168402575,0.0,27.06918531599586,1.6606746308912512,1.8062678395300824,0.4348365652287604,1.0,1632,0.0,0.0,0.008854479873988335,9,0,1632,1.0,0.011531758009211624,85307.50567456824,5815.022615150481,1.0,0.14675435776347937,1.0,1.0,1.0,0.2236344807475223
9620,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6973422955171814,0.0,0.17877890251072265,0.016689966690752515,0.6494631145846986,0.3505368854152085,0.46982411312497935,0.9609178432924546,0.012661085424534743,0.0,28.399461511742683,1.419435796775336,1.6040059242841307,0.3620160126677621,1.0,1644,0.0,0.0,0.003874301697903197,9,0,1644,1.0,0.012548279193187434,89701.58392428364,6070.121390486414,1.0,0.193336546856033,1.0,1.0,1.0,0.16538836805902735
9621,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6861444589542919,0.0,0.14588913821213523,0.0127262446340403,0.6759951573741442,0.32400484262578505,0.638321176042509,0.958004523274107,0.005950414473202322,0.0,27.893556345360047,1.5053110183380916,1.665090113226496,0.474105868401933,1.0,1648,0.0,0.0,0.013107673900942602,9,0,1648,1.0,0.010376899667090683,88837.07497104596,7396.602125099173,1.0,0.09936579171721178,1.0,1.0,1.0,0.22855989851003555
9622,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6968969420092195,0.0,0.1567108325867477,0.014127590330608885,0.6870559278286156,0.3129440721713058,0.6924205126999072,0.9544594762306322,0.0018234430584368024,0.0,30.043024987368714,1.834480624271797,2.0232275109532267,0.4739139986388332,1.0,1651,0.0,0.0,0.015954289941584536,9,0,1651,1.0,0.011908351732748642,100071.06427246548,5974.934893644098,1.0,0.13028491850181886,1.0,1.0,1.0,0.25489506625879566
9623,governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,4.0,0.62,0.5,0.0,1.0,0.6691463579657503,0.0,0.13602543078505905,0.01120184427167622,0.6457605996778901,0.35423940032204765,0.5942735030616701,0.9554665625204642,0.0012597596579952224,0.0,32.61311887194723,1.9004311050532798,2.0775830354005054,0.47227548700872707,1.0,1679,0.0,0.0,0.020637137358281273,9,0,1679,1.0,0.008370937996701296,113869.72293443415,7064.491748471111,1.0,0.07118377049699413,1.0,1.0,1.0,0.15657285637607699
