mode,world,policy,audit_intervention,delay,t_irrev,containment_strength,capture_threshold,n,permanence_wilson_lo,permanence_wilson_hi,R,permanence_probability,collapse_probability,capture_index,strict_zero_capture_probability,resource_hhi,max_lineage_share,exploitative_strategy_mass,cooperative_strategy_mass,strategy_diversity,response_diversity,welfare,minimum_zone_welfare,neighbor_harm_volume,aid_interception_volume,extraction_volume,deception_level,catastrophe_recovery_rate,mutation_survival,containment_cost,false_containment,delayed_consequence_true_harm_mi,irreversible_failures,containment_events,mutation_events,selection_delta_seen,initial_exploitative_strategy_mass,exploit_payoff_total,coop_payoff_total,no_strategy_observation_asserted,capture_component_resource_concentration,capture_component_exploit_mass,capture_component_neighbor_harm,capture_component_aid_interception,capture_component_coop_loss,delta_capture_index,delta_exploitative_strategy_mass,delta_welfare,delta_response_diversity
governance,W1_proxy_goodhart,feature_proxy,audit_no_intervention,2,8,0.62,0.5,25,0.0,0.13319649395317873,4.0,0.0,1.0,0.6753252025209823,0.0,0.1462345860653639,0.012788531577120264,0.645093251139194,0.35490674886073476,0.6431299153269933,0.956083803187707,0.007122822713333848,0.0,31.015297816129586,1.7017808436945507,1.8917464792817347,0.4619957968063795,1.0,1658.84,0.0,0.0,0.017131097640714615,9.0,0.0,1658.84,1.0,0.009640453117769917,105667.40673953283,7251.391363890188,1.0,0.1003527855835794,1.0,1.0,1.0,0.1549839312839647,0.008902078851289241,0.015105974266545696,0.0012353379856071675,0.0015063922196820734
governance,W1_proxy_goodhart,consequence_neighbor,audit_no_intervention,2,8,0.62,0.5,25,0.0,0.13319649395317873,4.0,0.0,1.0,0.666423123669693,0.0,0.14098028194324358,0.0122277609419966,0.6299872768726483,0.37001272312728367,0.7102319704663793,0.954577410968025,0.00588748472772668,0.0,32.114270078407216,1.6816372689060992,1.8621837677035666,0.47455654326649893,1.0,1668.52,0.0,0.0,0.023396027508701626,9.0,0.0,1668.52,1.0,0.008875036852013686,110516.92023184357,7443.366010339353,1.0,0.08534048809180705,0.9971947487150787,1.0,1.0,0.12289124432849004,0.0,0.0,0.0,0.0
governance,W1_proxy_goodhart,response_to_aid,audit_no_intervention,2,8,0.62,0.5,25,0.0,0.13319649395317873,4.0,0.0,1.0,0.6440299455657145,0.0,0.13828927413264297,0.012216840323932119,0.5852482260975137,0.4147517739024183,0.6228636191736201,0.9586546284337107,0.006880514110934095,0.0,31.152344533790178,1.1900072623113878,1.324311126396184,0.42890380013473517,1.0,1673.44,0.0,0.0,0.022998241966467728,9.0,0.0,1673.44,1.0,0.007874192511835004,102939.8868156496,8265.497573540211,1.0,0.0776518943472339,0.9821592301653029,1.0,0.9758132657495875,0.037133030003999805,-0.02239317810397856,-0.044739050775134626,0.000993029383207415,0.00407721746568579
governance,W1_proxy_goodhart,action_channel_containment,audit_no_intervention,2,8,0.62,0.5,25,0.23403057664190918,0.5926087221487266,4.0,0.4,0.0,0.5045377624581435,0.0,0.18789865571978953,0.15964805684528124,0.26157258147013374,0.738427418525248,0.23919698765882433,0.9106794307258193,0.9525998232631386,0.8492510799438133,0.38717614450854826,0.9966274685810198,1.1170943363028214,0.26594177853967793,1.0,330.36,0.015010692265348971,0.0,0.016995922001342995,1.64,156.88,330.36,1.0,0.23132186750378192,7.8217541149989644,891.3675544108264,1.0,0.21939298459622414,0.4509872094312651,1.0,0.8666325813748,0.0,-0.1618853612115495,-0.3684146954025146,0.9467123385354119,-0.0438979802422057
governance,W1_proxy_goodhart,consequence_plus_diversity,audit_no_intervention,2,8,0.62,0.5,25,0.40739127785127344,0.7659694233580909,4.0,0.6,0.0,0.4968419682041897,0.0,0.16586282568523536,0.1384661571467322,0.28658645491978857,0.7134135450752914,0.22878799520033877,0.9278291030607191,0.9614675484814862,0.8955298605304332,0.40861011841632155,0.9512380102200625,1.0665880311911997,0.2757617229548901,1.0,318.12,0.014418930622509032,0.0,0.01646835935876368,1.24,142.2,318.12,1.0,0.24915743898083695,-8.455577052309259,889.097208246414,1.0,0.1564334702117836,0.4941145774479114,1.0,0.8271634871478803,0.0,-0.16958115546550334,-0.34340082195285976,0.9555800637537595,-0.02674830790730587
governance,W2_pure_capture,feature_proxy,audit_no_intervention,2,8,0.62,0.5,25,0.0,0.13319649395317873,4.0,0.0,1.0,0.6347855390610104,0.0,0.1787605806927016,0.016741203780478636,0.619427585347867,0.3805724146520398,0.35596804776862123,0.9605391511878786,0.01738070720393321,0.0,17.945577389982354,0.752726633793239,0.932671515619585,0.15502603768648177,1.0,1591.32,0.0,0.0,0.0001434993515400796,9.0,0.0,1591.32,1.0,0.014474081565826896,39230.90532799321,5818.879437449521,1.0,0.19328419880454425,1.0,1.0,0.6545448989506427,0.09387520320942899,-0.07543346260070738,-0.04435633241558001,0.0038161696170744067,0.0041359298335077455
governance,W2_pure_capture,consequence_neighbor,audit_no_intervention,2,8,0.62,0.5,25,0.0,0.13319649395317873,4.0,0.0,1.0,0.7102190016617178,0.0,0.19112775138910298,0.017454622841047894,0.663783917763447,0.33621608223645594,0.4186386925356533,0.9564032213543708,0.013564537586858803,0.0,18.982071366942556,1.345594142989241,1.8059744390772847,0.1637903944648975,1.0,1588.0,0.0,0.0,0.0013291556409042947,9.0,0.0,1588.0,1.0,0.017040933133994237,42575.39239414985,4839.384822370816,1.0,0.2286189722228339,1.0,1.0,1.0,0.19948551848462862,0.0,0.0,0.0,0.0
governance,W2_pure_capture,response_to_aid,audit_no_intervention,2,8,0.62,0.5,25,0.0,0.13319649395317873,4.0,0.0,1.0,0.6683781260907984,0.0,0.1788832082965123,0.01662098592636335,0.6348911499412797,0.36510885005862775,0.40382889551932616,0.9577720127858069,0.011679092901430398,0.0,18.992301897092787,0.9673381401822394,1.2517368221601013,0.16272326887475116,1.0,1598.24,0.0,0.0,0.0009733513225901855,9.0,0.0,1598.24,1.0,0.014978227018736263,42273.040928048205,5547.773360412935,1.0,0.19363456338686064,1.0,1.0,0.841163600158469,0.13069321414612436,-0.04184087557091942,-0.02889276782216732,-0.001885444685428405,0.0013687914314360894
governance,W2_pure_capture,action_channel_containment,audit_no_intervention,2,8,0.62,0.5,50,0.05617523710624647,0.2380507888662358,4.0,0.12,0.0,0.5436503585513285,0.0,0.16838648955568214,0.14308790488498901,0.367844870337843,0.632155129657708,0.21241881945816815,0.9267578134911699,0.945880547965516,0.8383342496278146,0.39096358672142856,0.9971911423243472,1.3219888821209256,0.13908448448062571,1.0,351.08,0.013873987857255994,0.0,0.012959590037475315,1.36,139.0,351.08,1.0,0.2981739944446629,-7.067226618919976,854.2953454207558,1.0,0.16364393841306007,0.6342152936859363,1.0,0.8671227324559543,0.0,-0.16656864311038933,-0.295939047425604,0.9323160103786572,-0.029645407863200912
governance,W2_pure_capture,consequence_plus_diversity,audit_no_intervention,2,8,0.62,0.5,50,0.08337321362087696,0.2851448096176598,4.0,0.16,0.0,0.542193859286175,0.0,0.16652543659637128,0.13156054427586855,0.3784835042215577,0.6215164957740219,0.20853632821385015,0.917555691826717,0.9517008827110104,0.8867678509721219,0.40153693745413194,0.9556179771061055,1.2642194628428889,0.13899880096744321,1.0,344.08,0.014667926722108735,0.0,0.012059331927603117,1.48,143.76,344.08,1.0,0.3008113651840355,-24.092757018751808,830.655456808743,1.0,0.15832664424360052,0.6525577658992374,1.0,0.8309721540053091,0.0,-0.16802514237554278,-0.28530041354188934,0.9381363451241516,-0.0388475295276538
governance,W3_catastrophe_ambiguity,feature_proxy,audit_no_intervention,2,8,0.62,0.5,25,0.0,0.13319649395317873,4.0,0.0,1.0,0.6619613307824642,0.0,0.18665382389594135,0.018187656587950372,0.5484169127140749,0.45158308728582397,0.38297171506561034,0.9726434104936805,0.14287845576758215,0.0,19.850525714622407,1.3218548267408625,1.4852768568595303,0.2962203205799982,0.0,1545.12,0.0,0.0,0.0016703631280568193,8.36,0.0,1545.12,1.0,0.006265167929831617,64286.22216376838,6111.548699759463,1.0,0.2158363222423722,0.9422474643479234,1.0,0.9997646577345977,0.004555674743559943,0.012691696140867958,0.01709936759483277,0.044795589037444794,0.0018661666626650364
governance,W3_catastrophe_ambiguity,consequence_neighbor,audit_no_intervention,2,8,0.62,0.5,25,0.0,0.13319649395317873,4.0,0.0,1.0,0.6492696346415963,0.0,0.17920816745632173,0.01654764570516137,0.5313175451192421,0.4686824548806658,0.4452880360254913,0.9707772438310155,0.09808286673013736,0.0,20.729403259707468,1.4141140687010476,1.58284159206146,0.3063633518445688,0.0,1530.68,0.0,0.0,0.009652662471991763,8.72,0.0,1530.68,1.0,0.005499487333994995,67621.3683179268,6556.036199307985,1.0,0.1945630181291733,0.9156206505375148,1.0,1.0,0.0006132566844928789,0.0,0.0,0.0,0.0
governance,W3_catastrophe_ambiguity,response_to_aid,audit_no_intervention,2,8,0.62,0.5,25,0.0,0.13319649395317873,4.0,0.0,1.0,0.6488324994511384,0.0,0.18288794138401512,0.017107845988375,0.5269145736963644,0.47308542630354034,0.4016415890955595,0.9718973669698702,0.10995077823081363,0.0,21.022490090495562,1.2914950247021266,1.448877092407837,0.29308616140588833,0.0,1533.72,0.0,0.0,0.009706915852986499,8.68,0.0,1533.72,1.0,0.005648259246849814,68558.59075158364,6569.912347028123,1.0,0.20507665792258295,0.9072826377703308,1.0,0.9961989175746484,0.0016443899752019721,-0.0004371351904578491,-0.004402971422877711,0.011867911500676273,0.0011201231388546784
