class_id,class_key,class_size,object_diversity,operator_diversity,depth_min,depth_max,reuse_count,role_score,action_effect_score,redundancy_score,signature_len,representative,operator_family,frequency,object_diversity_score,depth_score,reuse_rate,complexity,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M1_original_score,M6_frequency_control_score,M7_random_matched_score,class_a_survives,class_b_survives,class_b_attack_cost,class_b_auc_gns
6f22f0e6617081a7,"('Reachable', 3, 3, 2, 2, 3)",263,106,1,3,3,1865.0,1.0,0.7000000000000001,0.9857414448669202,28,"Reachable(N0,N1)",Reachable,0.39430284857571213,0.3521594684385382,0.5,0.41601606067365604,5.4375,0.7000000000000001,0.5295315636850324,36.38031084125711,0.7081751505688155,0.5663959055301572,0.378288364123586,0.20855144129507536,True,True,,0.7235527853921655
dea8c5924f298e61,"('PathLengthBucket', 3, 2, 2, 3)",275,114,1,3,3,275.0,0.59,0.5499999999999999,0.9645454545454546,32,"PathLengthBucket(N0,N1)=3",PathLengthBucket,0.4122938530734633,0.3787375415282392,0.5,0.061342850769573944,5.5,0.5499999999999999,0.2003668525540932,38.93687707641196,0.3941760892259647,0.33052524333127065,0.39954245468627814,0.2531723314903379,True,True,,0.6825751162790697
22d320921308c32d,"('Reachable', 4, 3, 2, 2, 3)",56,41,1,4,4,397.0,1.0,0.7000000000000001,0.9910714285714286,28,"Reachable(N0,N2)",Reachable,0.08395802098950525,0.1362126245847176,0.6666666666666666,0.08855677002007584,6.4375,0.7000000000000001,0.31042754108112125,4.664529239105893,0.6030052197189382,0.42698373722706345,0.10381477035568595,0.29934480206964886,True,False,2.0,0.6154661821705426
902e082081bf0d46,"('PathLengthBucket', 4, 2, 2, 3)",56,41,1,4,4,56.0,0.6699999999999999,0.5499999999999999,0.9910714285714286,32,"PathLengthBucket(N0,N2)=4",PathLengthBucket,0.08395802098950525,0.1362126245847176,0.6666666666666666,0.01249163506580415,6.5,0.5499999999999999,0.19626064391404563,4.619677996422182,0.41620510907874186,0.3139656116504407,0.10381477035568595,0.3560034999651079,True,False,2.0,0.5881661821705426
de3aebcab6abd899,"('Reachable', 2, 1, 2, 2, 3)",27,23,1,2,2,54.0,0.3333333333333334,0.6999999999999998,0.25,28,"Reachable(N0,N3)",Reachable,0.04047976011994003,0.07641196013289037,0.3333333333333333,0.012045505242025429,4.4375,0.6999999999999998,0.10200609710759165,2.8987319264423754,0.302962926611644,0.18460295492680728,0.05413399612486115,0.2005021646054131,True,False,1.0,0.2848368217054264
8f2b4518b0e0bb6a,"('PathLengthBucket', 2, 2, 2, 3)",404,129,1,2,2,404.0,0.5099999999999998,0.5499999999999998,0.8954207920792079,32,"PathLengthBucket(N0,N3)=2",PathLengthBucket,0.6056971514242878,0.42857142857142855,0.3333333333333333,0.09011822440330136,4.5,0.5499999999999998,0.19001845490371028,74.38730158730158,0.3652088583537808,0.3064525304220175,0.5383893767402013,0.25908405475363155,True,True,,0.6296088696369636
0046fe7f1edad776,"('Reachable', 3, 3, 2, 3, 3)",116,63,1,3,3,846.0,1.0,0.7000000000000001,0.9935344827586207,28,"Reachable(N0,N5)",Reachable,0.17391304347826086,0.20930232558139536,0.5,0.18871291545839838,5.4375,0.7000000000000001,0.3658732991300468,12.998449612403103,0.6296191835824225,0.45294916871488666,0.18736097067745197,0.4295130487851528,True,True,,0.7123529771451483
d42065ddedd8101f,"('PathLengthBucket', 3, 2, 3, 3)",119,66,1,3,3,119.0,0.5900000000000002,0.5499999999999998,0.9810924369747899,32,"PathLengthBucket(N0,N5)=3",PathLengthBucket,0.17841079460269865,0.21926910299003322,0.5,0.026544724514833817,5.5,0.5499999999999998,0.1753122016506804,13.398731501057084,0.38214985679232655,0.28976583496759634,0.1939369517898858,0.3377152262854987,True,False,2.0,0.5518858413132695
103194f4b8fa593b,"('Reachable', 1, 3, 2, 2, 3)",213,99,1,1,1,1364.0,1.0,0.7000000000000001,0.9683098591549296,28,"Reachable(N0,N6)",Reachable,0.3193403298350825,0.3289036544850498,0.16666666666666666,0.3042605398170868,3.4375,0.7000000000000001,0.41573425533496916,45.16552099063727,0.6535524425607853,0.46711231023561633,0.3229743932020701,0.4532018295097612,True,True,,0.6567431433562617
1b40f9651adafe25,"('PathLengthBucket', 1, 2, 2, 3)",316,136,1,1,1,316.0,0.43000000000000005,0.5499999999999998,0.7215189873417721,32,"PathLengthBucket(N0,N6)=1",PathLengthBucket,0.4737631184407796,0.45182724252491696,0.16666666666666666,0.07048851215703769,3.5,0.5499999999999998,0.14481839541973382,76.90783103939249,0.31951282980147216,0.25887435972057354,0.4654274855927518,0.4558812998714311,True,True,,0.5500204984790502
2e70f08d89ee2b51,"('Reachable', 2, 3, 2, 3, 3)",426,113,1,2,2,3029.0,1.0,0.7,0.9800469483568075,28,"Reachable(N0,N7)",Reachable,0.638680659670165,0.3754152823920266,0.3333333333333333,0.6756636181128709,4.4375,0.7,0.6998111383746003,74.43986710963455,0.7899093464198081,0.6464510395264601,0.5386398163044723,0.16702257199127182,True,False,2.0,0.5740203024347637
22d90988743669c5,"('PathLengthBucket', 2, 2, 3, 3)",466,131,1,2,2,466.0,0.5099999999999998,0.5499999999999999,0.9302575107296137,32,"PathLengthBucket(N0,N7)=2",PathLengthBucket,0.6986506746626686,0.43521594684385384,0.3333333333333333,0.10394824894044166,4.5,0.5499999999999999,0.1999760725704513,86.49125138427465,0.36998851483381656,0.3130070086331703,0.5985454780915189,0.32730266678673964,True,False,2.0,0.5182608028079981
f3b8530e9bd63d34,"('Reachable', 1, 0, 2, 1, 3)",74,49,1,1,1,74.0,0.0,0.7000000000000002,0.0,28,"Reachable(N0,N8)",Reachable,0.11094452773613193,0.16279069767441862,0.16666666666666666,0.016506803479812624,3.4375,0.7000000000000002,0.028551565172131754,12.115348837209302,0.1677047512826233,0.09993597797709522,0.13064607231268088,0.2444393081154267,True,False,1.0,0.1579472868217054
0fdc573bad7a3b6a,"('PathLengthBucket', 1, 2, 1, 3)",188,108,1,1,1,188.0,0.43,0.5499999999999999,0.48404255319148937,32,"PathLengthBucket(N0,N8)=1",PathLengthBucket,0.2818590704647676,0.3588039867109635,0.16666666666666666,0.041936203435199645,3.5,0.5499999999999999,0.1242607331400104,40.75861414333175,0.309645151907205,0.2318605918222081,0.31109813863832203,0.5610314534807752,True,False,1.0,0.36669832591126506
92549f445acc70c2,"('Reachable', 3, 3, 1, 2, 3)",241,103,1,3,3,1591.0,1.0,0.7,0.9719917012448133,28,"Reachable(N2,N1)",Reachable,0.3613193403298351,0.34219269102990035,0.5,0.35489627481597147,5.4375,0.7,0.4855253178674994,32.89534501852064,0.6870521525763997,0.5407269506492968,0.3540512135958599,0.19396724745029065,True,True,,0.7194696178712728
