class_id,class_key,class_size,object_diversity,operator_diversity,depth_min,depth_max,reuse_count,role_score,action_effect_score,redundancy_score,signature_len,representative,operator_family,frequency,object_diversity_score,depth_score,reuse_rate,complexity,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M1_original_score,M6_frequency_control_score,M7_random_matched_score,class_a_survives,class_b_survives,class_b_attack_cost,class_b_auc_gns
e849088e731b6272,"('Accepts', 0, '12', 3, 3)",111,111,1,1,1,111.0,0.4500000000000003,0.6500000000000005,0.6517160017160016,26,Accepts(),Accepts,0.1178343949044586,0.33433734939759036,0.25,0.05538922155688623,3.40625,0.6500000000000005,0.14588023952095813,23.929965734497628,0.3480225149700601,0.2560929038886084,0.20010551761184867,0.34455831159200656,True,True,,0.5145710951915771
b1a7f90062c0d62d,"('Rejects', 1, 'ac', 3, 3)",79,79,1,1,1,158.0,0.5,0.6499999999999999,0.5746534056660638,26,Rejects(a),Rejects,0.08386411889596602,0.23795180722891565,0.25,0.07884231536926148,3.40625,0.6499999999999999,0.17176646706586826,14.795799712611917,0.3754479041916168,0.2602101784864007,0.1424174404624869,0.1873625880306627,True,False,1.0,0.37499855116669206
bb9a3157cd3959d3,"('Accepts', 1, 'c1', 3, 3)",119,119,1,1,1,238.0,0.5,0.6500000000000005,0.6516606642657062,26,Accepts(b),Accepts,0.12632696390658174,0.35843373493975905,0.25,0.1187624750499002,3.40625,0.6500000000000005,0.20050898203592812,26.496473969271584,0.3892443113772456,0.2963510283529327,0.21452753689918913,0.29631273489802684,True,False,1.0,0.4037510833248962
934f181845b305c0,"('Rejects', 2, 'd3', 3, 3)",76,76,1,2,2,228.0,0.5499999999999998,0.65,0.5702694235588973,26,Rejects(aa),Rejects,0.08067940552016985,0.2289156626506024,0.5,0.11377245508982035,4.40625,0.65,0.2309161676646706,10.84768008203025,0.41883976047904187,0.3222987907943149,0.1370091832297342,0.34956039248358095,True,False,2.0,0.42566356214331014
14709c68f0d380bb,"('Accepts', 2, '78', 3, 3)",112,112,1,2,2,336.0,0.5499999999999999,0.6500000000000001,0.6495535714285714,26,Accepts(ab),Accepts,0.11889596602972399,0.3373493975903614,0.5,0.16766467065868262,4.40625,0.6500000000000001,0.26971856287425144,18.742271212509614,0.43746491017964073,0.36187207064425364,0.20190827002276623,0.2311076619107693,True,False,2.0,0.45384567018072286
004357f29d430e75,"('Accepts', 2, '6f', 3, 3)",107,107,1,2,2,321.0,0.5499999999999998,0.6500000000000002,0.6514463729417,26,Accepts(ba),Accepts,0.11358811040339703,0.32228915662650603,0.5,0.1601796407185629,4.40625,0.6500000000000002,0.26432934131736524,17.539844484320263,0.4348780838323353,0.35637578177620655,0.19289450796817847,0.26268177534894904,True,False,2.0,0.4529124254025447
3f6e1c07dc447ae0,"('Rejects', 2, '60', 3, 3)",58,58,1,2,2,174.0,0.5499999999999999,0.6499999999999999,0.5539408866995074,26,Rejects(bb),Rejects,0.06157112526539278,0.1746987951807229,0.5,0.08682634730538923,4.40625,0.6499999999999999,0.21151497005988024,7.564829530889517,0.40952718562874246,0.3025121508693456,0.10455963983321823,0.18885634973437257,True,False,2.0,0.41695793518903196
1a2603046273b010,"('Rejects', 3, '44', 3, 3)",74,74,1,3,3,296.0,0.6000000000000001,0.65,0.5638352638352638,26,Rejects(aba),Rejects,0.07855626326963906,0.22289156626506024,0.75,0.14770459081836326,5.40625,0.65,0.2893473053892216,8.52605334633331,0.4618867065868264,0.3845079782411082,0.1334036784078991,0.24429528658252891,True,False,2.0,0.4761290784760664
dc5948d5ef1f9f14,"('Accepts', 3, 'a3', 3, 3)",103,103,1,3,3,412.0,0.6000000000000001,0.6500000000000004,0.667267683772538,26,Accepts(bab),Accepts,0.10934182590233546,0.3102409638554217,0.75,0.2055888223552894,5.40625,0.6500000000000004,0.3310239520958084,13.531527265129883,0.48189149700598816,0.4220628129572182,0.18568349832450826,0.30297783759583313,True,True,,0.6279707626622997
8bbc978c8f8a648a,"('Rejects', 4, 'dd', 3, 3)",68,68,1,4,4,340.0,0.6499999999999999,0.6499999999999999,0.5601890756302521,26,Rejects(abba),Rejects,0.07218683651804671,0.20481927710843373,1.0,0.16966067864271456,6.40625,0.6499999999999999,0.33915568862275447,6.41993535116074,0.5007947305389221,0.43997129627011033,0.12258716394239377,0.19061807153294588,True,False,2.0,0.5261422306874557
