class_id,class_key,class_size,object_diversity,operator_diversity,depth_min,depth_max,reuse_count,role_score,action_effect_score,redundancy_score,signature_len,representative,operator_family,frequency,depth_score,reuse_rate,complexity,M1_original_score,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M6_frequency_control_score,M7_random_matched_score,class_a_survives,class_b_survives,class_b_attack_cost,class_b_auc_gns
17e289b3c332294d,"Ancestor(N0, N1) || Effect(N0 -> N1) || Reachable(N0, N1)",111,60,3,1,1,333,0.3333333333333333,0.3333333333333333,0.08721955332464028,246,"Ancestor(N0, N1) || Effect(N0 -> N1) || Reachable(N0, N1)",Ancestor;Effect;Reachable,0.1694656488549618,0.1666666666666666,2.0501998117759093e-05,5.0,0.1940355241866747,0.3333333333333333,2.0501998117759093e-05,10.034914894943576,0.300009225899153,0.1716944789632522,0.6216599625252344,True,False,1.0,0.5
cf63e254acd519cb,"Ancestor(N0, N2) || Effect(N0 -> N2) || Reachable(N0, N2)",119,49,3,1,1,357,0.361344537815126,0.361344537815126,0.07123118123161698,247,"Ancestor(N0, N2) || Effect(N0 -> N2) || Reachable(N0, N2)",Ancestor;Effect;Reachable,0.181679389312977,0.1666666666666666,2.0501998117759093e-05,5.0,0.1931946052831644,0.361344537815126,2.0501998117759093e-05,10.23434824569596,0.3084125872436908,0.1640225013314397,0.6248182843659388,True,False,1.0,0.5
2484caa5d255d994,"Ancestor(N0, N3) || Effect(N0 -> N3) || Reachable(N0, N3)",106,53,3,1,1,318,0.3490566037735849,0.3490566037735849,0.07704513471998908,246,"Ancestor(N0, N3) || Effect(N0 -> N3) || Reachable(N0, N3)",Ancestor;Effect;Reachable,0.1618320610687023,0.1666666666666666,2.0501998117759093e-05,5.0,0.1908427969598766,0.3490566037735849,2.0501998117759093e-05,9.293752727726169,0.3047262070312284,0.1583390289366235,0.383402100119019,True,False,1.0,0.5
089911203563e566,"Ancestor(N1, N0) || Effect(N1 -> N0) || Reachable(N1, N0)",27,14,3,1,1,81,0.3333333333333333,0.3333333333333333,0.02035908820836118,243,"Ancestor(N1, N0) || Effect(N1 -> N0) || Reachable(N1, N0)",Ancestor;Effect;Reachable,0.0412213740458015,0.1666666666666666,2.0501998117759093e-05,5.0,0.1544885909361865,0.3333333333333333,2.0501998117759093e-05,1.9648502300541488,0.300009225899153,0.0409857092135629,0.6216599625252344,,,,
857b3c27b5df4d12,"Ancestor(N1, N2) || Effect(N1 -> N2) || Reachable(N1, N2)",153,63,3,1,1,459,0.3398692810457516,0.3398692810457516,0.09158001844091933,247,"Ancestor(N1, N2) || Effect(N1 -> N2) || Reachable(N1, N2)",Ancestor;Effect;Reachable,0.233587786259542,0.1666666666666666,2.0501998117759093e-05,5.0,0.2061742818895902,0.3398692810457516,2.0501998117759093e-05,13.992014569907536,0.3019700102128785,0.2108860731404225,0.4976546141235947,True,False,1.0,0.5
39af24de61852bd8,"Ancestor(N1, N3) || Effect(N1 -> N3) || Reachable(N1, N3)",24,13,3,1,1,72,0.3333333333333333,0.3333333333333333,0.018905599836268182,243,"Ancestor(N1, N3) || Effect(N1 -> N3) || Reachable(N1, N3)",Ancestor;Effect;Reachable,0.0366412213740458,0.1666666666666666,2.0501998117759093e-05,5.0,0.1533331564430212,0.3333333333333333,2.0501998117759093e-05,1.7371435725687816,0.300009225899153,0.0371584857092135,0.1616326852266936,,,,
0d83fb0424465a35,"Ancestor(N2, N0) || Effect(N2 -> N0) || Reachable(N2, N0)",23,13,3,1,1,69,0.2608695652173913,0.2608695652173913,0.018905599836268182,245,"Ancestor(N2, N0) || Effect(N2 -> N0) || Reachable(N2, N0)",Ancestor;Effect;Reachable,0.0351145038167938,0.1666666666666666,2.0501998117759093e-05,5.0,0.1490957407996978,0.2608695652173913,2.0501998117759093e-05,1.6602934290619633,0.2782700954643703,0.036318791052725,0.3853569532168355,,,,
8e2c0fa415ccba4f,"Ancestor(N2, N1) || Effect(N2 -> N1) || Reachable(N2, N1)",119,49,3,1,1,357,0.3277310924369748,0.3277310924369748,0.07123118123161698,244,"Ancestor(N2, N1) || Effect(N2 -> N1) || Reachable(N2, N1)",Ancestor;Effect;Reachable,0.181679389312977,0.1666666666666666,2.0501998117759093e-05,5.0,0.1913458657873661,0.3277310924369748,2.0501998117759093e-05,10.275615778944736,0.2983285536302454,0.1640225013314397,0.1707553330165036,True,False,1.0,0.5
9bda833cc44dd793,"Ancestor(N2, N3) || Effect(N2 -> N3) || Reachable(N2, N3)",34,15,3,1,1,102,0.2647058823529412,0.2647058823529412,0.02181257658045423,245,"Ancestor(N2, N3) || Effect(N2 -> N3) || Reachable(N2, N3)",Ancestor;Effect;Reachable,0.0519083969465648,0.1666666666666666,2.0501998117759093e-05,5.0,0.1528771492132165,0.2647058823529412,2.0501998117759093e-05,2.4808802871858906,0.2794209906050353,0.0481717113438665,0.3860085709161076,True,False,1.0,0.5
c27db25ce54c22b5,"Ancestor(N3, N0) || Effect(N3 -> N0) || Reachable(N3, N0)",122,58,3,1,1,366,0.319672131147541,0.319672131147541,0.08431257658045423,246,"Ancestor(N3, N0) || Effect(N3 -> N0) || Reachable(N3, N0)",Ancestor;Effect;Reachable,0.1862595419847328,0.1666666666666666,2.0501998117759093e-05,5.0,0.1952557318282172,0.319672131147541,2.0501998117759093e-05,10.934285179874056,0.2959108652434153,0.1783148411148588,0.6612090255107976,True,False,1.0,0.5
