component,variance_explained_by_controls,controls,latent1_auc,latent2_auc,latent3_auc,controls_auc,all_raw_auc
PC1,0.7029819350049167,class_size;frequency;depth_max;object_diversity;operator_diversity;M6_frequency_control_score;M7_random_matched_score,,,,,
PC2,0.6726158867675319,class_size;frequency;depth_max;object_diversity;operator_diversity;M6_frequency_control_score;M7_random_matched_score,,,,,
PC3,0.6074220406476789,class_size;frequency;depth_max;object_diversity;operator_diversity;M6_frequency_control_score;M7_random_matched_score,,,,,
PC4,0.9852124377703686,class_size;frequency;depth_max;object_diversity;operator_diversity;M6_frequency_control_score;M7_random_matched_score,,,,,
PC5,0.5049325176040237,class_size;frequency;depth_max;object_diversity;operator_diversity;M6_frequency_control_score;M7_random_matched_score,,,,,
predictive_leakage_class_b_survives,,,0.6555882352941176,0.6457598039215686,0.6354901960784314,0.6057843137254902,0.6713235294117647
