x,y,pearson,spearman,partial_frequency_class_size_depth
M1_original_score,M3_reuse_score,0.9764947695803896,0.98579732993435,0.9753087984564153
M1_original_score,M5_perturbation_centrality_score,0.8952865404981406,0.8792986467518918,0.9366627397618569
M3_reuse_score,M5_perturbation_centrality_score,0.8760954767787454,0.875240799211832,0.9221914235395744
M1_original_score,M6_frequency_control_score,0.6701395621306729,0.4864005208185186,0.6388873951711086
M3_reuse_score,M6_frequency_control_score,0.7183123472637999,0.521289683754043,0.544661706527238
M5_perturbation_centrality_score,M6_frequency_control_score,0.37226300914113325,0.20258135871249638,0.35504251979093276
M4_compression_score,M6_frequency_control_score,0.9529023603316199,0.990704339590904,0.09052608881328156
