class_id,M1_original_score,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M6_frequency_control_score,M7_random_matched_score
f7e756cbf1967d2a,0.04172520116618077,0.35,0.005699708454810496,0.2831336405529954,0.07973586005830904,0.03392272727272727,0.06514871900564108
9ed41b9547f24364,0.4027194052478134,0.5999999999999999,0.2081486880466472,25.353054662379417,0.23191137026239064,1.0,0.12222088847194133
a1be76363b02b0af,0.41631210495626825,0.6499999999999999,0.1929737609329446,8.0,0.38562740524781336,0.48568181818181816,0.2868793550027103
dcdbe327e041bb86,0.7769832,0.5,0.859,37.10843373493976,0.6873199999999999,0.864375,0.12437418628315501
98cac4d07377f26e,0.04245860058309038,0.35,0.01034985422740525,0.1002135231316726,0.08196793002915452,0.016961363636363636,0.055173476121821954
5024c05ade470bf7,0.45351370262390667,0.6499999999999999,0.24657434402332362,4.224000000000001,0.4863556851311953,0.38150000000000006,0.30158781467423473
c668c6a9304c0162,0.801817392419825,0.5,0.7944518950437317,14.078212290502794,0.6563369096209911,0.7763068181818182,0.10823293211994839
3e854ea0b08e797e,0.2024435925152399,0.3627272727272729,0.031272780280943546,21.41198156682028,0.10244729817121657,0.446475,0.08051862452876613
b178166e2f2858a1,0.24463769096209914,0.65,0.059577259475218663,62.39999999999999,0.17159708454810496,0.6547727272727273,0.20943516157615644
80dea615468e5a33,0.21607453022931988,0.36940298507462693,0.0399734128192855,26.874101382488476,0.11209768591445107,0.4828113636363637,0.2151802500236733
d66aa465c586a02f,0.17560140174927114,0.55,0.10304956268221574,0.052439478584729984,0.29046379008746354,0.016961363636363636,0.04706385252401228
bcd24a707d6de258,0.3953880489795919,0.6,0.1913877551020408,1.479633027522936,0.3438661224489796,0.30771818181818184,0.05298532078952966
0ce7282c47f47f60,0.24374800233236155,0.75,0.148399416909621,0.052734082397003744,0.43123172011661814,0.016961363636363636,0.22875777070912678
7bb101d6d8a87056,0.8013872536443148,0.65,0.6721865889212827,11.26222222222222,0.7656495626822157,0.6988068181818181,0.08105862539996611
182e0887eb8193ff,0.19104940174927115,0.55,0.11304956268221575,0.04234586466165414,0.29526379008746356,0.016961363636363636,0.09100194228807398
c2cfc7bc97bab7f9,0.2591960023323615,0.75,0.158399416909621,0.04253776435045317,0.43603172011661806,0.016961363636363636,0.18948794141948944
8654c88a259b0707,0.050182600583090375,0.35,0.015349854227405247,0.0816231884057971,0.08436793002915452,0.016961363636363636,0.051036986684988114
fb00a88e3ffacbee,0.2730688023323615,0.65,0.169399416909621,0.03057546145494028,0.4043117201166181,0.016961363636363636,0.09188082839099876
cf798fca1fec8adb,0.3625280209912537,0.6,0.20559475218658893,0.3333762057877813,0.4106854810495627,0.13745227272727273,0.2383204863996775
044cd0850b863da0,0.2902826029154518,0.75,0.1787492711370262,0.030675381263616557,0.4457996501457726,0.016961363636363636,0.3590492133380889
