class_id,M1_original_score,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M6_frequency_control_score,M7_random_matched_score
6f22f0e6617081a7,0.5663959055301572,0.7000000000000001,0.5295315636850324,36.38031084125711,0.7081751505688155,0.378288364123586,0.20855144129507536
dea8c5924f298e61,0.33052524333127065,0.5499999999999999,0.2003668525540932,38.93687707641196,0.3941760892259647,0.39954245468627814,0.2531723314903379
22d320921308c32d,0.42698373722706345,0.7000000000000001,0.31042754108112125,4.664529239105893,0.6030052197189382,0.10381477035568595,0.29934480206964886
902e082081bf0d46,0.3139656116504407,0.5499999999999999,0.19626064391404563,4.619677996422182,0.41620510907874186,0.10381477035568595,0.3560034999651079
de3aebcab6abd899,0.18460295492680728,0.6999999999999998,0.10200609710759165,2.8987319264423754,0.302962926611644,0.05413399612486115,0.2005021646054131
8f2b4518b0e0bb6a,0.3064525304220175,0.5499999999999998,0.19001845490371028,74.38730158730158,0.3652088583537808,0.5383893767402013,0.25908405475363155
0046fe7f1edad776,0.45294916871488666,0.7000000000000001,0.3658732991300468,12.998449612403103,0.6296191835824225,0.18736097067745197,0.4295130487851528
d42065ddedd8101f,0.28976583496759634,0.5499999999999998,0.1753122016506804,13.398731501057084,0.38214985679232655,0.1939369517898858,0.3377152262854987
103194f4b8fa593b,0.46711231023561633,0.7000000000000001,0.41573425533496916,45.16552099063727,0.6535524425607853,0.3229743932020701,0.4532018295097612
1b40f9651adafe25,0.25887435972057354,0.5499999999999998,0.14481839541973382,76.90783103939249,0.31951282980147216,0.4654274855927518,0.4558812998714311
2e70f08d89ee2b51,0.6464510395264601,0.7,0.6998111383746003,74.43986710963455,0.7899093464198081,0.5386398163044723,0.16702257199127182
22d90988743669c5,0.3130070086331703,0.5499999999999999,0.1999760725704513,86.49125138427465,0.36998851483381656,0.5985454780915189,0.32730266678673964
f3b8530e9bd63d34,0.09993597797709522,0.7000000000000002,0.028551565172131754,12.115348837209302,0.1677047512826233,0.13064607231268088,0.2444393081154267
0fdc573bad7a3b6a,0.2318605918222081,0.5499999999999999,0.1242607331400104,40.75861414333175,0.309645151907205,0.31109813863832203,0.5610314534807752
92549f445acc70c2,0.5407269506492968,0.7,0.4855253178674994,32.89534501852064,0.6870521525763997,0.3540512135958599,0.19396724745029065
1ba71e2e19d6dc9b,0.33199689259319254,0.5499999999999998,0.19892139192505015,38.30528541226216,0.393482268124024,0.396226471481867,0.23384168780910675
4db6ce609bf9179e,0.47811920020730464,0.7000000000000001,0.41778570897464495,30.899892377520946,0.6545371403078296,0.2948113982875672,0.2317014993351457
ac48bf10d90ac9c8,0.2937731537053996,0.5499999999999998,0.16881836567774552,49.68091546696198,0.3550328155253178,0.41316580912201706,0.20383326580442324
bc8db0550cfa21bc,0.4050276773745235,0.7,0.32354598854933453,23.393343400785266,0.6093020745036806,0.2118750591481668,0.1413619312424355
e1ff3541ed2bebbf,0.2482630684978443,0.5499999999999998,0.13052439586586362,54.16971998101566,0.3126517100156145,0.3763865575517889,0.3171229129394487
8a9e7c69a3391f02,0.5062462550642282,0.7,0.45697375269536766,37.45127509241495,0.6733474012937765,0.3369174216878272,0.33170873850239446
8be8ff021f310caf,0.294958340653805,0.5499999999999999,0.17203050040895232,53.11834625322997,0.3565746401962971,0.43049405529793244,0.47805121164253556
a04ac6c98010d38f,0.5839054023100434,0.7000000000000002,0.5891530968845268,60.28311262926396,0.7367934865045729,0.46387483998864354,0.4294750560837561
52221196342c4cfc,0.5733913964016641,0.7000000000000001,0.6025198899546435,80.87775294472969,0.7432095471782288,0.47715202199564666,0.25004368425433865
e5cb258637a67a0d,0.2753480537985336,0.5499999999999998,0.16987304632314668,117.11514000949217,0.3315390622351103,0.6167472742034298,0.2474752458989372
c8045dae31dde945,0.6519315684733936,0.6999999999999998,0.712980890772548,74.86301998034722,0.796230827570823,0.5422887227482605,0.48790947049316075
79e93f18e3a828c1,0.30805124345753077,0.5499999999999999,0.1991730388876496,82.84045773348099,0.36960305866607174,0.5837981341555136,0.12586864426952768
63516fcc35876d20,0.5811073224271144,0.7000000000000001,0.6094259796267381,86.76552099063726,0.7465244702208343,0.49993225978372935,0.28422658025144615
258e7f4b2160c049,0.27378099294183095,0.5499999999999998,0.169070012640345,114.98794494542004,0.3311536060673655,0.6095746810979892,0.24305754600501653
776dfde224037a46,0.7547046733111851,0.7000000000000001,0.9166666666666666,147.52164300815465,0.894,0.7359782235128283,0.5745155712935214
da866b9347a0946a,0.28958635079797707,0.5499999999999998,0.20119135995241283,162.33393450403418,0.34657185277715813,0.7916943521594685,0.22446831079472113
5a4d2dea7b01f14e,0.09558478960729955,0.7000000000000004,0.026784891069968026,9.94909090909091,0.16685674771358472,0.11284643392589419,0.20633266804248213
e8d9f73a17fa59ef,0.2456539380849074,0.5499999999999998,0.12988196891962225,52.36848599905078,0.3123433450814186,0.3676185827352105,0.3432942570476464
a1b2441cc20ce47b,0.46782392222815905,0.7000000000000003,0.39317644434530447,15.911895215183106,0.6427246932857462,0.211528886719431,0.3487292196822643
58d0a2506370cff1,0.29473742623264115,0.5499999999999998,0.18029101048405088,17.251585623678647,0.38453968503234437,0.22780237788082702,0.0956613031843181
b69fe8e6d6466238,0.15868129115998447,0.6999999999999998,0.0850182169678043,3.603406825732407,0.29480874414454605,0.05320446089247735,0.1431727927680005
146786873bab93cf,0.6347737120842143,0.7000000000000002,0.6908171611272212,66.13717654765804,0.7855922373410662,0.4983928633689799,0.3212845208963044
2565c91d1b4435e0,0.29289771314627,0.5499999999999998,0.19001845490371028,67.22894056847547,0.3652088583537808,0.5080903734179422,0.21745809572838778
ed0805320f3f6224,0.08035958683536598,0.6999999999999997,0.021645475500037176,4.236448202959831,0.1643898282400178,0.05532722011087479,0.1653589409683361
277ee40a245125f2,0.24973118025744606,0.5,0.17919436389322624,26.1668496823454,0.27101329466874857,0.27597025407562004,0.3472255112477221
cd4c87d299ad7395,0.33485384692411274,0.5499999999999998,0.24086103055989294,21.30729188419554,0.38661329466874855,0.27597025407562004,0.33331535565273646
40e6a73e6da370f3,0.35853713850335056,0.49000000000000016,0.2730191092274518,119.08696640826874,0.2988491724291769,0.6306578272325631,0.22637349600451406
2c2422b0893118b4,0.37041233850335054,0.5,0.2820191092274518,119.61860465116278,0.32036917242917684,0.6306578272325631,0.32081736705816805
7781a53987f9ef51,0.2745585227589202,0.5499999999999997,0.17372741467767122,7.736123142533485,0.3543891590452821,0.1420774330442752,0.08746703903249971
c3f03518ef633086,0.10431318942558686,0.45,0.05039408134433787,12.161743138487324,0.12318915904528219,0.1420774330442752,0.23998508807524524
56d652049a121e5e,0.24630678575694723,0.4900000000000002,0.14373068629637892,52.40260465116279,0.23679072942226193,0.3940874745351577,0.2322506055159808
5a9a345981700c85,0.19880598575694722,0.45000000000000023,0.10773068629637891,52.63654485049834,0.15071072942226194,0.3940874745351577,0.1668620070124462
567be6722263bd84,0.32080614558505627,0.5499999999999998,0.22544278385010036,17.291557273272474,0.3792125362480481,0.24103682378080063,0.3085792447021952
ae4b776e824606e3,0.23568347891838962,0.5,0.1637761171834337,21.100536672629698,0.26361253624804815,0.24103682378080063,0.5520789637509832
28df039db72cf6b9,0.34674857337691867,0.49000000000000016,0.2576008625176593,108.9456242155777,0.29144841400847643,0.600774230824787,0.18660827380977293
a7e5df2cffe8266f,0.3586237733769187,0.5,0.2666008625176593,109.43198860939724,0.31296841400847647,0.600774230824787,0.23692473956160176
b3420b375d193a82,0.34809800769388677,0.5499999999999999,0.26206111978585767,20.96563698845301,0.3967893374972117,0.27510995332898336,0.05625034678747998
1951abbe089a106c,0.34809800769388677,0.5499999999999999,0.26206111978585767,20.905735168486,0.3967893374972117,0.27510995332898336,0.24698587426001242
37f4f29b7ec56ccb,0.33564348797418275,0.4900000000000001,0.27350092943713283,84.8230343300111,0.29908044612982376,0.5156886340882715,0.23452914565443672
15ec869166b9c25f,0.4326413546408494,0.5499999999999999,0.34416759610379954,66.26799557032116,0.4362004461298238,0.5156886340882715,0.19940858093331115
7d8da88de8365458,0.35352395615378784,0.6000000000000002,0.25000929437132874,3.4623313732272574,0.4770044612982378,0.08541851997589245,0.24512164280858278
f8405c11ba3c987f,0.35352395615378784,0.6000000000000002,0.25000929437132874,3.453968253968254,0.4770044612982378,0.08541851997589245,0.4084086229939429
a0bcc10526128a5f,0.1622340024004057,0.49,0.11899724886608669,9.389123661867847,0.22491867945572158,0.11544058535516294,0.3120760460124686
bfebf898043b2e68,0.4668991321524973,0.65,0.40140382184549034,22.61705426356589,0.6356738344858354,0.24773802467536996,0.3727176724940795
966444ebca3c2d87,0.42813865623720865,0.6499999999999998,0.30171834337125436,1.905419391685298,0.587824804818202,0.06104290047667196,0.274326996851395
b5156c345e246601,0.343015989570542,0.6000000000000002,0.2400516767045877,2.195374516506974,0.47222480481820206,0.06104290047667196,0.1454306302899007
e4669d07310b0dfc,0.14217264024007023,0.4899999999999999,0.09876080005948398,5.04062015503876,0.2152051840285523,0.0729324042297788,0.1520389611404746
7c8879cb447b4c45,0.21402317619336642,0.5,0.14578816268867573,12.057380660954713,0.2549783180905643,0.16897796948701727,0.26231948829832014
dc51565e69d18a9f,0.3842685095266998,0.6000000000000001,0.2691214960220091,8.300370744860128,0.48617831809056433,0.16897796948701727,0.14467075304725274
e7b02116d6a717a6,0.23672082788434912,0.4900000000000002,0.17071261803851587,34.78424806201551,0.24974205665848764,0.30076128048932343,0.2206729015223198
1f2bade163c35352,0.3294268097051753,0.531701030927835,0.25433767926638473,52.003417180825814,0.36160785924374095,0.3848481075077079,0.27683205065688754
dda8796047c429fc,0.06979014478073806,0.44999999999999996,0.0316030931667782,2.396788983929887,0.11416948472005353,0.0394558866746029,0.2967452735338313
ef122a1d222dafeb,0.41028081144740475,0.65,0.2782697598334449,1.1081388398504288,0.5765694847200535,0.0394558866746029,0.27147623275498417
880f2a4c97d4356e,0.1233921041520952,0.49,0.07258190200014872,3.274985603543743,0.20263931296007137,0.052607848899470525,0.0637022687384309
1599bd74e883054d,0.13984619638951037,0.4500000000000001,0.08347906907576771,19.55652586616042,0.13906995315636853,0.20631109694322275,0.20909305034457612
69ad3321d874cea4,0.2251668530669202,0.5499999999999998,0.11549706297866011,22.072639069307616,0.2764385902297568,0.25073433382976285,0.1732453734101054
b12cd8d81d2f8331,0.23950521674572747,0.5999999999999999,0.12930924232284927,37.23938092537071,0.2940684363149676,0.3395115731170959,0.27518232796163694
62c8d77649c23311,0.22344853424416936,0.5499999999999998,0.12063647854859097,26.190345905804183,0.2789055097033236,0.27037979349195834,0.24641303932465772
24912576c3bc4570,0.2295099008628388,0.5499999999999998,0.12657892780132352,32.65207325064088,0.28175788534463525,0.31108488944896323,0.11721623389812745
b8d9da6db7766293,0.2379974877495863,0.5499999999999999,0.13075470295189232,38.638963547115154,0.2837622574169083,0.349139848680311,0.4280605375760829
4f5ff0530940a275,0.22312670673337368,0.5999999999999999,0.11790616402706519,23.395520159283226,0.28859495873299124,0.25079031912615124,0.2953796599986402
84644dd76f79308e,0.22569604439362284,0.5999999999999999,0.11951223139266859,25.286915855394906,0.2893658710684809,0.2638730468652717,0.16266834597908983
f7a5b314a476978f,0.26404931279456356,0.55,0.16971522046248788,5.943482509282784,0.40246330582199413,0.09537971877848452,0.2351501971357557
688db9aed2984b75,0.19391733450917936,0.6000000000000001,0.10264852405383298,7.2790211490154775,0.28127129154583985,0.11577350859453994,0.4310721515687615
82ddfcbe10a80dc6,0.23773919212558625,0.5999999999999999,0.13332441073685775,40.104256427471725,0.29599571715369166,0.35391274462436556,0.16248462931856228
2d74b35b11f65f60,0.22500396903770092,0.5999999999999999,0.1203152650754703,25.813661777813792,0.2897513272362257,0.26599580608366913,0.26822247844423125
385694330195c134,0.24637360942297332,0.5499999999999999,0.13990928693583166,49.3715757164699,0.2881564577291992,0.40969810775675286,0.3408391701965095
3930c25ab62256df,0.2320357327519318,0.5999999999999998,0.13011227600565098,35.6954449164805,0.2944538924827124,0.3264848306743638,0.1661051807001979
76cb14d8ed805aa1,0.3005571444094572,0.6,0.19830321957022823,19.748156551332954,0.4271855453937095,0.21850702555698892,0.3524157351193802
b22bbf7225817c53,0.2142530459120946,0.5499999999999998,0.11308796193025503,18.135037763395374,0.27528222172652234,0.2153295113240722,0.16787351745972415
6e7ea208e86cc460,0.19138269234259903,0.7000000000000003,0.10461223882816564,15.33680459075808,0.30421387463751953,0.15914199046656075,0.24580999839483503
8301d14bc5aba633,0.2779655523145221,0.5499999999999999,0.14979720425310433,94.0045562411011,0.3219026580414901,0.5308543734777129,0.29027486098753064
0a5af737de3b1750,0.13269322553097726,0.7000000000000001,0.03995464346791583,30.326064633041376,0.17317822886459963,0.2559786219846887,0.3921889681162463
f4d55fd0bdb94f40,0.2670121799361832,0.5499999999999998,0.13694866532827718,70.5579496915045,0.315735359357573,0.44765434558468276,0.19533150690983986
49bfd741a7a4fba6,0.27426781858276456,0.7000000000000002,0.17790616402706516,5.857208366477938,0.4393949587329913,0.08906742641968052,0.24296866651393947
1e34f3701ec1a0bb,0.2954516797754627,0.5499999999999998,0.1646425905271767,46.20332225913621,0.3530284434530447,0.39783510238236364,0.41163480482224585
