substrate,class_count,class_a_survival,class_b_survival,m135_reconstruction_r2_k1,class_b_auc_latent1,class_b_auc_latent2,class_b_auc_latent3,controls_auc,local_classification,all_raw_auc,pc1_control_variance_explained,pc1_f1_explained_variance
S1_causal_dag,29934,1.0,0.12833333333333333,0.9844277730935765,0.5192787613915721,0.6575978992326985,0.76445519108043,0.7520982841250528,multi_axis,0.7795156564277023,0.7370212001568578,0.721998293170383
S2_directed_graph,607,1.0,0.5271828665568369,0.9470656585992994,0.5643183797909408,0.6227025261324042,0.6186411149825783,0.5700130662020907,metric_noise,0.6286149825783972,0.9316066686185751,0.6175370334087373
S3_term_rewrite,422,1.0,0.35545023696682465,0.9336359997331902,0.6555882352941176,0.6457598039215686,0.6354901960784314,0.6057843137254902,one_axis,0.6713235294117647,0.7029819350049167,0.719848717629418
S4_finite_automata,359,1.0,0.5181058495821727,0.9442067941325619,0.5067748150910559,0.5560009944682702,0.571290944123314,0.534744235191746,control_artifact,0.5423581328858227,0.9468218885290185,0.6418063726674605
