feature_set,component,feature,loading
F3_all_internal,2,M1_original_score,-0.21225409442520915
F3_all_internal,2,M2_intervention_score,0.31084042115190186
F3_all_internal,2,M3_reuse_score,-0.20024138923156962
F3_all_internal,2,M4_compression_score,-0.251360614382944
F3_all_internal,2,M5_perturbation_centrality_score,-0.19327478094379616
F3_all_internal,2,M6_frequency_control_score,-0.27181922460561037
F3_all_internal,2,M7_random_matched_score,0.0005675899485122598
F3_all_internal,3,class_size,0.198016382891543
F3_all_internal,3,object_diversity,0.21137168322514066
F3_all_internal,3,operator_diversity,-0.09967935463815632
F3_all_internal,3,depth_min,0.34928308056409935
F3_all_internal,3,depth_max,0.3492830805640994
F3_all_internal,3,reuse_count,0.14681704693863018
F3_all_internal,3,role_score,0.22117214780950165
F3_all_internal,3,action_effect_score,0.24375675039077505
F3_all_internal,3,redundancy_score,0.011887984520868294
F3_all_internal,3,signature_len,-0.06338372768683671
F3_all_internal,3,frequency,0.2797096106683068
F3_all_internal,3,depth_score,0.3492830805640994
F3_all_internal,3,reuse_rate,-0.03085089967808245
F3_all_internal,3,complexity,0.34227490682947664
F3_all_internal,3,M1_original_score,0.03553457388091551
F3_all_internal,3,M2_intervention_score,0.24375675039077505
F3_all_internal,3,M3_reuse_score,-0.030850899678082664
F3_all_internal,3,M4_compression_score,0.2543135071987427
F3_all_internal,3,M5_perturbation_centrality_score,0.002891089860585947
F3_all_internal,3,M6_frequency_control_score,0.28868711500480715
F3_all_internal,3,M7_random_matched_score,-0.0115688329888313
F3_all_internal,4,class_size,-0.14100959984558595
F3_all_internal,4,object_diversity,-0.12187530804933204
F3_all_internal,4,operator_diversity,-0.42996407962122546
F3_all_internal,4,depth_min,0.0539692449975746
F3_all_internal,4,depth_max,0.053969244997574585
F3_all_internal,4,reuse_count,-0.23603196961708073
F3_all_internal,4,role_score,-0.40944677856489364
F3_all_internal,4,action_effect_score,-0.13176876081062447
F3_all_internal,4,redundancy_score,-0.005112296863645956
F3_all_internal,4,signature_len,0.5089089291109441
F3_all_internal,4,frequency,0.21464709955722416
F3_all_internal,4,depth_score,0.05396924499757495
F3_all_internal,4,reuse_rate,-0.03811990471310658
F3_all_internal,4,complexity,-0.08593963922815907
F3_all_internal,4,M1_original_score,-0.07668501402681237
F3_all_internal,4,M2_intervention_score,-0.13176876081062458
F3_all_internal,4,M3_reuse_score,-0.03811990471310648
F3_all_internal,4,M4_compression_score,0.30854370962946986
F3_all_internal,4,M5_perturbation_centrality_score,-0.20432807608596024
F3_all_internal,4,M6_frequency_control_score,0.23529002864280654
F3_all_internal,4,M7_random_matched_score,0.000962780674740373
F3_all_internal,5,class_size,-0.2141611821007982
F3_all_internal,5,object_diversity,-0.19660792666129118
F3_all_internal,5,operator_diversity,-0.3010817242605097
F3_all_internal,5,depth_min,-0.16810186176972844
F3_all_internal,5,depth_max,-0.1681018617697285
F3_all_internal,5,reuse_count,-0.26151983411071655
F3_all_internal,5,role_score,0.49041574079545613
F3_all_internal,5,action_effect_score,0.09270080633767028
F3_all_internal,5,redundancy_score,0.10248863190156433
F3_all_internal,5,signature_len,-0.30279782430299157
F3_all_internal,5,frequency,0.1825758858871338
F3_all_internal,5,depth_score,-0.16810186176972816
