class_id,class_key,class_size,object_diversity,operator_diversity,depth_min,depth_max,reuse_count,role_score,action_effect_score,redundancy_score,signature_len,representative,operator_family,frequency,object_diversity_score,depth_score,reuse_rate,complexity,M2_intervention_score,M3_reuse_score,M4_compression_score,M5_perturbation_centrality_score,M1_original_score,M6_frequency_control_score,M7_random_matched_score,class_a_survives,class_b_survives,class_b_attack_cost,class_b_auc_gns
7bb101d6d8a87056,"('CriticalPairParticipation', 4)",181,25,1,2,20,1121.0,1.0,0.65,0.9303867403314917,32,"CriticalPairParticipation(g(q(h(g(c,g(h(c)))))))",CriticalPairParticipation,0.5142045454545454,1.0,1.0,0.5447035957240038,22.5,0.65,0.6721865889212827,11.26222222222222,0.7656495626822157,0.8013872536443148,0.6988068181818181,0.08105862539996611,True,False,3.0,0.7120193370165746
182e0887eb8193ff,"('NormalForm', 'f0f6', 4)",1,1,1,8,8,3.0,0.4,0.55,0.0,25,"NormalForm(g(f(g(g(a),f(q(p(a),b),g(b))))))=g(f(g(a,f(q(p(a),b),c))))",NormalForm,0.002840909090909091,0.04,0.4,0.0014577259475218659,10.390625,0.55,0.11304956268221575,0.04234586466165414,0.29526379008746356,0.19104940174927115,0.016961363636363636,0.09100194228807398,True,False,1.0,0.22914
c2cfc7bc97bab7f9,"('Derives', 2, 'f0f6')",1,1,1,8,8,4.0,0.65,0.75,1.0,22,"Derives(g(f(g(g(a),f(q(p(a),b),g(b))))),g(f(g(a,f(q(p(a),b),c)))))",Derives,0.002840909090909091,0.04,0.4,0.001943634596695821,10.34375,0.75,0.158399416909621,0.04253776435045317,0.43603172011661806,0.2591960023323615,0.016961363636363636,0.18948794141948944,True,True,,0.5899399999999999
8654c88a259b0707,"('NormalForm', '09cc', 3)",1,1,1,3,3,1.0,0.0,0.35,0.0,25,"NormalForm(h(g(p(c),c)))=h(g(p(c),c))",NormalForm,0.002840909090909091,0.04,0.15,0.00048590864917395527,5.390625,0.35,0.015349854227405247,0.0816231884057971,0.08436793002915452,0.050182600583090375,0.016961363636363636,0.051036986684988114,True,False,1.0,0.15284
fb00a88e3ffacbee,"('NormalForm', '8296', 4)",1,1,1,12,12,4.0,0.6,0.65,0.0,25,"NormalForm(f(h(q(c),c),g(g(q(f(q(b,a),h(b,c))),h(h(g(b)),b)))))=f(h(b,c),g(g(q(f(q(b,a),h(b,c))),h(a,b))))",NormalForm,0.002840909090909091,0.04,0.6,0.001943634596695821,14.390625,0.65,0.169399416909621,0.03057546145494028,0.4043117201166181,0.2730688023323615,0.016961363636363636,0.09188082839099876,True,True,,0.40094
cf798fca1fec8adb,"('RewriteDistanceBucket', 3)",9,8,1,4,17,36.0,0.6,0.6,0.5,28,"RewriteDistanceBucket(f(h(q(c),c),g(g(q(f(q(b,a),h(b,c))),h(h(g(b)),b)))))=3",RewriteDistanceBucket,0.02556818181818182,0.32,0.85,0.01749271137026239,19.4375,0.6,0.20559475218658893,0.3333762057877813,0.4106854810495627,0.3625280209912537,0.13745227272727273,0.2383204863996775,True,True,,0.59372
044cd0850b863da0,"('Derives', 3, '8296')",1,1,1,12,12,5.0,0.65,0.75,1.0,22,"Derives(f(h(q(c),c),g(g(q(f(q(b,a),h(b,c))),h(h(g(b)),b)))),f(h(b,c),g(g(q(f(q(b,a),h(b,c))),h(a,b)))))",Derives,0.002840909090909091,0.04,0.6,0.0024295432458697765,14.34375,0.75,0.1787492711370262,0.030675381263616557,0.4457996501457726,0.2902826029154518,0.016961363636363636,0.3590492133380889,True,True,,0.62634
94491f375cc78cdc,"('NormalForm', '62af', 4)",1,1,1,5,5,1.0,0.0,0.35,0.0,25,"NormalForm(g(h(p(f(g(c),a)))))=g(h(p(f(g(c),a))))",NormalForm,0.002840909090909091,0.04,0.25,0.00048590864917395527,7.390625,0.35,0.02534985422740525,0.059534883720930236,0.08916793002915452,0.06563060058309038,0.016961363636363636,0.05792201600902294,True,False,1.0,0.17104
b1e055ca03f74921,"('NormalForm', '107b', 4)",1,1,1,20,20,2.0,0.2,0.44999999999999996,0.0,25,"NormalForm(g(h(c,q(h(h(f(c,c),p(c)),a),a)),f(q(p(p(g(c,a)),q(p(b,c))),f(q(p(a)),p(q(c)))),h(b))))=g(h(c,q(h(h(f(c,c),p(c)),a),a)),f(q(p(p(g(c,a)),q(p(b,c))),f(q(p(a)),p(b))),h(b)))",NormalForm,0.002840909090909091,0.04,1.0,0.0009718172983479105,22.390625,0.44999999999999996,0.1366997084548105,0.019651081646894625,0.22461586005830902,0.23261400116618078,0.016961363636363636,0.2637755066531991,True,False,1.0,0.32294
9648d053034f356e,"('RewriteDistanceBucket', 1)",106,25,1,1,20,212.0,0.19999999999999998,0.5999999999999999,0.16666666666666669,28,"RewriteDistanceBucket(g(h(c,q(h(h(f(c,c),p(c)),a),a)),f(q(p(p(g(c,a)),q(p(b,c))),f(q(p(a)),p(q(c)))),h(b))))=1",RewriteDistanceBucket,0.30113636363636365,1.0,1.0,0.10301263362487852,22.4375,0.5999999999999999,0.21016909620991253,6.61392757660167,0.292881166180758,0.44442012361516037,0.5667045454545454,0.05966304785795393,True,True,,0.5498999999999999
