precision,recall,specificity,false_positive_rate,false_negative_rate,balanced_accuracy,accuracy,model,threshold,train_balanced_accuracy_at_threshold,roc_auc,pr_auc,brier_score,n_train,n_test,num_coordinates,source
0.8610062893081761,0.7673766816143498,0.8702290076335878,0.1297709923664122,0.23262331838565023,0.8188028446239688,0.8176082592486378,B0_current_18_0,0.41590115756452906,0.7599260470751538,0.8463491951686417,0.8720596827919699,0.17302816111458358,8191,3487,2,FA2.5 held-out balanced dataset
0.8386893509766856,0.7460762331838565,0.8496770405167352,0.15032295948326482,0.2539237668161435,0.7978766368502959,0.7966733581875538,B1_history_CEGAR,0.45978628434959684,0.7660254789678669,0.8929454484173328,0.8869230963593279,0.14359432310814838,8191,3487,13,FA2.5 held-out balanced dataset
0.8105960264900662,0.6860986547085202,0.8320610687022901,0.16793893129770993,0.31390134529147984,0.7590798617054051,0.7573845712646975,B2_raw_current_state,0.44510919619099765,0.7126250933131721,0.7642379314793979,0.8300609486771438,0.18742479282013944,8191,3487,5,FA2.5 held-out balanced dataset
