mechanism,semantic_validity,baseline_false_safe,ablated_false_safe,delta_false_safe,delta_false_unsafe,delta_pure_blindness,baseline_collapse_recall,ablated_collapse_recall,delta_collapse_recall,baseline_collapse_precision,ablated_collapse_precision,delta_collapse_precision,baseline_future_collapse_balanced_accuracy,ablated_future_collapse_balanced_accuracy,delta_future_collapse_prediction_quality,delta_mean_clause,delta_spread_clause,delta_mass_clause,mean_abs_clause_coverage_delta,semantic_benefit_score,noncomparable_semantic_shift
MB1,comparable_enough_for_diagnostic,0.3525327537281893,0.7296590215400716,0.37712626781188224,0.0,-0.04372468900207868,0.5601837902982826,0.5996650717703349,0.03948128147205232,1.0,1.0,0.0,0.7800918951491413,0.7998325358851675,0.019740640736026105,0.03873235294541655,0.042674812699392106,-0.030129557095510694,0.03717890758010645,0.13571208449216943,0
MB2,comparable_enough_for_diagnostic,0.3525327537281893,0.3778815639782049,0.025348810250015563,0.0,0.07261432306348534,0.5601837902982826,0.536296840558413,-0.0238869497398696,1.0,1.0,0.0,0.7800918951491413,0.7681484202792065,-0.011943474869934856,-0.0266193972804587,0.013866414708891162,0.016894689781785408,0.019126833923711756,0.027051479130870092,0
MB3,comparable_enough_for_diagnostic,0.3525327537281893,0.7475626740947076,0.39502992036651824,0.0,-0.04407574802409758,0.5601837902982826,0.5929857819905213,0.03280199169223874,1.0,1.0,0.0,0.7800918951491413,0.7964928909952607,0.016400995846119315,0.03220635462345911,0.03465308885077878,-0.030129557095510694,0.03232966685658286,0.14149343881393966,0
MB4,severe_semantic_shift,0.3525327537281893,0.0,-0.3525327537281893,0.0,-0.13140051437923778,0.5601837902982826,0.0,-0.5601837902982826,1.0,0.0,-1.0,0.7800918951491413,0.5,-0.28009189514914135,-0.5547604700210906,-0.608617053329316,-0.030129557095510694,0.39783569348197245,0.16582492216531083,1
MB5,comparable_enough_for_diagnostic,0.3525327537281893,0.37378454452405324,0.021251790795863923,0.0005975143403441683,-0.05758621912205675,0.5601837902982826,0.5886949176404336,0.028511127342151,1.0,0.9994024856596558,-0.000597514340344163,0.7800918951491413,0.7940922004987956,0.01400030534965424,0.026191240523749548,-0.00021215399100826815,-0.030129557095510694,0.018844317203422837,0.009382309932929073,0
