cap,obs_depth,n_semantic_final,n_semantic_classes_with_prefixes,layers
6,8,16,31,5
6,12,16,31,5
6,16,16,31,5
8,8,64,127,7
8,12,64,127,7
8,16,64,127,7
10,8,256,511,9
10,12,256,511,9
10,16,256,511,9
12,8,1024,1279,11
12,12,1024,2047,11
12,16,1024,2047,11
14,8,4096,4351,13
14,12,4096,8191,13
14,16,4096,8191,13
16,8,16384,16639,15
16,12,16384,20479,15
16,16,16384,32767,15
18,8,65536,65791,17
18,12,65536,69631,17
18,16,65536,131071,17
