world,policy,delay,t_irrev,containment_C,containment_duration,concentration_threshold,escrow_rate,adversarial_strength,catastrophe_severity,migration_speed,migration_cost,scavenger_enabled,R,n,permanence_probability,permanence_wilson_lo,permanence_wilson_hi,capture_probability,strict_zero_capture_probability,collapse_probability,fraction_irreversible_zones,irreversible_zone_failures_mean,adversarial_share,mean_welfare,non_adv_diversity,containment_cost_share,false_containment_rate,containment_events,extraction_volume,extraction_cap_active_steps,outgoing_influence_volume,influence_throttle_active_steps,aid_intercepted,aid_escrowed,resource_hhi,max_zone_resource_share,migration_follow_events,replication_throttle_active_steps,capture_pressure_before,capture_pressure_after,collateral_welfare_loss,viable,action_viable
PURE_CAPTURE,action_containment_influence_throttle,2,7,0.25,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7188195022598195,0.643421817846344,0.5646454455960151,0.03839339815823932,0.0,59.08,65.5946878990593,0.0,1.1564062085418234,90.8,65.5946878990593,0.0,0.16970113082443616,0.24484037699590303,0.0,0.0,1.767954068309174,1.7718982670012784,0.0,0,0
PURE_CAPTURE,action_containment_influence_throttle,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7188771791014669,0.6434203205800932,0.5646583042746558,0.04992831655223709,0.0,58.84,65.5840425233789,0.0,1.1088341166922169,90.2,65.5840425233789,0.0,0.16972110050060274,0.2448671595444757,0.0,0.0,1.7680238026078416,1.7719672516561529,0.0,0,0
PURE_CAPTURE,action_containment_influence_throttle,2,7,0.7,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7188996225019963,0.6431007224807174,0.5646522697085139,0.06398878238828952,0.0,58.64,65.57683142886343,0.0,1.107754465246318,90.04,65.57683142886343,0.0,0.16902925534001928,0.2427268270432502,0.0,0.0,1.7680366548559656,1.7719799066814559,0.0,0,0
PURE_CAPTURE,action_containment_anti_concentration,2,7,0.25,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.6941200812914485,0.6589736456338587,0.5515336696201186,0.03599009294487642,0.0,57.04,66.43080244859729,0.0,0.0,0.0,66.43080244859729,0.0,0.1447917151090074,0.22474123238779856,0.0,0.0,1.7553458504770736,1.7593542665594917,0.0,0,0
PURE_CAPTURE,action_containment_anti_concentration,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,50,0.0,0.0,0.07135003417431873,1.0,0.0,0.0,0.33333333333333326,3.0,0.6941200812914485,0.6589736456338587,0.5515336696201186,0.04741734258354605,0.0,57.04,66.43080244859729,0.0,0.0,0.0,66.43080244859729,0.0,0.1447917151090074,0.22474123238779856,0.0,0.0,1.7553458504770736,1.7593542665594917,0.0,0,0
PURE_CAPTURE,action_containment_anti_concentration,2,7,0.7,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.6941200812914485,0.6589736456338587,0.5515336696201186,0.06132561651008468,0.0,57.04,66.43080244859729,0.0,0.0,0.0,66.43080244859729,0.0,0.1447917151090074,0.22474123238779856,0.0,0.0,1.7553458504770736,1.7593542665594917,0.0,0,0
PURE_CAPTURE,action_containment_migration_friction,2,7,0.25,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7174070700817491,0.6434084560464154,0.5638631563486673,0.18660628055619755,0.0,59.72,65.64596402930479,0.0,0.0,0.0,65.64596402930479,0.0,0.16988909558430493,0.24505374727017926,92.52,0.0,1.76887142638172,1.7727507224907095,0.0,0,0
PURE_CAPTURE,action_containment_migration_friction,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,50,0.0,0.0,0.07135003417431873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7164482038158788,0.6434710670365752,0.5632858290797071,0.2819928452736638,0.0,59.68,65.66738443984447,0.0,0.0,0.0,65.66738443984447,0.0,0.16981093425597998,0.24505006218368192,92.64,0.0,1.7697597943046661,1.7735849952705849,0.0,0,0
PURE_CAPTURE,action_containment_migration_friction,2,7,0.7,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7152220685012041,0.643199437091593,0.5625031342565748,0.3740159254765845,0.0,59.76,65.69652109811676,0.0,0.0,0.0,65.69652109811676,0.0,0.16901702832163565,0.24281170300931967,92.64,0.0,1.7708704649953881,1.774626929844251,0.0,0,0
PURE_CAPTURE,action_containment_aid_escrow,2,7,0.25,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.6721732606420625,0.6580786187382245,0.5478660221861003,0.09004041783569647,0.0,113.0,67.60101296068493,0.0,0.0,0.0,67.60101296068493,11.490591088993044,0.17647631716956205,0.28123245403498254,0.0,0.0,1.757312733465747,1.761247314905522,0.0,0,0
PURE_CAPTURE,action_containment_aid_escrow,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.6560911476173693,0.671213564004518,0.5455962291483032,0.11757954422020493,0.0,106.84,67.26139368817886,0.0,0.0,0.0,67.26139368817886,18.37907845042129,0.17022705513913586,0.26922482218122173,0.0,0.0,1.755661253967169,1.7595915596124367,0.0,0,0
PURE_CAPTURE,action_containment_aid_escrow,2,7,0.7,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.6519283961521367,0.6878764729809526,0.5450136616481965,0.13826785324825633,0.0,106.44,67.4120176695898,0.0,0.0,0.0,67.4120176695898,17.77040967535554,0.15301720264590354,0.23329899712126165,0.0,0.0,1.75484194110889,1.7587793217469412,0.0,0,0
PURE_CAPTURE,action_containment_replication_throttle,2,7,0.25,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7227651086377475,0.6434893278960869,0.5675932827435397,0.24345876068518846,0.0,59.92,65.72694270069701,0.0,0.0,0.0,65.72694270069701,0.0,0.16996913613106446,0.2451471337025973,0.0,92.84,1.7697696056329073,1.773734780429824,0.0,0,0
PURE_CAPTURE,action_containment_replication_throttle,2,7,0.45,4,0.24,0.55,0.7,0.55,0.22,0.08,0,3.5,25,0.0,0.0,0.13319649395317873,1.0,0.0,0.0,0.33333333333333326,3.0,0.7260731713511447,0.6431492721781943,0.570031932295748,0.35713230007050206,0.0,59.96,65.81387125332888,0.0,0.0,0.0,65.81387125332888,0.0,0.16920356307218026,0.24287193178508446,0.0,93.04,1.7713711106300694,1.7753529745709937,0.0,0,0
