class_id,k,persistence,class_size
a59afeaf3d0749cb,1,1.0,336
a59afeaf3d0749cb,2,1.0,336
a59afeaf3d0749cb,3,1.0,336
a59afeaf3d0749cb,4,1.0,336
1305089c20abcf01,0,1.0,334
1305089c20abcf01,1,0.0,334
1305089c20abcf01,2,0.0,334
1305089c20abcf01,3,0.0,334
1305089c20abcf01,4,0.0,334
bc9c853b1e75c157,0,1.0,334
bc9c853b1e75c157,1,1.0,334
bc9c853b1e75c157,2,0.0,334
bc9c853b1e75c157,3,0.0,334
bc9c853b1e75c157,4,0.0,334
00d4be19dbcb5225,0,1.0,333
00d4be19dbcb5225,1,0.75,333
00d4be19dbcb5225,2,0.75,333
00d4be19dbcb5225,3,0.75,333
00d4be19dbcb5225,4,0.75,333
8d380d339234504a,0,1.0,333
8d380d339234504a,1,1.0,333
8d380d339234504a,2,1.0,333
8d380d339234504a,3,1.0,333
8d380d339234504a,4,1.0,333
a0b2c1117b29c0f8,0,1.0,333
a0b2c1117b29c0f8,1,0.0,333
a0b2c1117b29c0f8,2,0.0,333
a0b2c1117b29c0f8,3,0.0,333
a0b2c1117b29c0f8,4,0.0,333
d09f8b496df512b4,0,1.0,333
d09f8b496df512b4,1,0.5,333
d09f8b496df512b4,2,0.5,333
d09f8b496df512b4,3,0.5,333
d09f8b496df512b4,4,0.5,333
53210ae1cecdcf64,0,1.0,323
53210ae1cecdcf64,1,0.0,323
53210ae1cecdcf64,2,0.0,323
53210ae1cecdcf64,3,0.0,323
53210ae1cecdcf64,4,0.0,323
f21bcd69efbaa656,0,1.0,322
f21bcd69efbaa656,1,0.5,322
f21bcd69efbaa656,2,0.5,322
f21bcd69efbaa656,3,0.5,322
f21bcd69efbaa656,4,0.5,322
50460cde9bb67eb1,0,1.0,310
50460cde9bb67eb1,1,0.0,310
50460cde9bb67eb1,2,0.0,310
50460cde9bb67eb1,3,0.0,310
50460cde9bb67eb1,4,0.0,310
7104f16691a5d5bd,0,1.0,256
7104f16691a5d5bd,1,0.0,256
7104f16691a5d5bd,2,0.0,256
7104f16691a5d5bd,3,0.0,256
7104f16691a5d5bd,4,0.0,256
18e6d6ef5f48d5f1,0,1.0,255
18e6d6ef5f48d5f1,1,0.0,255
18e6d6ef5f48d5f1,2,0.0,255
18e6d6ef5f48d5f1,3,0.0,255
18e6d6ef5f48d5f1,4,0.0,255
f45b62f7e22ed194,0,1.0,250
f45b62f7e22ed194,1,1.0,250
f45b62f7e22ed194,2,0.0,250
f45b62f7e22ed194,3,0.0,250
f45b62f7e22ed194,4,0.0,250
61de080f7a72632f,0,1.0,246
61de080f7a72632f,1,0.0,246
61de080f7a72632f,2,0.0,246
61de080f7a72632f,3,0.0,246
61de080f7a72632f,4,0.0,246
18238c7d4071f241,0,1.0,245
18238c7d4071f241,1,0.0,245
18238c7d4071f241,2,0.0,245
18238c7d4071f241,3,0.0,245
18238c7d4071f241,4,0.0,245
47deeed507786d18,0,1.0,245
47deeed507786d18,1,0.0,245
47deeed507786d18,2,0.0,245
47deeed507786d18,3,0.0,245
47deeed507786d18,4,0.0,245
771831d01716c10e,0,1.0,245
771831d01716c10e,1,0.0,245
771831d01716c10e,2,0.0,245
771831d01716c10e,3,0.0,245
771831d01716c10e,4,0.0,245
0c5ca47a06964983,0,1.0,243
0c5ca47a06964983,1,0.0,243
0c5ca47a06964983,2,0.0,243
0c5ca47a06964983,3,0.0,243
0c5ca47a06964983,4,0.0,243
e52a73ec60adcfae,0,1.0,236
e52a73ec60adcfae,1,0.0,236
e52a73ec60adcfae,2,0.0,236
e52a73ec60adcfae,3,0.0,236
e52a73ec60adcfae,4,0.0,236
a1d78b2c6c71c63e,0,1.0,235
a1d78b2c6c71c63e,1,0.0,235
a1d78b2c6c71c63e,2,0.0,235
a1d78b2c6c71c63e,3,0.0,235
a1d78b2c6c71c63e,4,0.0,235
a9a0cc1d70da7a20,0,1.0,234
a9a0cc1d70da7a20,1,0.0,234
a9a0cc1d70da7a20,2,0.0,234
a9a0cc1d70da7a20,3,0.0,234
a9a0cc1d70da7a20,4,0.0,234
ec0211f2e790fff5,0,1.0,234
ec0211f2e790fff5,1,1.0,234
ec0211f2e790fff5,2,0.5,234
ec0211f2e790fff5,3,0.5,234
ec0211f2e790fff5,4,0.0,234
0b88c10fc68d94f6,0,1.0,233
0b88c10fc68d94f6,1,0.0,233
0b88c10fc68d94f6,2,0.0,233
0b88c10fc68d94f6,3,0.0,233
0b88c10fc68d94f6,4,0.0,233
0a60f33026596983,0,1.0,232
0a60f33026596983,1,0.0,232
0a60f33026596983,2,0.0,232
0a60f33026596983,3,0.0,232
0a60f33026596983,4,0.0,232
0effd4a1f26a3c0d,0,1.0,232
0effd4a1f26a3c0d,1,0.0,232
0effd4a1f26a3c0d,2,0.0,232
0effd4a1f26a3c0d,3,0.0,232
0effd4a1f26a3c0d,4,0.0,232
8061f519a055e2f1,0,1.0,231
8061f519a055e2f1,1,0.0,231
8061f519a055e2f1,2,0.0,231
8061f519a055e2f1,3,0.0,231
8061f519a055e2f1,4,0.0,231
061d51f8a43f53d2,0,1.0,230
061d51f8a43f53d2,1,0.0,230
061d51f8a43f53d2,2,0.0,230
061d51f8a43f53d2,3,0.0,230
061d51f8a43f53d2,4,0.0,230
d5261fa8638ea9f5,0,1.0,229
d5261fa8638ea9f5,1,1.0,229
d5261fa8638ea9f5,2,1.0,229
d5261fa8638ea9f5,3,0.0,229
d5261fa8638ea9f5,4,0.0,229
1a548869f66c2e7c,0,1.0,228
