class_id,class_size,analyzed_pair_count,same_dag_pair_count,cross_dag_pair_count,alias_pair_count,nontrivial_pair_count,alias_pair_fraction,broken,attack_cost,old_gns,attack_auc_gns,persistence_k1,persistence_k2,persistence_k3,persistence_k4,operator_diversity,operators,depth_min,depth_max,dag_diversity,representative
5f4862fddb23ab67,359,4,2,2,4,0,1.0,True,2.0,1.0,0.625,1.0,0.5,0.5,0.5,3,Ancestor;Effect;Reachable,1,1,174,"Ancestor(N4, N3) || Effect(N4 -> N3) || Reachable(N4, N3)"
8d702122b4da0ead,354,4,2,2,4,0,1.0,True,1.0,1.0,0.5,0.5,0.5,0.5,0.5,3,Ancestor;Effect;Reachable,1,1,173,"Ancestor(N1, N4) || Effect(N1 -> N4) || Reachable(N1, N4)"
ef6d17f31b02b012,354,4,2,2,4,0,1.0,True,1.0,1.0,0.5,0.5,0.5,0.5,0.5,3,Ancestor;Effect;Reachable,1,1,175,"Ancestor(N0, N4) || Effect(N0 -> N4) || Reachable(N0, N4)"
47042025abe88cbf,347,4,2,2,4,0,1.0,True,1.0,1.0,0.5,0.5,0.5,0.5,0.5,3,Ancestor;Effect;Reachable,1,1,165,"Ancestor(N4, N0) || Effect(N4 -> N0) || Reachable(N4, N0)"
5e258fa8c2710ec8,344,2,0,2,0,2,0.0,True,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1,P_do,2,2,344,P(N2 | do(N1))
a1e49f1c94433d63,339,2,0,2,0,2,0.0,True,2.0,1.0,0.25,1.0,0.0,0.0,0.0,1,P_do,2,2,339,P(N3 | do(N0))
3100693433eb8c2d,338,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do,2,2,338,P(N2 | do(N3))
1305089c20abcf01,334,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do,2,2,334,P(N0 | do(N1))
bc9c853b1e75c157,334,2,0,2,0,2,0.0,True,2.0,1.0,0.25,1.0,0.0,0.0,0.0,1,P_do,2,2,334,P(N1 | do(N0))
00d4be19dbcb5225,333,4,2,2,4,0,1.0,True,1.0,1.0,0.75,0.75,0.75,0.75,0.75,3,Ancestor;Effect;Reachable,1,1,163,"Ancestor(N3, N4) || Effect(N3 -> N4) || Reachable(N3, N4)"
a0b2c1117b29c0f8,333,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do,2,2,333,P(N2 | do(N0))
d09f8b496df512b4,333,2,0,2,0,2,0.0,True,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1,P_do,2,2,333,P(N3 | do(N2))
53210ae1cecdcf64,323,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do,2,2,323,P(N1 | do(N2))
f21bcd69efbaa656,322,2,0,2,0,2,0.0,True,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1,P_do,2,2,322,P(N3 | do(N1))
50460cde9bb67eb1,310,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do,2,2,310,P(N1 | do(N3))
7104f16691a5d5bd,256,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_obs,2,2,256,P(N2 | N0)
18e6d6ef5f48d5f1,255,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_obs,2,2,255,P(N0 | N2)
f45b62f7e22ed194,250,2,0,2,0,2,0.0,True,2.0,1.0,0.25,1.0,0.0,0.0,0.0,1,P_obs,2,2,250,P(N3 | N2)
61de080f7a72632f,246,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_obs,2,2,246,P(N1 | N0)
18238c7d4071f241,245,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_obs,2,2,245,P(N0 | N3)
47deeed507786d18,245,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_obs,2,2,245,P(N2 | N3)
771831d01716c10e,245,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_obs,2,2,245,P(N0 | N1)
0c5ca47a06964983,243,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_obs,2,2,243,P(N3 | N0)
e52a73ec60adcfae,236,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do,2,2,236,P(N5 | do(N1))
a1d78b2c6c71c63e,235,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_obs,2,2,235,P(N2 | N1)
a9a0cc1d70da7a20,234,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do,2,2,234,P(N3 | do(N4))
ec0211f2e790fff5,234,2,0,2,0,2,0.0,True,2.0,1.0,0.5,1.0,0.5,0.5,0.0,1,P_do,2,2,234,P(N2 | do(N5))
0b88c10fc68d94f6,233,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do,2,2,233,P(N5 | do(N0))
0a60f33026596983,232,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_multi_do,5,5,232,"P(N2 | do(N0), do(N1))"
0effd4a1f26a3c0d,232,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_multi_do,5,5,232,"P(N1 | do(N0), do(N2))"
8061f519a055e2f1,231,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do,2,2,231,P(N5 | do(N2))
061d51f8a43f53d2,230,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_obs,2,2,230,P(N1 | N2)
d5261fa8638ea9f5,229,2,0,2,0,2,0.0,True,3.0,1.0,0.5,1.0,1.0,0.0,0.0,1,P_multi_do,5,5,229,"P(N2 | do(N1), do(N3))"
1a548869f66c2e7c,228,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do,2,2,228,P(N2 | do(N4))
491ca705673fd562,228,2,0,2,0,2,0.0,True,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1,P_do,2,2,228,P(N4 | do(N1))
