cell_id,experiment,policy,n_heldout,permanence_successes,permanence_probability,permanence_wilson_lo,permanence_wilson_hi,collapse_probability,capture_probability,dove_extinction_probability,hawk_extinction_probability,mutant_extinction_probability,scavenger_extinction_probability,resource_hhi_mean,mean_welfare_final,min_zone_welfare_mean,geometric_welfare_mean,recovery_time_mean,adversarial_share_mean,mutation_survival_mean,diversity_mean,false_positive_punishment_mean,false_negative_aid_to_hawk_mean,scavenger_exploitation_mean,signal_truth_corr_mean,mutual_information_mean,audit_cost_share_mean,collapse_step_mean,population_final_mean,train_permanence_probability,delay,t_irrev,R,adversarial_strength,catastrophe_severity,catastrophe_frequency,diversity_floor,mutation_rate,scavenger_enabled,future_shock,audit_p,audit_C,audit_kappa,viable
G_132_audit_penalty_d1_a0.54_s0.00_v0.00,G,audit_penalty,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.06967715606532694,0.32566188474022817,0.6146484409650718,0.0,0.0,0.012484674774740072,0.867441821715986,0.0,0.0,140.0,3969.5644110053768,1.0,1,16,16.0,0.5363542370189034,0.0,0.0,0.0,0.006,0,1,0.0,0.65,0.2,1
G_133_audit_penalty_d8_a0.24_s0.45_v0.35,G,audit_penalty,15,0,0.0,0.0,0.20388926630434784,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.9993411574452613,0.992093889343136,0.999315401785272,0.0,0.13534824089630837,0.7791094760323916,0.49526356158000373,0.0,0.0,0.011285226213962765,0.8545975882111635,0.0,0.049999999999999815,140.0,1669.3027891908941,0.0,8,5,0.625,0.2444048973074766,0.45,0.025,0.35,0.03,1,0,0.25,0.65,0.2,0
G_134_geometric_diversity_d5_a0.62_s0.65_v0.10,G,geometric_diversity,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4916946823676432,0.9988112766519118,0.9857353198229422,0.9987464470592564,0.0,0.15816019231266593,0.5218538121129482,0.722106537880189,0.0,0.019523809523809523,0.03256552671151451,0.89975974006719,0.035235032049365705,0.0,140.0,2187.4851715300247,1.0,5,5,1.0,0.6206010488998344,0.65,0.055,0.1,0.015,1,1,0.0,0.0,0.0,1
G_135_audit_penalty_d12_a0.43_s0.45_v0.10,G,audit_penalty,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9995185645246895,0.9942227742962728,0.999501166422174,0.0,0.11007664927639552,0.5528719278941224,0.6760538578821452,0.0,0.0,0.015281031596615292,0.6310477067331473,0.0,0.0,140.0,2921.792989557274,1.0,12,16,1.3333333333333333,0.4273527164241893,0.45,0.055,0.1,0.015,0,1,0.0,0.35,0.2,1
G_136_local_global_d3_a0.49_s0.65_v0.35,G,local_global,15,0,0.0,0.0,0.20388926630434784,0.0,1.0,0.0,0.0,0.0,1.0,0.2658084990967425,0.9974909821342118,0.9728548403345165,0.997331013953201,0.0,0.3883076269581011,0.5476593541259868,0.62690179636992,0.0,0.013333333333333332,0.03771198879581399,0.9522044187123627,0.0671237025009315,0.0,140.0,1145.5212191495536,0.0,3,12,4.0,0.4918731081267725,0.65,0.09,0.35,0.03,0,0,0.0,0.0,0.0,0
G_137_geometric_diversity_d3_a0.58_s0.25_v0.22,G,geometric_diversity,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999820763788934,0.9997849165467204,0.9999820498204989,0.0,0.050813870129008364,0.03271160579253452,0.25738096133387506,0.0,0.0,0.01185890098319472,0.8681432197305344,0.0,0.0,140.0,2618.7473225701365,1.0,3,8,2.6666666666666665,0.5758441033957964,0.25,0.025,0.22,0.0,0,0,0.0,0.0,0.0,0
G_138_local_global_d12_a0.77_s0.65_v0.00,G,local_global,15,0,0.0,0.0,0.20388926630434784,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9974658695428129,0.969590434513755,0.9972609400082422,0.0,0.024545225315172434,0.02778093273938642,0.17269124215679765,0.0,0.0,0.010783598162209933,0.9639558032707022,0.0015454902519980143,0.0,140.0,2531.3896975246016,0.0,12,5,0.4166666666666667,0.7742591207376082,0.65,0.09,0.0,0.0,0,0,0.0,0.0,0.0,0
G_139_local_global_d8_a0.43_s0.25_v0.10,G,local_global,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.10966702736017969,0.5486598681920183,0.6767820250201544,0.0,0.0,0.015092964331313536,0.7458498877177963,0.0,0.0,140.0,2947.5344062827357,1.0,8,5,0.625,0.4303214288708841,0.25,0.025,0.1,0.015,0,1,0.0,0.0,0.0,1
G_140_geometric_diversity_d2_a0.80_s0.45_v0.10,G,geometric_diversity,15,14,0.9333333333333333,0.7018292244757601,0.9881334113938051,0.0,0.06666666666666667,0.0,0.0,0.0,1.0,0.5508185974963978,0.9930608352697433,0.9539324007436992,0.9924914667577698,3.7333333333333334,0.34969124065304563,0.3941806227121137,0.7695243210435749,0.0,0.18952380952380954,0.06171332553737051,0.9810984475902497,0.49292388891456423,0.0,140.0,1485.9763762276618,0.9,2,12,6.0,0.8013559479877728,0.45,0.055,0.1,0.015,0,1,0.0,0.0,0.0,1
G_141_response_to_aid_d1_a0.37_s0.45_v0.22,G,response_to_aid,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9999652728634907,0.9995832743618883,0.9999651729714782,0.0,0.03835171126028284,0.03970191489612127,0.25518421701649496,0.0,0.0,0.004977797150415094,0.6054536385451175,0.0,0.0,140.0,2603.190098527976,1.0,1,5,5.0,0.37482818418361397,0.45,0.025,0.22,0.0,0,1,0.0,0.0,0.0,0
G_142_response_to_aid_d3_a0.66_s0.45_v0.00,G,response_to_aid,15,0,0.0,0.0,0.20388926630434784,0.0,0.0,0.0,0.0,0.0,0.0,0.06666666666666667,0.9990092132918409,0.9899835381840715,0.9989844957556905,0.0,0.026032839695195407,0.02835756719121284,0.18173469185068877,0.0,0.0,0.010236727508640766,0.9475956509701345,0.0,0.0,140.0,2537.844952199017,0.0,3,12,4.0,0.6638187080806313,0.45,0.055,0.0,0.0,1,1,0.0,0.0,0.0,0
G_143_response_to_aid_d5_a0.29_s0.00_v0.35,G,response_to_aid,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.9998015651046948,0.9976187812563361,0.9997982404326365,0.0,0.07237113989077845,0.5830071947316425,0.6281409854556138,0.0,0.0,0.007496832592314584,0.9086720429731566,0.0,0.0,140.0,3335.914983444961,1.0,5,16,3.2,0.2892688536378141,0.0,0.09,0.35,0.015,0,1,0.0,0.0,0.0,1
G_144_audit_penalty_d8_a0.29_s0.45_v0.22,G,audit_penalty,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.03924855187158114,0.03952918148688752,0.25736948500192386,0.0,0.0,0.003845282660914184,0.6170278642133613,0.0,0.0,140.0,2605.2352797433505,1.0,8,16,2.0,0.2881523404006555,0.45,0.0,0.22,0.0,0,1,0.0,0.0,0.1,0
G_145_local_global_d1_a0.38_s0.45_v0.22,G,local_global,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.04664628448324852,0.03609225496938668,0.26899885895926573,0.0,0.0,0.006845289870556641,0.3011665826879212,0.0,0.0,140.0,2616.4863263909965,1.0,1,12,12.0,0.37886245751225456,0.45,0.0,0.22,0.0,1,0,0.0,0.0,0.0,0
G_146_local_global_d5_a0.23_s0.65_v0.00,G,local_global,15,15,1.0,0.7961107336956521,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.051948035166193104,0.36205229188589144,0.602984485828806,0.0,0.0,0.0040066160288877994,0.45768868198569496,0.0,0.0,140.0,4095.8698241432517,1.0,5,5,1.0,0.22524917387589466,0.65,0.0,0.0,0.006,1,1,0.0,0.0,0.0,1
