cell_id,split,seed,experiment,policy,delay,t_irrev,R,adversarial_strength,camouflage_cost,audit_p,audit_C,audit_kappa,catastrophe_frequency,catastrophe_severity,mutation_rate,migration_cost,migration_speed,diversity_floor,channel_reliability,scavenger_enabled,future_shock,permanence,collapse,capture,dove_extinct,hawk_extinct,mutant_extinct,scavenger_extinct,resource_hhi,mean_welfare_final,min_zone_welfare,geometric_welfare,recovery_time,adversarial_share,dove_share,mutation_survival,diversity,false_positive_punishment,false_negative_aid_to_hawk,scavenger_exploitation,signal_truth_corr,mutual_information,audit_cost_share,collapse_step,population_final
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,train,8100,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.016093961303398602,0.956395673319277,0.027510365376925805,0.14822448178714717,0.0,0.0,0.002522422392526919,0.41963575584048074,0.0,0.0,140,2509.421641013471
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,train,8101,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0139796265463979,0.95078168382339,0.035238689629815995,0.1618731110628538,0.0,0.0,0.002251831955703955,0.3950738182065231,0.0,0.0,140,2524.2387825014675
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,train,8102,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.013326137924730705,0.9575709740184873,0.029102888056382892,0.144853431257111,0.0,0.0,0.0021708219020774785,0.3471651223964491,0.0,0.0,140,2506.3416343201593
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,train,8103,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.014494679463067183,0.9520691064496205,0.033436214086915564,0.1589614077531785,0.0,0.0,0.0022746963011887338,0.38838835897155594,0.0,0.0,140,2520.8254146056
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,train,8104,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.013914618893595678,0.9537284075801553,0.03235697352585166,0.15490820835201943,0.0,0.0,0.0021991298230894006,0.34309429215875537,0.0,0.0,140,2516.4396707952105
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,train,8105,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.013428899880737047,0.9515485144278389,0.03502258569102751,0.15977162868545391,0.0,0.0,0.0021746134266137107,0.3475468674992775,0.0,0.0,140,2522.204557738347
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,train,8106,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.012361645372105781,0.9566232357155204,0.03101511891197517,0.14566803588957303,0.0,0.0,0.001952832263259494,0.3556939635852758,0.0,0.0,140,2508.8246975351044
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,train,8107,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.016448597589470357,0.9560322855724249,0.027519116837706355,0.1502700021761459,0.0,0.0,0.0026580714509691324,0.42850866518901765,0.0,0.0,140,2510.375471851395
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,train,8108,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.013246932356995183,0.9569981925470316,0.02975487509557463,0.14592067033951978,0.0,0.0,0.002023611239788183,0.3558091381934056,0.0,0.0,140,2507.8417270689833
A_000_feature_proxy_d1_a0.25_s0.00_v0.00,train,8109,A,feature_proxy,1,8,8.0,0.25,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.2,0.0,0.78,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.015353680418509125,0.9536492551951564,0.0309970643859371,0.1554427786698825,0.0,0.0,0.00242247493755112,0.39487409722804134,0.0,0.0,140,2516.6485339601154
