class_id,label,class_size,valid_pair_count,broken,attack_cost,auc_gns,persistence_k1,persistence_k2,persistence_k3,persistence_k4,operator_diversity,depth_max,dag_diversity,representative
8d380d339234504a,representation_only,333,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,333,P(N0 | do(N3))
a0b2c1117b29c0f8,representation_only,333,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,333,P(N2 | do(N0))
d09f8b496df512b4,representation_only,333,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,333,P(N3 | do(N2))
53210ae1cecdcf64,representation_only,323,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,323,P(N1 | do(N2))
f21bcd69efbaa656,representation_only,322,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,322,P(N3 | do(N1))
50460cde9bb67eb1,representation_only,310,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,310,P(N1 | do(N3))
7104f16691a5d5bd,representation_only,256,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,256,P(N2 | N0)
18e6d6ef5f48d5f1,representation_only,255,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,255,P(N0 | N2)
f45b62f7e22ed194,representation_only,250,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,250,P(N3 | N2)
61de080f7a72632f,representation_only,246,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,246,P(N1 | N0)
18238c7d4071f241,representation_only,245,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,245,P(N0 | N3)
47deeed507786d18,representation_only,245,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,245,P(N2 | N3)
771831d01716c10e,representation_only,245,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,245,P(N0 | N1)
0c5ca47a06964983,representation_only,243,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,243,P(N3 | N0)
e52a73ec60adcfae,representation_only,236,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,236,P(N5 | do(N1))
a1d78b2c6c71c63e,representation_only,235,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,235,P(N2 | N1)
a9a0cc1d70da7a20,representation_only,234,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,234,P(N3 | do(N4))
ec0211f2e790fff5,representation_only,234,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,234,P(N2 | do(N5))
0b88c10fc68d94f6,representation_only,233,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,233,P(N5 | do(N0))
0a60f33026596983,representation_only,232,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,232,"P(N2 | do(N0), do(N1))"
0effd4a1f26a3c0d,representation_only,232,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,232,"P(N1 | do(N0), do(N2))"
