class_id,label,class_size,valid_pair_count,broken,attack_cost,auc_gns,persistence_k1,persistence_k2,persistence_k3,persistence_k4,operator_diversity,depth_max,dag_diversity,representative
a91cd87936d8548d,theory_change,223,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,5,223,"P(N1 | do(N0), do(N3))"
d622539aadbdefcc,theory_change,223,2,True,1.0,0.5,0.5,0.5,0.5,0.5,1,2,223,P(N5 | do(N3))
ac3d178dae40cba0,theory_change,220,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,220,"P(N2 | do(N3), do(N0))"
57fa86a7b4840e85,theory_change,217,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,2,217,P(N4 | do(N0))
5e5220eb2a7fab00,theory_change,217,2,True,3.0,0.5,1.0,1.0,0.0,0.0,1,5,217,"P(N3 | do(N2), do(N1))"
d201c023f52bc1c3,theory_change,217,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,5,217,"P(N0 | do(N3), do(N2))"
5ea08d3f215b4b00,theory_change,216,2,True,3.0,0.5,1.0,1.0,0.0,0.0,1,2,216,P(N4 | do(N2))
90cefc9b766e431f,theory_change,216,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,4,216,"P(N2 | do(N0), N3)"
a74053cd9fbcdf58,theory_change,216,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,4,216,"P(N2 | do(N1), N0)"
1459edfd8986a239,theory_change,215,2,True,2.0,0.25,1.0,0.0,0.0,0.0,1,2,215,P(N3 | N1)
3dbce805a0b141a8,theory_change,215,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,5,215,"P(N0 | do(N2), do(N1))"
54905406f96b37ba,theory_change,215,2,False,,1.0,1.0,1.0,1.0,1.0,1,5,215,"P(N1 | do(N2), do(N0))"
952059cd0404cb5f,theory_change,215,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,5,215,"P(N3 | do(N0), do(N2))"
cb760f4a09447a8f,theory_change,215,2,False,,1.0,1.0,1.0,1.0,1.0,1,2,215,P(N1 | do(N5))
b3993b8e57f8a169,theory_change,214,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,5,214,"P(N3 | do(N0), do(N1))"
3e1359b0723bcff4,theory_change,213,2,True,1.0,0.5,0.5,0.5,0.5,0.5,1,2,213,P(N3 | do(N5))
deb58f5ea5753fb1,theory_change,213,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,4,213,"P(N1 | do(N0), N2)"
1d67abcf23151a94,theory_change,212,2,True,2.0,0.375,1.0,0.5,0.0,0.0,1,5,212,"P(N3 | do(N1), do(N0))"
23d692927ea19a6c,theory_change,212,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,5,212,"P(N0 | do(N1), do(N3))"
3cdaebde575c5b37,theory_change,212,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,4,212,"P(N2 | do(N0), N1)"
6820c5d670a6d1b8,theory_change,212,2,True,1.0,0.0,0.0,0.0,0.0,0.0,1,5,212,"P(N2 | do(N0), do(N3))"
