system,horizon,learnability_score,majority_baseline,memorization_baseline,random_baseline,ood_accuracy
A_dead_control,1,0.9395645645645645,0.6114538451494973,0.9587087087087087,0.3940298994646821,0.9395645645645645
A_dead_control,2,0.9425675675675675,0.46959459459459457,0.9421921921921922,0.3246996996996997,0.9425675675675675
A_dead_control,4,0.9275525525525525,0.5075250782697591,0.954954954954955,0.3525493578685068,0.9275525525525525
A_dead_control,8,0.9455705705705706,0.5345221595221595,0.9448198198198199,0.3785970035970036,0.9455705705705706
A_dead_control,16,0.9406906906906907,0.5221471471471472,0.9688438438438438,0.44481981981981983,0.9406906906906907
A_dead_control,32,0.9384384384384384,0.5296546546546547,0.9628378378378378,0.466966966966967,0.9384384384384384
A_dead_control,64,0.9237987987987988,0.5274024024024024,0.9617117117117118,0.4680930930930931,0.9237987987987988
A_dead_control,128,0.9410660660660661,0.5191441441441441,0.9744744744744744,0.4710960960960961,0.9410660660660661
B_fake_live_control,1,0.8738738738738738,0.6261261261261262,0.7537537537537538,0.6026026026026026,0.8738738738738738
B_fake_live_control,2,0.8523523523523524,0.494994994994995,0.7232232232232233,0.4519519519519519,0.8523523523523524
B_fake_live_control,4,0.8748748748748749,0.6311311311311312,0.7852852852852852,0.6121121121121121,0.8748748748748749
B_fake_live_control,8,0.8763763763763763,0.6171171171171171,0.7507507507507508,0.6056056056056056,0.8763763763763763
B_fake_live_control,16,0.8763763763763763,0.6151151151151151,0.7562562562562563,0.601101101101101,0.8763763763763763
B_fake_live_control,32,0.8653653653653653,0.6121121121121121,0.7042042042042042,0.5975975975975976,0.8653653653653653
B_fake_live_control,64,0.8618618618618618,0.6101101101101101,0.7232232232232233,0.6121121121121121,0.8618618618618618
B_fake_live_control,128,0.8593593593593593,0.611111111111111,0.7352352352352352,0.6051051051051051,0.8593593593593593
C_collapsing_live_candidate,1,0.9014014014014015,0.6751751751751751,0.7947947947947949,0.477977977977978,0.9014014014014015
C_collapsing_live_candidate,2,0.8803803803803804,0.6401401401401401,0.8283283283283284,0.45995995995996,0.8803803803803804
C_collapsing_live_candidate,4,0.8353353353353353,0.7352352352352352,0.7777777777777778,0.43293293293293295,0.8353353353353353
C_collapsing_live_candidate,8,0.8378378378378378,0.7582582582582583,0.7717717717717717,0.4364364364364364,0.8378378378378378
C_collapsing_live_candidate,16,0.8408408408408409,0.7532532532532533,0.7502502502502502,0.6091091091091091,0.8408408408408409
C_collapsing_live_candidate,32,0.8113113113113113,0.7502502502502502,0.7222222222222223,0.6271271271271271,0.8113113113113113
C_collapsing_live_candidate,64,0.8008008008008008,0.7482482482482483,0.6951951951951952,0.5955955955955956,0.8008008008008008
C_collapsing_live_candidate,128,0.7942942942942942,0.7402402402402402,0.7377377377377377,0.606106106106106,0.7942942942942942
D_structured_live_candidate,1,0.7272272272272272,0.45295295295295296,0.6346346346346347,0.4044044044044044,0.7272272272272272
D_structured_live_candidate,2,0.7969219219219219,0.646021021021021,0.6959459459459459,0.5108858858858859,0.7969219219219219
D_structured_live_candidate,4,0.6701388888888888,0.5609984984984985,0.5701951951951952,0.5478603603603603,0.6701388888888888
D_structured_live_candidate,8,0.6760510510510511,0.5709459459459459,0.5416666666666666,0.5589339339339339,0.6760510510510511
D_structured_live_candidate,16,0.6895645645645646,0.5559309309309309,0.5634384384384384,0.5623123123123123,0.6895645645645646
D_structured_live_candidate,32,0.6677927927927928,0.5844594594594594,0.59496996996997,0.5397897897897898,0.6677927927927928
D_structured_live_candidate,64,0.6816816816816816,0.5596846846846847,0.549924924924925,0.5536786786786787,0.6816816816816816
D_structured_live_candidate,128,0.6734234234234234,0.5596846846846847,0.5345345345345346,0.5615615615615616,0.6734234234234234
