system,horizon,shape,count,fraction
A_dead_control,1,"mul(s(s(_)),s(_)) -> add(s(_),mul(s(_),s(_))) :: mul_succ",592,0.0296
A_dead_control,1,"mul(s(_),s(s(s(_)))) -> add(s(s(s(_))),mul(_,s(s(s(_))))) :: mul_succ",588,0.0294
A_dead_control,1,"mul(_,s(s(s(_)))) -> _ :: mul_zero",587,0.02935
A_dead_control,1,"add(s(_),s(s(_))) -> s(add(_,s(s(_)))) :: add_succ",583,0.02915
A_dead_control,1,"add(s(s(s(_))),s(s(_))) -> s(add(s(s(_)),s(s(_)))) :: add_succ",565,0.02825
A_dead_control,2,"add(s(_),s(s(_))) -> s(add(_,s(s(_)))) -> s(s(s(_))) :: add_succ;add_zero",668,0.0334
A_dead_control,2,"add(s(s(s(_))),s(s(s(_)))) -> s(add(s(s(_)),s(s(s(_))))) -> s(s(add(s(_),s(s(s(_)))))) :: add_succ;add_succ",666,0.0333
A_dead_control,2,"add(s(s(_)),_) -> s(add(s(_),_)) -> s(s(add(_,_))) :: add_succ;add_succ",665,0.03325
A_dead_control,2,"add(s(s(_)),s(s(s(_)))) -> s(add(s(_),s(s(s(_))))) -> s(s(add(_,s(s(s(_)))))) :: add_succ;add_succ",660,0.033
A_dead_control,2,"add(_,s(s(s(_)))) -> s(s(s(_))) :: add_zero",650,0.0325
A_dead_control,2,"add(s(_),s(_)) -> s(add(_,s(_))) -> s(s(_)) :: add_succ;add_zero",644,0.0322
A_dead_control,2,"add(s(_),_) -> s(add(_,_)) -> s(_) :: add_succ;add_zero",637,0.03185
A_dead_control,2,"add(_,s(_)) -> s(_) :: add_zero",636,0.0318
A_dead_control,2,"mul(_,s(s(s(_)))) -> _ :: mul_zero",626,0.0313
A_dead_control,2,"mul(_,s(_)) -> _ :: mul_zero",625,0.03125
A_dead_control,2,"add(_,s(s(_))) -> s(s(_)) :: add_zero",622,0.0311
A_dead_control,2,"add(_,_) -> _ :: add_zero",620,0.031
A_dead_control,2,"mul(_,s(s(_))) -> _ :: mul_zero",618,0.0309
A_dead_control,2,"mul(_,_) -> _ :: mul_zero",617,0.03085
A_dead_control,2,"add(s(_),s(s(s(_)))) -> s(add(_,s(s(s(_))))) -> s(s(s(s(_)))) :: add_succ;add_zero",616,0.0308
A_dead_control,2,"add(s(s(s(_))),s(_)) -> s(add(s(s(_)),s(_))) -> s(s(add(s(_),s(_)))) :: add_succ;add_succ",614,0.0307
A_dead_control,2,"add(s(s(_)),s(_)) -> s(add(s(_),s(_))) -> s(s(add(_,s(_)))) :: add_succ;add_succ",610,0.0305
A_dead_control,2,"add(s(s(s(_))),s(s(_))) -> s(add(s(s(_)),s(s(_)))) -> s(s(add(s(_),s(s(_))))) :: add_succ;add_succ",595,0.02975
A_dead_control,2,"add(s(s(s(_))),_) -> s(add(s(s(_)),_)) -> s(s(add(s(_),_))) :: add_succ;add_succ",585,0.02925
A_dead_control,2,"add(s(s(_)),s(s(_))) -> s(add(s(_),s(s(_)))) -> s(s(add(_,s(s(_))))) :: add_succ;add_succ",581,0.02905
A_dead_control,2,"mul(s(_),_) -> add(_,mul(_,_)) -> add(_,_) :: mul_succ;mul_zero",331,0.01655
A_dead_control,2,"mul(s(s(_)),s(s(_))) -> add(s(s(_)),mul(s(_),s(s(_)))) -> add(s(s(_)),add(s(s(_)),mul(_,s(s(_))))) :: mul_succ;mul_succ",331,0.01655
A_dead_control,2,"mul(s(s(_)),s(_)) -> add(s(_),mul(s(_),s(_))) -> s(add(_,mul(s(_),s(_)))) :: mul_succ;add_succ",326,0.0163
A_dead_control,2,"mul(s(s(_)),s(s(s(_)))) -> add(s(s(s(_))),mul(s(_),s(s(s(_))))) -> s(add(s(s(_)),mul(s(_),s(s(s(_)))))) :: mul_succ;add_succ",325,0.01625
A_dead_control,2,"mul(s(s(s(_))),s(_)) -> add(s(_),mul(s(s(_)),s(_))) -> s(add(_,mul(s(s(_)),s(_)))) :: mul_succ;add_succ",322,0.0161
A_dead_control,2,"mul(s(_),s(s(_))) -> add(s(s(_)),mul(_,s(s(_)))) -> s(add(s(_),mul(_,s(s(_))))) :: mul_succ;add_succ",317,0.01585
A_dead_control,2,"mul(s(_),s(s(_))) -> add(s(s(_)),mul(_,s(s(_)))) -> add(s(s(_)),_) :: mul_succ;mul_zero",314,0.0157
A_dead_control,2,"mul(s(_),s(s(s(_)))) -> add(s(s(s(_))),mul(_,s(s(s(_))))) -> s(add(s(s(_)),mul(_,s(s(s(_)))))) :: mul_succ;add_succ",313,0.01565
A_dead_control,2,"mul(s(s(s(_))),s(s(_))) -> add(s(s(_)),mul(s(s(_)),s(s(_)))) -> add(s(s(_)),add(s(s(_)),mul(s(_),s(s(_))))) :: mul_succ;mul_succ",311,0.01555
A_dead_control,2,"mul(s(s(_)),_) -> add(_,mul(s(_),_)) -> add(_,add(_,mul(_,_))) :: mul_succ;mul_succ",311,0.01555
A_dead_control,2,"mul(s(s(s(_))),_) -> add(_,mul(s(s(_)),_)) -> mul(s(s(_)),_) :: mul_succ;add_zero",310,0.0155
A_dead_control,2,"mul(s(s(s(_))),s(_)) -> add(s(_),mul(s(s(_)),s(_))) -> add(s(_),add(s(_),mul(s(_),s(_)))) :: mul_succ;mul_succ",308,0.0154
A_dead_control,2,"mul(s(_),s(_)) -> add(s(_),mul(_,s(_))) -> add(s(_),_) :: mul_succ;mul_zero",307,0.01535
