system,horizon,generated_terms,unique_terms,state_novelty,terminating_trajectories,unique_normal_forms,normal_form_novelty,unique_trajectories,trajectory_novelty,term_shape_entropy,trajectory_shape_entropy,compression_ratio,compression_gain,learnability_score,majority_baseline,memorization_baseline,random_baseline,ood_accuracy
A_dead_control,1,40000,60,0.0015,4889,4,0.0008181632235631009,32,0.0016,5.824101798869829,4.998632016758827,0.04611575531344302,0.0,0.9395645645645645,0.6114538451494973,0.9587087087087087,0.3940298994646821,0.9395645645645645
A_dead_control,2,54986,86,0.001564034481504383,7579,5,0.0006597176408497163,44,0.0022,6.283719138442848,5.371201480516817,0.03892741691667248,0.0071883383967705425,0.9425675675675675,0.46959459459459457,0.9421921921921922,0.3246996996996997,0.9425675675675675
A_dead_control,4,76705,164,0.0021380614040805686,13786,7,0.0005077614971710431,126,0.0063,6.750026535084116,6.006264757987122,0.03369650962631403,0.0052309072903584525,0.9275525525525525,0.5075250782697591,0.954954954954955,0.3525493578685068,0.9275525525525525
A_dead_control,8,96358,441,0.004576682787106416,16780,7,0.0004171632896305125,1821,0.09105,7.335839557346744,6.815755837104651,0.03918324269357343,-0.0054867330672594,0.9455705705705706,0.5345221595221595,0.9448198198198199,0.3785970035970036,0.9455705705705706
A_dead_control,16,107519,659,0.006129149266641245,20000,8,0.0004,2213,0.11065,7.604864153159788,6.8258089973667975,0.04219898883455486,-0.0030157461409814346,0.9406906906906907,0.5221471471471472,0.9688438438438438,0.44481981981981983,0.9406906906906907
A_dead_control,32,107431,656,0.00610624493861176,20000,8,0.0004,2221,0.11105,7.608599926878976,6.814214848309409,0.04221164504655278,-1.2656211997918998e-05,0.9384384384384384,0.5296546546546547,0.9628378378378378,0.466966966966967,0.9384384384384384
A_dead_control,64,106853,654,0.006120558149981751,20000,8,0.0004,2200,0.11,7.593935284877429,6.82067287949053,0.042304609322486426,-9.296427593364492e-05,0.9237987987987988,0.5274024024024024,0.9617117117117118,0.4680930930930931,0.9237987987987988
A_dead_control,128,107490,653,0.0060749837194157595,20000,8,0.0004,2201,0.11005,7.615716179611509,6.81916804390158,0.04227106686166689,3.3542460819539766e-05,0.9410660660660661,0.5191441441441441,0.9744744744744744,0.4710960960960961,0.9410660660660661
B_fake_live_control,1,40000,5,0.000125,0,0,normal_form_absent,3,0.00015,2.2334225628916515,1.5819179056838113,0.046367065132311897,0.0,0.8738738738738738,0.6261261261261262,0.7537537537537538,0.6026026026026026,0.8738738738738738
B_fake_live_control,2,60000,10,0.00016666666666666666,0,0,normal_form_absent,5,0.00025,3.1658010916861365,2.2825595027205674,0.03761122618119467,0.008755838951117229,0.8523523523523524,0.494994994994995,0.7232232232232233,0.4519519519519519,0.8523523523523524
B_fake_live_control,4,100000,36,0.00036,0,0,normal_form_absent,17,0.00085,4.601889274008942,3.6765709406477067,0.027654462324309625,0.009956763856885043,0.8748748748748749,0.6311311311311312,0.7852852852852852,0.6121121121121121,0.8748748748748749
B_fake_live_control,8,180000,520,0.0028888888888888888,0,0,normal_form_absent,257,0.01285,6.859541348035981,6.497764752205145,0.043645725899058616,-0.01599126357474899,0.8763763763763763,0.6171171171171171,0.7507507507507508,0.6056056056056056,0.8763763763763763
B_fake_live_control,16,340000,48049,0.14132058823529411,0,0,normal_form_absent,12583,0.62915,10.306334509925001,10.344416092096889,0.04712488145236939,-0.003479155553310777,0.8763763763763763,0.6151151151151151,0.7562562562562563,0.601101101101101,0.8763763763763763
B_fake_live_control,32,660000,270614,0.4100212121212121,0,0,normal_form_absent,13996,0.6998,13.351438506974889,10.518989833235514,0.03780693751596247,0.00931794393640692,0.8653653653653653,0.6121121121121121,0.7042042042042042,0.5975975975975976,0.8653653653653653
B_fake_live_control,64,1300000,718312,0.5525476923076923,0,0,normal_form_absent,13994,0.6997,15.417417449172929,10.517590344856137,0.02377270434851143,0.014034233167451043,0.8618618618618618,0.6101101101101101,0.7232232232232233,0.6121121121121121,0.8618618618618618
B_fake_live_control,128,2580000,1609343,0.6237763565891473,0,0,normal_form_absent,13953,0.69765,16.936675294340723,10.488890270461626,0.014447674276065494,0.009325030072445936,0.8593593593593593,0.611111111111111,0.7352352352352352,0.6051051051051051,0.8593593593593593
C_collapsing_live_candidate,1,40000,6,0.00015,0,0,normal_form_absent,5,0.00025,1.9952023636234322,1.990404727246864,0.03961358164054028,0.0,0.9014014014014015,0.6751751751751751,0.7947947947947949,0.477977977977978,0.9014014014014015
C_collapsing_live_candidate,2,60000,17,0.00028333333333333335,0,0,normal_form_absent,20,0.001,3.0221175492535015,3.695999045236807,0.04258369316103293,-0.0029701115204926465,0.8803803803803804,0.6401401401401401,0.8283283283283284,0.45995995995996,0.8803803803803804
C_collapsing_live_candidate,4,100000,187,0.00187,0,0,normal_form_absent,724,0.0362,4.66040071761562,7.365267881197454,0.04853662848582408,-0.005952935324791152,0.8353353353353353,0.7352352352352352,0.7777777777777778,0.43293293293293295,0.8353353353353353
C_collapsing_live_candidate,8,180000,4057,0.02253888888888889,0,0,normal_form_absent,12256,0.6128,7.030920374038837,12.903783885323996,0.06975880070449368,-0.0212221722186696,0.8378378378378378,0.7582582582582583,0.7717717717717717,0.4364364364364364,0.8378378378378378
C_collapsing_live_candidate,16,340000,29191,0.08585588235294117,0,0,normal_form_absent,19975,0.99875,9.94043363691532,14.285174635168866,0.08920020716314368,-0.01944140645865,0.8408408408408409,0.7532532532532533,0.7502502502502502,0.6091091091091091,0.8408408408408409
C_collapsing_live_candidate,32,551075,76771,0.13931134600553463,17080,1024,0.059953161592505855,19999,0.99995,12.186856186213134,14.287612379543967,0.08690702611884998,0.002293181044293699,0.8113113113113113,0.7502502502502502,0.7222222222222223,0.6271271271271271,0.8113113113113113
C_collapsing_live_candidate,64,565356,80745,0.14282151423174072,20000,1024,0.0512,20000,1.0,12.289313846156043,14.287712379543967,0.08685887920950042,4.814690934956678e-05,0.8008008008008008,0.7482482482482483,0.6951951951951952,0.5955955955955956,0.8008008008008008
C_collapsing_live_candidate,128,565287,79244,0.14018365892015913,20000,1024,0.0512,19999,0.99995,12.272472223488306,14.287612379543967,0.08735606279324125,-0.0004971835837408317,0.7942942942942942,0.7402402402402402,0.7377377377377377,0.606106106106106,0.7942942942942942
D_structured_live_candidate,1,40000,12,0.0003,0,0,normal_form_absent,12,0.0006,3.1166573095555954,3.567016191366614,0.05231170962936056,0.0,0.7272272272272272,0.45295295295295296,0.6346346346346347,0.4044044044044044,0.7272272272272272
D_structured_live_candidate,2,60000,26,0.0004333333333333333,2724,1,0.0003671071953010279,49,0.00245,4.108040149448321,5.4468175525274365,0.06063766199081787,-0.008325952361457306,0.7969219219219219,0.646021021021021,0.6959459459459459,0.5108858858858859,0.7969219219219219
D_structured_live_candidate,4,86535,31,0.0003582365516842896,17785,2,0.00011245431543435479,251,0.01255,4.321759423023994,6.657559752423127,0.06681087597541667,-0.006173213984598802,0.6701388888888888,0.5609984984984985,0.5701951951951952,0.5478603603603603,0.6701388888888888
